Ref_Date,GEO,ESTIMATE,WEIGHTS,ADJUSTMENT,Vector,Coordinate,Value
2010/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.4
2010/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,99.3
2010/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.4
2010/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,100.7
2010/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,101.2
2011/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,101.3
2011/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,101.1
2011/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.0
2011/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.2
2011/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.6
2011/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,101.5
2011/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,101.8
2011/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.1
2011/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.5
2011/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.6
2011/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.9
2011/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.4
2012/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.8
2012/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.8
2012/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.7
2012/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.6
2012/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.6
2012/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,101.7
2012/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,101.9
2012/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.8
2012/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.1
2012/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.6
2012/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.9
2012/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.7
2013/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.8
2013/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.1
2013/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.4
2013/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.8
2013/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.5
2013/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.8
2013/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.9
2013/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.0
2013/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.2
2013/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.0
2013/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.8
2013/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.4
2014/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.4
2014/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.9
2014/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.7
2014/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.3
2014/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.2
2014/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.5
2014/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.3
2014/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.4
2014/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.6
2014/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.6
2014/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.0
2014/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.3
2015/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.6
2015/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,102.9
2015/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,103.8
2015/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.0
2015/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.6
2015/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.2
2015/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.5
2015/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.4
2015/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.7
2015/10,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.2
2015/11,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.3
2015/12,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.3
2016/01,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.3
2016/02,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,104.7
2016/03,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.0
2016/04,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.8
2016/05,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.9
2016/06,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,106.2
2016/07,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.8
2016/08,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.9
2016/09,Canada,Price index,Fisher fixed,Seasonally adjusted,v62697923,1.2.1.2,105.8
2004/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,94.7
2004/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,94.7
2004/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,95.5
2004/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,96.1
2004/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,97.3
2004/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,96.9
2004/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,96.4
2004/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,95.9
2004/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,96.0
2004/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,96.2
2004/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,97.3
2004/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,97.8
2005/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,96.0
2005/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,96.3
2005/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,97.2
2005/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.0
2005/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,97.9
2005/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,97.9
2005/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,97.6
2005/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.5
2005/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.6
2005/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.4
2005/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.4
2005/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.7
2006/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.9
2006/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.0
2006/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.9
2006/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.7
2006/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.8
2006/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.1
2006/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.0
2006/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.1
2006/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.5
2006/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.1
2006/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.8
2006/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.8
2007/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.6
2007/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.4
2007/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.8
2007/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.1
2007/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.7
2007/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.8
2007/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.4
2007/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.4
2007/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.7
2007/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.9
2007/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.6
2007/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.2
2008/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.0
2008/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.9
2008/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.1
2008/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.6
2008/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.2
2008/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.1
2008/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.2
2008/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.5
2008/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.7
2008/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.0
2008/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.6
2008/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,97.9
2009/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.2
2009/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.0
2009/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.7
2009/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.5
2009/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.7
2009/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.0
2009/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.4
2009/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.3
2009/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.8
2009/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.1
2009/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.5
2009/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.9
2010/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.4
2010/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.4
2010/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.3
2010/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.6
2010/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.6
2010/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.5
2010/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.2
2010/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.8
2010/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.8
2010/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.0
2010/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.2
2010/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,98.8
2011/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.0
2011/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.3
2011/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.3
2011/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.5
2011/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.1
2011/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.2
2011/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.5
2011/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.2
2011/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.9
2011/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.3
2011/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.9
2011/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.3
2012/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.0
2012/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.9
2012/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.0
2012/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.8
2012/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.2
2012/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.9
2012/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.7
2012/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.0
2012/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.3
2012/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.1
2012/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.8
2012/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.6
2013/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.7
2013/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.2
2013/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.7
2013/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.7
2013/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.0
2013/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.0
2013/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.7
2013/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.5
2013/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.4
2013/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.5
2013/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.5
2013/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.8
2014/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.5
2014/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.0
2014/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.2
2014/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.2
2014/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.6
2014/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.6
2014/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.0
2014/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.4
2014/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.1
2014/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.7
2014/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.1
2014/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,99.5
2015/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,100.9
2015/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,102.4
2015/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.8
2015/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.0
2015/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,105.3
2015/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,105.3
2015/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,105.2
2015/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.3
2015/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.2
2015/10,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.2
2015/11,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.2
2015/12,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,101.3
2016/01,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.6
2016/02,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,103.6
2016/03,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.6
2016/04,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,105.8
2016/05,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,106.3
2016/06,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,106.5
2016/07,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,105.5
2016/08,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.6
2016/09,Canada,Price index,Paasche current weighted,Unadjusted,v62697924,1.2.3.1,104.3
2004/01,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,95.2
2004/02,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,95.5
2004/03,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,95.5
2004/04,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,95.5
2004/05,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,96.4
2004/06,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,96.6
2004/07,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,96.5
2004/08,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,96.3
2004/09,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,96.3
2004/10,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,96.9
2004/11,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,97.3
2004/12,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,97.6
2005/01,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,96.6
2005/02,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,96.9
2005/03,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,97.2
2005/04,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,97.3
2005/05,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,97.0
2005/06,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,97.5
2005/07,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,97.7
2005/08,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.7
2005/09,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.8
2005/10,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.0
2005/11,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.5
2005/12,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.0
2006/01,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.2
2006/02,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.4
2006/03,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.6
2006/04,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.1
2006/05,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.8
2006/06,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.8
2006/07,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.0
2006/08,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.3
2006/09,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.7
2006/10,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.9
2006/11,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.9
2006/12,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.5
2007/01,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.0
2007/02,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.8
2007/03,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.5
2007/04,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.4
2007/05,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.7
2007/06,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.4
2007/07,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.3
2007/08,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.6
2007/09,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.9
2007/10,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.6
2007/11,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.7
2007/12,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.0
2008/01,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.1
2008/02,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.9
2008/03,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.8
2008/04,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.0
2008/05,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.5
2008/06,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,101.8
2008/07,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,102.2
2008/08,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,101.7
2008/09,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,101.9
2008/10,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,100.4
2008/11,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.6
2008/12,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.9
2009/01,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.3
2009/02,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.0
2009/03,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.4
2009/04,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.0
2009/05,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,98.7
2009/06,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.9
2009/07,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.4
2009/08,Canada,Price index,Paasche current weighted,Seasonally adjusted,v62697925,1.2.3.2,99.6
