Ref_Date,GEO,PROD,AREA,EST,Vector,Coordinate,Value
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52220999,2.1.5.2,F
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52220999,2.1.5.2,333460.00000000
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52220999,2.1.5.2,303940.00000000
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52220999,2.1.5.2,379195.00000000
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52220999,2.1.5.2,379735.00000000
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52220999,2.1.5.2,360182.00000000
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52220999,2.1.5.2,301679.00000000
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52220999,2.1.5.2,x
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221005,2.1.5.3,0.00000000
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221005,2.1.5.3,F
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221005,2.1.5.3,30979.00000000
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221005,2.1.5.3,28237.00000000
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221005,2.1.5.3,35228.00000000
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221005,2.1.5.3,35279.00000000
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221005,2.1.5.3,33462.00000000
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221005,2.1.5.3,28027.00000000
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221005,2.1.5.3,x
2007,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221011,2.1.6.1,0.00000000
2008,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221011,2.1.6.1,310.00000000
2009,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221011,2.1.6.1,250.00000000
2010,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221011,2.1.6.1,280.00000000
2011,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221011,2.1.6.1,285.00000000
2012,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221011,2.1.6.1,405.00000000
2013,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221011,2.1.6.1,600.00000000
2014,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221011,2.1.6.1,400.00000000
2015,Atlantic provinces,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221011,2.1.6.1,411.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221017,2.2.1.1,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221017,2.2.1.1,170.00000000
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221017,2.2.1.1,170.00000000
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221017,2.2.1.1,165.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221017,2.2.1.1,160.00000000
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221017,2.2.1.1,150.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221017,2.2.1.1,145.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221017,2.2.1.1,145.00000000
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221017,2.2.1.1,102.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221023,2.2.2.2,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221023,2.2.2.2,3527600.00000000
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221023,2.2.2.2,3805640.00000000
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221023,2.2.2.2,3368060.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221023,2.2.2.2,3299900.00000000
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221023,2.2.2.2,3006695.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221023,2.2.2.2,3025212.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221023,2.2.2.2,3219017.00000000
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221023,2.2.2.2,3016054.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221029,2.2.2.3,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221029,2.2.2.3,327725.00000000
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221029,2.2.2.3,353555.00000000
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221029,2.2.2.3,312903.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221029,2.2.2.3,306571.00000000
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221029,2.2.2.3,279331.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221029,2.2.2.3,281051.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221029,2.2.2.3,299056.00000000
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221029,2.2.2.3,280200.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221035,2.2.3.2,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221035,2.2.3.2,F
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221035,2.2.3.2,F
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221035,2.2.3.2,214475.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221035,2.2.3.2,F
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221035,2.2.3.2,170375.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221035,2.2.3.2,175341.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221035,2.2.3.2,x
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square feet,v52221035,2.2.3.2,80936.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221041,2.2.3.3,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221041,2.2.3.3,F
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221041,2.2.3.3,F
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221041,2.2.3.3,19925.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221041,2.2.3.3,F
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221041,2.2.3.3,15828.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221041,2.2.3.3,16290.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221041,2.2.3.3,x
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Glass,Square metres,v52221041,2.2.3.3,7519.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221047,2.2.4.2,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221047,2.2.4.2,125600.00000000
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221047,2.2.4.2,F
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221047,2.2.4.2,342540.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221047,2.2.4.2,200965.00000000
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221047,2.2.4.2,34005.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221047,2.2.4.2,121686.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221047,2.2.4.2,x
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square feet,v52221047,2.2.4.2,88255.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221053,2.2.4.3,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221053,2.2.4.3,11669.00000000
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221053,2.2.4.3,F
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221053,2.2.4.3,31823.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221053,2.2.4.3,18670.00000000
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221053,2.2.4.3,3159.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221053,2.2.4.3,11305.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221053,2.2.4.3,x
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Rigid plastic,Square metres,v52221053,2.2.4.3,8199.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221059,2.2.5.2,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221059,2.2.5.2,3113000.00000000
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221059,2.2.5.2,3291610.00000000
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221059,2.2.5.2,2811045.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221059,2.2.5.2,2903880.00000000
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221059,2.2.5.2,2802315.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221059,2.2.5.2,2728185.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221059,2.2.5.2,2969038.00000000
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square feet,v52221059,2.2.5.2,2846863.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221065,2.2.5.3,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221065,2.2.5.3,289207.00000000
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221065,2.2.5.3,305800.00000000
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221065,2.2.5.3,261155.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221065,2.2.5.3,269779.00000000
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221065,2.2.5.3,260343.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221065,2.2.5.3,253457.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221065,2.2.5.3,275833.00000000
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Poly-film,Square metres,v52221065,2.2.5.3,264482.00000000
2007,Atlantic provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221071,2.2.6.1,0.00000000
2008,Atlantic provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221071,2.2.6.1,1050.00000000
2009,Atlantic provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221071,2.2.6.1,1070.00000000
2010,Atlantic provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221071,2.2.6.1,970.00000000
2011,Atlantic provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221071,2.2.6.1,1070.00000000
2012,Atlantic provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221071,2.2.6.1,905.00000000
2013,Atlantic provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221071,2.2.6.1,1380.00000000
2014,Atlantic provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221071,2.2.6.1,1282.00000000
2015,Atlantic provinces,Specialized greenhouse flowers and plants,Total months of operation,Number,v52221071,2.2.6.1,1278.00000000
2007,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220958,3.1.1.1,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220958,3.1.1.1,235.00000000
2009,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220958,3.1.1.1,235.00000000
2010,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220958,3.1.1.1,240.00000000
2011,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220958,3.1.1.1,245.00000000
2012,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220958,3.1.1.1,240.00000000
2013,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220958,3.1.1.1,235.00000000
2014,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220958,3.1.1.1,195.00000000
2015,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse operations,Number,v52220958,3.1.1.1,190.00000000
2007,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220964,3.1.2.2,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220964,3.1.2.2,6533500.00000000
2009,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220964,3.1.2.2,7688840.00000000
2010,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220964,3.1.2.2,8420005.00000000
2011,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220964,3.1.2.2,9024800.00000000
2012,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220964,3.1.2.2,9068065.00000000
2013,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220964,3.1.2.2,9566021.00000000
2014,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220964,3.1.2.2,7362037.00000000
2015,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square feet,v52220964,3.1.2.2,7615238.00000000
2007,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220970,3.1.2.3,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220970,3.1.2.3,606982.00000000
2009,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220970,3.1.2.3,714316.00000000
2010,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220970,3.1.2.3,782244.00000000
2011,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220970,3.1.2.3,838431.00000000
2012,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220970,3.1.2.3,842450.00000000
2013,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220970,3.1.2.3,888712.00000000
2014,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220970,3.1.2.3,683955.00000000
2015,Quebec,Specialized greenhouse fruits and vegetables,Total greenhouse area,Square metres,v52220970,3.1.2.3,707478.00000000
2007,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220976,3.1.3.2,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220976,3.1.3.2,x
2009,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220976,3.1.3.2,2095480.00000000
2010,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220976,3.1.3.2,F
2011,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220976,3.1.3.2,x
2012,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220976,3.1.3.2,F
2013,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220976,3.1.3.2,x
2014,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220976,3.1.3.2,x
2015,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square feet,v52220976,3.1.3.2,F
2007,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220982,3.1.3.3,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220982,3.1.3.3,x
2009,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220982,3.1.3.3,194676.00000000
2010,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220982,3.1.3.3,F
2011,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220982,3.1.3.3,x
2012,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220982,3.1.3.3,F
2013,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220982,3.1.3.3,x
2014,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220982,3.1.3.3,x
2015,Quebec,Specialized greenhouse fruits and vegetables,Glass,Square metres,v52220982,3.1.3.3,F
2007,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220988,3.1.4.2,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220988,3.1.4.2,x
2009,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220988,3.1.4.2,F
2010,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220988,3.1.4.2,F
2011,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220988,3.1.4.2,x
2012,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220988,3.1.4.2,F
2013,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220988,3.1.4.2,x
2014,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220988,3.1.4.2,x
2015,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square feet,v52220988,3.1.4.2,190643.00000000
2007,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220994,3.1.4.3,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220994,3.1.4.3,x
2009,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220994,3.1.4.3,F
2010,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220994,3.1.4.3,F
2011,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220994,3.1.4.3,x
2012,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220994,3.1.4.3,F
2013,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220994,3.1.4.3,x
2014,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220994,3.1.4.3,x
2015,Quebec,Specialized greenhouse fruits and vegetables,Rigid plastic,Square metres,v52220994,3.1.4.3,17711.00000000
2007,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221000,3.1.5.2,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221000,3.1.5.2,4346660.00000000
2009,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221000,3.1.5.2,4397360.00000000
2010,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221000,3.1.5.2,4590085.00000000
2011,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221000,3.1.5.2,5557440.00000000
2012,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221000,3.1.5.2,5843410.00000000
2013,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221000,3.1.5.2,5584066.00000000
2014,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221000,3.1.5.2,3924597.00000000
2015,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square feet,v52221000,3.1.5.2,4002947.00000000
2007,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221006,3.1.5.3,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221006,3.1.5.3,403818.00000000
2009,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221006,3.1.5.3,408528.00000000
2010,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221006,3.1.5.3,426433.00000000
2011,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221006,3.1.5.3,516303.00000000
2012,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221006,3.1.5.3,542870.00000000
2013,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221006,3.1.5.3,518776.00000000
2014,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221006,3.1.5.3,364607.00000000
2015,Quebec,Specialized greenhouse fruits and vegetables,Poly-film,Square metres,v52221006,3.1.5.3,371886.00000000
2007,Quebec,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221012,3.1.6.1,0.00000000
2008,Quebec,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221012,3.1.6.1,1320.00000000
2009,Quebec,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221012,3.1.6.1,1485.00000000
2010,Quebec,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221012,3.1.6.1,1540.00000000
2011,Quebec,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221012,3.1.6.1,1450.00000000
2012,Quebec,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221012,3.1.6.1,1870.00000000
2013,Quebec,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221012,3.1.6.1,2292.00000000
2014,Quebec,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221012,3.1.6.1,1484.00000000
2015,Quebec,Specialized greenhouse fruits and vegetables,Total months of operation,Number,v52221012,3.1.6.1,1685.00000000
2007,Quebec,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221018,3.2.1.1,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221018,3.2.1.1,440.00000000
2009,Quebec,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221018,3.2.1.1,410.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221018,3.2.1.1,400.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221018,3.2.1.1,380.00000000
2012,Quebec,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221018,3.2.1.1,365.00000000
2013,Quebec,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221018,3.2.1.1,360.00000000
2014,Quebec,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221018,3.2.1.1,350.00000000
2015,Quebec,Specialized greenhouse flowers and plants,Total greenhouse operations,Number,v52221018,3.2.1.1,345.00000000
2007,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221024,3.2.2.2,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221024,3.2.2.2,15022680.00000000
2009,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221024,3.2.2.2,15001110.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221024,3.2.2.2,14465520.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221024,3.2.2.2,14224780.00000000
2012,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221024,3.2.2.2,12715520.00000000
2013,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221024,3.2.2.2,12386893.00000000
2014,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221024,3.2.2.2,13278605.00000000
2015,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square feet,v52221024,3.2.2.2,13331972.00000000
2007,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221030,3.2.2.3,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221030,3.2.2.3,1395652.00000000
2009,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221030,3.2.2.3,1393648.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221030,3.2.2.3,1343890.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221030,3.2.2.3,1321525.00000000
2012,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221030,3.2.2.3,1181310.00000000
2013,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221030,3.2.2.3,1150780.00000000
2014,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221030,3.2.2.3,1233622.00000000
2015,Quebec,Specialized greenhouse flowers and plants,Total greenhouse area,Square metres,v52221030,3.2.2.3,1238580.00000000
2007,Quebec,Specialized greenhouse flowers and plants,Glass,Square feet,v52221036,3.2.3.2,0.00000000
2008,Quebec,Specialized greenhouse flowers and plants,Glass,Square feet,v52221036,3.2.3.2,F
2009,Quebec,Specialized greenhouse flowers and plants,Glass,Square feet,v52221036,3.2.3.2,1221235.00000000
2010,Quebec,Specialized greenhouse flowers and plants,Glass,Square feet,v52221036,3.2.3.2,790360.00000000
2011,Quebec,Specialized greenhouse flowers and plants,Glass,Square feet,v52221036,3.2.3.2,940925.00000000
2012,Quebec,Specialized greenhouse flowers and plants,Glass,Square feet,v52221036,3.2.3.2,865570.00000000
2013,Quebec,Specialized greenhouse flowers and plants,Glass,Square feet,v52221036,3.2.3.2,695192.00000000
2014,Quebec,Specialized greenhouse flowers and plants,Glass,Square feet,v52221036,3.2.3.2,x
2015,Quebec,Specialized greenhouse flowers and plants,Glass,Square feet,v52221036,3.2.3.2,x
