Ref_Date,GEO,PRODUCTION,FRUIT,UOFM,PROCESS,Vector,Coordinate,Value
1957,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,2775.0
1958,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,2825.0
1959,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,1775.0
1960,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,1688.0
1961,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,2750.0
1962,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,1370.0
1963,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,2345.0
1964,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,1298.0
1965,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,1338.0
1966,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,2172.0
1967,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,1623.0
1968,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,1110.0
1969,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,900.0
1970,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,1264.0
1971,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,814.0
1972,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,1268.0
1973,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,709.0
1974,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,867.0
1975,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,973.0
1976,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,101.0
1977,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,973.0
1978,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,131.0
1979,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,263.0
1980,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,244.0
1981,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,92.0
1982,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,185.0
1983,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,135.0
1984,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,142.0
1985,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,154.0
1986,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,89.0
1987,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,133.0
1988,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,77.0
1989,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,93.0
1990,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,32.0
1991,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,67.0
1992,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,112.0
1993,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,70.0
1994,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,100.0
1995,Ontario,Total production,Plums and prunes,Tons,Processed,v380679,1.1.3.2.2,60.0
1940,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,4888.0
1941,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,4925.0
1942,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,10601.0
1943,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,11187.0
1944,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,14888.0
1945,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,14438.0
1946,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,8710.0
1947,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,9296.0
1948,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,9137.0
1949,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,11050.0
1950,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,25806.0
1951,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,25279.0
1952,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,24854.0
1953,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,20687.0
1954,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,19810.0
1955,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,21613.0
1956,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,16536.0
1957,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,9425.0
1958,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,18237.0
1959,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,10878.0
1960,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,18020.0
1961,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,8822.0
1962,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,8986.0
1963,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,14718.0
1964,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,20737.0
1965,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,20279.0
1966,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,14941.0
1967,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,20375.0
1968,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,11579.0
1969,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,13453.0
1970,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,11536.0
1971,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,10398.0
1972,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,6112.0
1973,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,6868.0
1974,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,11162.0
1975,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,9732.0
1976,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,10294.0
1977,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,9240.0
1978,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,9975.0
1979,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,10692.0
1980,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,6233.0
1981,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,8287.0
1982,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,8745.0
1983,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,9631.0
1984,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,8027.0
1985,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,8100.0
1986,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,8117.0
1987,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,7802.0
1988,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,7730.0
1989,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,10248.0
1990,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,8885.0
1991,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,2529.0
1992,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,6639.0
1993,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,6779.0
1994,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,6178.0
1995,Ontario,Total production,Grapes,Tons,Fresh,v380623,1.1.4.2.1,7073.0
1940,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,20062.0
1941,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,17575.0
1942,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,25399.0
1943,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,14813.0
1944,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,13782.0
1945,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,17093.0
1946,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,23853.0
1947,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,26449.0
1948,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,18185.0
1949,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,13435.0
1950,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,28059.0
1951,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,18075.0
1952,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,17093.0
1953,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,18447.0
1954,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,23741.0
1955,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,24767.0
1956,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,23371.0
1957,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,24125.0
1958,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,33700.0
1959,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,30022.0
1960,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,37899.0
1961,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,31995.0
1962,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,35521.0
1963,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,36572.0
1964,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,36170.0
1965,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,37478.0
1966,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,42809.0
1967,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,42925.0
1968,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,43021.0
1969,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,46919.0
1970,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,51645.0
1971,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,67777.0
1972,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,46029.0
1973,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,52706.0
1974,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,56536.0
1975,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,62290.0
1976,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,65946.0
1977,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,49344.0
1978,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,64525.0
1979,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,59665.0
1980,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,60145.0
1981,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,60537.0
1982,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,56015.0
1983,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,68686.0
1984,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,82011.0
1985,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,61237.0
1986,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,77026.0
1987,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,70332.0
1988,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,67405.0
1989,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,42044.0
1990,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,47515.0
1991,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,55666.0
1992,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,48146.0
1993,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,30621.0
1994,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,41239.0
1995,Ontario,Total production,Grapes,Tons,Processed,v380631,1.1.4.2.2,49024.0
1940,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,9776.0
1941,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,9850.0
1942,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,21202.0
1943,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,22374.0
1944,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,29776.0
1945,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,28876.0
1946,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,17420.0
1947,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,18592.0
1948,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,18274.0
1949,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,22100.0
1950,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,51612.0
1951,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,50558.0
1952,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,49708.0
1953,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,41374.0
1954,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,39620.0
1955,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,43226.0
1956,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,33072.0
1957,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,18850.0
1958,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,36474.0
1959,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,21756.0
1960,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,36040.0
1961,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,17644.0
1962,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,17972.0
1963,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,29436.0
1964,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,41474.0
1965,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,40558.0
1966,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,29882.0
1967,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,40750.0
1968,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,23158.0
1969,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,26907.0
1970,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,23072.0
1971,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,20796.0
1972,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,12223.0
1973,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,13735.0
1974,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,22325.0
1975,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,19464.0
1976,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,20589.0
1977,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,18480.0
1978,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,19949.0
1979,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,21384.0
1980,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,12465.0
1981,Ontario,Total production,Grapes,Pounds,"Fresh (x 1,000)",v380621,1.1.4.3.1,16574.0
1940,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,40124.0
1941,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,35150.0
1942,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,50798.0
1943,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,29626.0
1944,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,27564.0
1945,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,34186.0
1946,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,47706.0
1947,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,52898.0
1948,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,36370.0
1949,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,26870.0
1950,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,56118.0
1951,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,36150.0
1952,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,34186.0
1953,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,36894.0
1954,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,47482.0
1955,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,49534.0
1956,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,46742.0
1957,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,48250.0
1958,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,67400.0
1959,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,60044.0
1960,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,75798.0
1961,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,63990.0
1962,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,71042.0
1963,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,73144.0
1964,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,72340.0
1965,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,74956.0
1966,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,85618.0
1967,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,85850.0
1968,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,86042.0
1969,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,93838.0
1970,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,103290.0
1971,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,135554.0
1972,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,92058.0
1973,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,105412.0
1974,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,113072.0
1975,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,124580.0
1976,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,131892.0
1977,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,98688.0
1978,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,129050.0
1979,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,119330.0
1980,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,120290.0
1981,Ontario,Total production,Grapes,Pounds,"Processed (x 1,000)",v380629,1.1.4.3.2,121074.0
1940,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,1092.0
1941,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,1463.0
1942,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,1794.0
1943,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,1037.0
1944,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2110.0
1945,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,1888.0
1946,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,1723.0
1947,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,1181.0
1948,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,1270.0
1949,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,740.0
1950,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,601.0
1951,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,718.0
1952,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2709.0
1953,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2760.0
1954,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2031.0
1955,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2247.0
1956,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,1953.0
1957,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2406.0
1958,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2769.0
1959,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2345.0
1960,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2816.0
1961,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2664.0
1962,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,2359.0
1963,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,3461.0
1964,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,4206.0
1965,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,3234.0
1966,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,4254.0
1967,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,4332.0
1968,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,5337.0
1969,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,7308.0
1970,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,6344.0
1971,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,6899.0
1972,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,6259.0
1973,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,6500.0
1974,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,8415.0
1975,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,8999.0
1976,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,9790.0
1977,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,8329.0
1978,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,10926.0
1979,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,9985.0
1980,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,11384.0
1981,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,8858.0
1982,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,13474.0
1983,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,12168.0
1984,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,11576.0
1985,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,14523.0
1986,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,13390.0
1987,Ontario,Farm value,Peaches,Dollars,"Fresh (x 1,000)",v380641,1.2.1.4.1,15145.0
