Ref_Date,GEO,PRODUCTION,FRUIT,UOFM,PROCESS,Vector,Coordinate,Value
1992,Newfoundland and Labrador,Farm value,Cranberries,Dollars,"Fresh and processed (x 1,000)",v74631,3.2.2.3.1,158.00
1993,Newfoundland and Labrador,Farm value,Cranberries,Dollars,"Fresh and processed (x 1,000)",v74631,3.2.2.3.1,310.00
1994,Newfoundland and Labrador,Farm value,Cranberries,Dollars,"Fresh and processed (x 1,000)",v74631,3.2.2.3.1,1131.00
1995,Newfoundland and Labrador,Farm value,Cranberries,Dollars,"Fresh and processed (x 1,000)",v74631,3.2.2.3.1,218.00
1974,Newfoundland and Labrador,Average price per pound,Cranberries,Dollars,Fresh and processed,v74636,3.3.2.3.1,0.30
1975,Newfoundland and Labrador,Average price per pound,Cranberries,Dollars,Fresh and processed,v74636,3.3.2.3.1,0.51
1976,Newfoundland and Labrador,Average price per pound,Cranberries,Dollars,Fresh and processed,v74636,3.3.2.3.1,0.58
1977,Newfoundland and Labrador,Average price per pound,Cranberries,Dollars,Fresh and processed,v74636,3.3.2.3.1,0.35
1978,Newfoundland and Labrador,Average price per pound,Cranberries,Dollars,Fresh and processed,v74636,3.3.2.3.1,0.45
1979,Newfoundland and Labrador,Average price per pound,Cranberries,Dollars,Fresh and processed,v74636,3.3.2.3.1,0.19
1980,Newfoundland and Labrador,Average price per pound,Cranberries,Dollars,Fresh and processed,v74636,3.3.2.3.1,0.51
1981,Newfoundland and Labrador,Average price per pound,Cranberries,Dollars,Fresh and processed,v74636,3.3.2.3.1,0.75
1926,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1927,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1928,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1929,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1930,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1931,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1932,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1933,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1934,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1935,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1936,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1937,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1938,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1939,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1940,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1941,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1942,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1943,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1944,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1945,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1946,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1947,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1948,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1949,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1950,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1951,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1952,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1953,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1954,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1955,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1956,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1957,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1958,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1959,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1960,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1961,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,60.00
1962,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,50.00
1963,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,100.00
1964,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,15.00
1965,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1966,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1967,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1968,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,30.00
1969,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1970,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,35.00
1971,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,90.00
1972,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,30.00
1973,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,35.00
1974,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1975,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,10.00
1976,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,5.00
1977,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,16.00
1978,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,3.00
1979,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1980,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1981,Prince Edward Island,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74622,4.1.2.1.1,0.00
1926,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1927,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1928,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1929,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1930,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1931,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1932,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1933,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1934,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1935,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1936,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1937,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1938,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1939,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1940,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1941,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1942,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1943,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1944,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1945,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1946,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1947,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1948,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1949,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1950,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1951,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1952,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1953,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1954,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1955,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1956,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1957,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1958,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1959,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1960,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1961,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.08
1962,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.14
1963,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.11
1964,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.13
1965,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1966,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1967,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1968,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.13
1969,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1970,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.11
1971,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.10
1972,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.17
1973,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.11
1974,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1975,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.20
1976,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.20
1977,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.12
1978,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.22
1979,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1980,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1981,Prince Edward Island,Average price per pound,Cranberries,Dollars,Fresh and processed,v74637,4.3.2.3.1,0.00
1926,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1927,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1928,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1929,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1930,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1931,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1932,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1933,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1934,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1935,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1936,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1937,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1938,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1939,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1940,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1941,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1942,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1943,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1944,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1945,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1946,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1947,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1948,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1949,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,570.00
1950,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,795.00
1951,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,650.00
1952,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,382.00
1953,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,121.00
1954,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,195.00
1955,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,116.00
1956,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,148.00
1957,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,192.00
1958,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,107.00
1959,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,518.00
1960,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,300.00
1961,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,205.00
1962,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,240.00
1963,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,120.00
1964,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,75.00
1965,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1966,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,0.00
1967,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,100.00
1968,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,100.00
1969,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,140.00
1970,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,105.00
1971,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,119.00
1972,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,160.00
1973,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,119.00
1974,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,90.00
1975,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,282.00
1976,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,338.00
1977,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,184.00
1978,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,300.00
1979,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,277.00
1980,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,300.00
1981,Nova Scotia,"Total, production",Cranberries,Pounds,"Fresh and processed (x 1,000)",v74623,5.1.2.1.1,406.00
1926,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1927,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1928,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1929,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1930,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1931,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1932,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1933,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1934,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1935,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1936,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1937,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1938,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1939,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1940,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1941,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1942,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1943,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1944,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1945,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1946,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1947,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1948,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1949,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,285.00
1950,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,398.00
1951,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,325.00
1952,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,191.00
1953,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,60.00
1954,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,98.00
1955,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,58.00
1956,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,74.00
1957,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,96.00
1958,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,54.00
1959,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,259.00
1960,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,150.00
1961,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,102.00
1962,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,120.00
1963,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,60.00
1964,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,38.00
1965,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1966,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,0.00
1967,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,50.00
1968,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,50.00
1969,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,70.00
1970,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,52.00
1971,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,60.00
1972,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,80.00
1973,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,60.00
1974,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,45.00
1975,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,141.00
1976,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,169.00
1977,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,92.00
1978,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,150.00
1979,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,138.00
1980,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,150.00
1981,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,203.00
1982,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,210.00
1983,Nova Scotia,"Total, production",Cranberries,Tons,Fresh and processed,v74628,5.1.2.2.1,215.00
