Ref_Date,GEO,ORI,INT,Vector,Coordinate,Value
1970,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,2216.00
1971,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,2015.00
1972,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,2486.00
1973,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,4813.00
1974,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,6636.00
1975,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,4516.00
1976,Canada,Overseas and the United States,"Workers, others not stated",v742552,1.1.14,4075.00
1953,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,77735.00
1954,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,69851.00
1955,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,51959.00
1956,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,73818.00
1957,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,130653.00
1958,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,61773.00
1959,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,53377.00
1960,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,50538.00
1961,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,36880.00
1962,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,37838.00
1963,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,47285.00
1964,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,56416.00
1965,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,72563.00
1966,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,95533.00
1967,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,103337.00
1968,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,88528.00
1969,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,77182.00
1970,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,69990.00
1971,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,60618.00
1972,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,62574.00
1973,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,91972.00
1974,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,112382.00
1975,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,106692.00
1976,Canada,Overseas and the United States,Total dependents,v742561,1.1.15,87968.00
1953,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,31343.00
1954,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,28897.00
1955,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,21637.00
1956,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,30547.00
1957,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,52533.00
1958,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,24795.00
1959,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,21223.00
1960,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,20654.00
1961,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,15882.00
1962,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,15674.00
1963,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,19305.00
1964,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,21023.00
1965,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,25809.00
1966,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,34216.00
1967,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,37894.00
1968,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,32091.00
1969,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,27389.00
1970,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,25361.00
1971,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,21333.00
1972,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,21749.00
1973,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,27530.00
1974,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,32470.00
1975,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,30175.00
1976,Canada,Overseas and the United States,"Dependents, spouse",v742562,1.1.16,25330.00
1953,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,41253.00
1954,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,35503.00
1955,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,25397.00
1956,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,38461.00
1957,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,70673.00
1958,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,30444.00
1959,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,26133.00
1960,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,24626.00
1961,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,17315.00
1962,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,18137.00
1963,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,23226.00
1964,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,29819.00
1965,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,40315.00
1966,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,53895.00
1967,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,56417.00
1968,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,44925.00
1969,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,38754.00
1970,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,34493.00
1971,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,29684.00
1972,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,30977.00
1973,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,44149.00
1974,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,61008.00
1975,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,56722.00
1976,Canada,Overseas and the United States,"Dependents, children",v742563,1.1.17,42197.00
1953,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,5139.00
1954,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,5451.00
1955,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,4925.00
1956,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,4810.00
1957,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,7447.00
1958,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,6534.00
1959,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,6021.00
1960,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,5258.00
1961,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,3683.00
1962,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,4027.00
1963,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,4754.00
1964,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,5574.00
1965,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,6439.00
1966,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,7422.00
1967,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,9026.00
1968,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,11512.00
1969,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,11039.00
1970,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,10136.00
1971,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,9601.00
1972,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,9848.00
1973,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,20293.00
1974,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,18904.00
1975,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,19795.00
1976,Canada,Overseas and the United States,"Dependents, other",v742564,1.1.18,20441.00
1953,Canada,Overseas,Total immigration,v742565,1.2.1,159489.00
1954,Canada,Overseas,Total immigration,v742565,1.2.1,144117.00
1955,Canada,Overseas,Total immigration,v742565,1.2.1,99554.00
1956,Canada,Overseas,Total immigration,v742565,1.2.1,155080.00
1957,Canada,Overseas,Total immigration,v742565,1.2.1,271156.00
1958,Canada,Overseas,Total immigration,v742565,1.2.1,114005.00
1959,Canada,Overseas,Total immigration,v742565,1.2.1,95590.00
1960,Canada,Overseas,Total immigration,v742565,1.2.1,92864.00
1961,Canada,Overseas,Total immigration,v742565,1.2.1,60173.00
1962,Canada,Overseas,Total immigration,v742565,1.2.1,62943.00
1963,Canada,Overseas,Total immigration,v742565,1.2.1,81415.00
1964,Canada,Overseas,Total immigration,v742565,1.2.1,100041.00
1965,Canada,Overseas,Total immigration,v742565,1.2.1,131615.00
1966,Canada,Overseas,Total immigration,v742565,1.2.1,177229.00
1967,Canada,Overseas,Total immigration,v742565,1.2.1,203838.00
1968,Canada,Overseas,Total immigration,v742565,1.2.1,163552.00
1969,Canada,Overseas,Total immigration,v742565,1.2.1,138746.00
1970,Canada,Overseas,Total immigration,v742565,1.2.1,123289.00
1971,Canada,Overseas,Total immigration,v742565,1.2.1,97534.00
1972,Canada,Overseas,Total immigration,v742565,1.2.1,99388.00
1973,Canada,Overseas,Total immigration,v742565,1.2.1,158958.00
1974,Canada,Overseas,Total immigration,v742565,1.2.1,191924.00
1975,Canada,Overseas,Total immigration,v742565,1.2.1,167726.00
1976,Canada,Overseas,Total immigration,v742565,1.2.1,132114.00
1953,Canada,Overseas,Total workers,v742566,1.2.2,87129.00
1954,Canada,Overseas,Total workers,v742566,1.2.2,80205.00
1955,Canada,Overseas,Total workers,v742566,1.2.2,53803.00
1956,Canada,Overseas,Total workers,v742566,1.2.2,87189.00
1957,Canada,Overseas,Total workers,v742566,1.2.2,147181.00
1958,Canada,Overseas,Total workers,v742566,1.2.2,58862.00
1959,Canada,Overseas,Total workers,v742566,1.2.2,49370.00
1960,Canada,Overseas,Total workers,v742566,1.2.2,49192.00
1961,Canada,Overseas,Total workers,v742566,1.2.2,30607.00
1962,Canada,Overseas,Total workers,v742566,1.2.2,32603.00
1963,Canada,Overseas,Total workers,v742566,1.2.2,41656.00
1964,Canada,Overseas,Total workers,v742566,1.2.2,51269.00
1965,Canada,Overseas,Total workers,v742566,1.2.2,67760.00
1966,Canada,Overseas,Total workers,v742566,1.2.2,91802.00
1967,Canada,Overseas,Total workers,v742566,1.2.2,111273.00
1968,Canada,Overseas,Total workers,v742566,1.2.2,85906.00
1969,Canada,Overseas,Total workers,v742566,1.2.2,74129.00
1970,Canada,Overseas,Total workers,v742566,1.2.2,66261.00
1971,Canada,Overseas,Total workers,v742566,1.2.2,50648.00
1972,Canada,Overseas,Total workers,v742566,1.2.2,49728.00
1973,Canada,Overseas,Total workers,v742566,1.2.2,81735.00
1974,Canada,Overseas,Total workers,v742566,1.2.2,94658.00
1975,Canada,Overseas,Total workers,v742566,1.2.2,73009.00
1976,Canada,Overseas,Total workers,v742566,1.2.2,54452.00
1953,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,704.00
1954,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,811.00
1955,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,486.00
1956,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,441.00
1957,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,617.00
1958,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,379.00
1959,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,305.00
1960,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,275.00
1961,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,274.00
1962,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,467.00
1963,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,551.00
1964,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,557.00
1965,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,841.00
1966,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,1319.00
1967,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,2061.00
1968,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,1589.00
1969,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,1610.00
1970,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,1901.00
1971,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,1977.00
1972,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,2901.00
1973,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,3949.00
1974,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,4673.00
1975,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,4284.00
1976,Canada,Overseas,"Workers, managerial and administrative",v742567,1.2.3,4386.00
1953,Canada,Overseas,"Workers, professional",v742571,1.2.4,7664.00
1954,Canada,Overseas,"Workers, professional",v742571,1.2.4,7269.00
1955,Canada,Overseas,"Workers, professional",v742571,1.2.4,6037.00
1956,Canada,Overseas,"Workers, professional",v742571,1.2.4,8322.00
1957,Canada,Overseas,"Workers, professional",v742571,1.2.4,14886.00
1958,Canada,Overseas,"Workers, professional",v742571,1.2.4,6277.00
1959,Canada,Overseas,"Workers, professional",v742571,1.2.4,5502.00
1960,Canada,Overseas,"Workers, professional",v742571,1.2.4,5808.00
1961,Canada,Overseas,"Workers, professional",v742571,1.2.4,5153.00
1962,Canada,Overseas,"Workers, professional",v742571,1.2.4,6575.00
1963,Canada,Overseas,"Workers, professional",v742571,1.2.4,7894.00
1964,Canada,Overseas,"Workers, professional",v742571,1.2.4,9935.00
1965,Canada,Overseas,"Workers, professional",v742571,1.2.4,13960.00
1966,Canada,Overseas,"Workers, professional",v742571,1.2.4,20422.00
1967,Canada,Overseas,"Workers, professional",v742571,1.2.4,26899.00
1968,Canada,Overseas,"Workers, professional",v742571,1.2.4,24186.00
1969,Canada,Overseas,"Workers, professional",v742571,1.2.4,21645.00
1970,Canada,Overseas,"Workers, professional",v742571,1.2.4,17020.00
1971,Canada,Overseas,"Workers, professional",v742571,1.2.4,11479.00
1972,Canada,Overseas,"Workers, professional",v742571,1.2.4,11081.00
1973,Canada,Overseas,"Workers, professional",v742571,1.2.4,14704.00
1974,Canada,Overseas,"Workers, professional",v742571,1.2.4,17100.00
1975,Canada,Overseas,"Workers, professional",v742571,1.2.4,16376.00
1976,Canada,Overseas,"Workers, professional",v742571,1.2.4,11705.00
1953,Canada,Overseas,"Workers, clerical",v742572,1.2.5,5943.00
1954,Canada,Overseas,"Workers, clerical",v742572,1.2.5,6331.00
1955,Canada,Overseas,"Workers, clerical",v742572,1.2.5,5334.00
1956,Canada,Overseas,"Workers, clerical",v742572,1.2.5,9027.00
1957,Canada,Overseas,"Workers, clerical",v742572,1.2.5,16365.00
1958,Canada,Overseas,"Workers, clerical",v742572,1.2.5,6249.00
1959,Canada,Overseas,"Workers, clerical",v742572,1.2.5,4998.00
1960,Canada,Overseas,"Workers, clerical",v742572,1.2.5,5360.00
1961,Canada,Overseas,"Workers, clerical",v742572,1.2.5,3772.00
1962,Canada,Overseas,"Workers, clerical",v742572,1.2.5,4418.00
1963,Canada,Overseas,"Workers, clerical",v742572,1.2.5,5710.00
1964,Canada,Overseas,"Workers, clerical",v742572,1.2.5,7228.00
1965,Canada,Overseas,"Workers, clerical",v742572,1.2.5,8939.00
1966,Canada,Overseas,"Workers, clerical",v742572,1.2.5,12146.00
1967,Canada,Overseas,"Workers, clerical",v742572,1.2.5,15440.00
1968,Canada,Overseas,"Workers, clerical",v742572,1.2.5,11381.00
1969,Canada,Overseas,"Workers, clerical",v742572,1.2.5,10816.00
1970,Canada,Overseas,"Workers, clerical",v742572,1.2.5,10562.00
1971,Canada,Overseas,"Workers, clerical",v742572,1.2.5,8610.00
1972,Canada,Overseas,"Workers, clerical",v742572,1.2.5,7452.00
1973,Canada,Overseas,"Workers, clerical",v742572,1.2.5,12145.00
1974,Canada,Overseas,"Workers, clerical",v742572,1.2.5,14293.00
1975,Canada,Overseas,"Workers, clerical",v742572,1.2.5,10873.00
1976,Canada,Overseas,"Workers, clerical",v742572,1.2.5,8637.00
1953,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1749.00
1954,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1831.00
1955,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1083.00
1956,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,2157.00
1957,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,5125.00
1958,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1096.00
1959,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,916.00
1960,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1129.00
1961,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,469.00
1962,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,417.00
1963,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,580.00
1964,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,683.00
1965,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1100.00
1966,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1698.00
1967,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1759.00
1968,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1153.00
1969,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,831.00
1970,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,707.00
1971,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,595.00
1972,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,604.00
1973,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1080.00
1974,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,1141.00
1975,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,932.00
1976,Canada,Overseas,"Workers, transport and communication",v742573,1.2.6,677.00
1953,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2739.00
1954,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2355.00
1955,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,1771.00
1956,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,3411.00
1957,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,6137.00
1958,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,1859.00
1959,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,1670.00
1960,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,1778.00
1961,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,922.00
1962,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,949.00
1963,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,1238.00
1964,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,1728.00
1965,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2286.00
1966,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2921.00
1967,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2965.00
1968,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2688.00
1969,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2691.00
1970,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2336.00
1971,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,1893.00
1972,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,1938.00
1973,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,3133.00
1974,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,3542.00
1975,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2984.00
1976,Canada,Overseas,"Workers, commercial and financial",v742574,1.2.7,2364.00
1953,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,13566.00
1954,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,11735.00
1955,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,9312.00
1956,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,13508.00
1957,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,17245.00
1958,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,11174.00
1959,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,9416.00
1960,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,8414.00
1961,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,6255.00
1962,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,5585.00
1963,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,5861.00
1964,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,6137.00
1965,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,7225.00
1966,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,8254.00
1967,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,10342.00
1968,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,8773.00
1969,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,8516.00
1970,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,7138.00
1971,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,5738.00
1972,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,5846.00
1973,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,11134.00
1974,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,10095.00
1975,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,6834.00
1976,Canada,Overseas,"Workers, service, sports and recreation",v742575,1.2.8,5396.00
1953,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,17037.00
1954,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,10709.00
1955,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,6846.00
1956,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,7351.00
1957,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,10702.00
1958,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,4898.00
1959,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,4764.00
1960,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,5095.00
1961,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,2069.00
1962,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,1691.00
1963,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,2166.00
1964,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,2066.00
1965,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,2223.00
1966,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,3007.00
1967,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,3015.00
1968,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,2889.00
1969,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,2075.00
1970,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,1891.00
1971,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,1939.00
1972,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,1960.00
1973,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,2850.00
1974,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,2373.00
1975,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,1371.00
1976,Canada,Overseas,"Workers, agriculture",v742576,1.2.9,1053.00
1953,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,379.00
1954,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,277.00
1955,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,194.00
1956,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,429.00
1957,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,747.00
1958,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,140.00
1959,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,91.00
1960,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,157.00
1961,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,47.00
1962,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,52.00
1963,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,45.00
1964,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,57.00
1965,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,148.00
1966,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,219.00
1967,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,289.00
1968,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,98.00
1969,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,106.00
1970,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,74.00
1971,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,57.00
1972,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,60.00
1973,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,148.00
1974,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,193.00
1975,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,128.00
1976,Canada,Overseas,"Workers, logging, fishing and trapping",v742577,1.2.10,49.00
1953,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,432.00
1954,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,390.00
1955,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,235.00
1956,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,1113.00
1957,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,1815.00
1958,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,322.00
1959,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,236.00
1960,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,463.00
1961,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,75.00
1962,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,88.00
1963,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,113.00
1964,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,104.00
1965,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,216.00
1966,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,318.00
1967,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,358.00
1968,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,470.00
1969,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,379.00
1970,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,250.00
1971,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,209.00
1972,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,131.00
1973,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,152.00
1974,Canada,Overseas,"Workers, mining and quarrying, gas and oil",v742578,1.2.11,216.00
