Ref_Date,GEO,AG,SEX,CA,STA,Vector,Coordinate,Value
2012,Inuit Nunangat,25 to 54 years,Both sexes,Gathered wild plants less than once a week but at least once a month during the season,Low 95% confidence interval (percent),v98406723,2.3.1.15.3,9.7
2012,Inuit Nunangat,25 to 54 years,Both sexes,Gathered wild plants less than once a week but at least once a month during the season,High 95% confidence interval (percent),v98406724,2.3.1.15.4,13.5
2012,Inuit Nunangat,25 to 54 years,Both sexes,Gathered wild plants at least once in the last year but not at all in the last month,Number of persons,v98406725,2.3.1.16.1,470.0
2012,Inuit Nunangat,25 to 54 years,Both sexes,Gathered wild plants at least once in the last year but not at all in the last month,Percent,v98406726,2.3.1.16.2,3.0
2012,Inuit Nunangat,25 to 54 years,Both sexes,Gathered wild plants at least once in the last year but not at all in the last month,Low 95% confidence interval (percent),v98406727,2.3.1.16.3,2.3
2012,Inuit Nunangat,25 to 54 years,Both sexes,Gathered wild plants at least once in the last year but not at all in the last month,High 95% confidence interval (percent),v98406728,2.3.1.16.4,3.9
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified how often gathered wild plants in the last year,Number of persons,v98406729,2.3.1.17.1,F
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified how often gathered wild plants in the last year,Percent,v98406730,2.3.1.17.2,F
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified how often gathered wild plants in the last year,Low 95% confidence interval (percent),v98406731,2.3.1.17.3,F
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified how often gathered wild plants in the last year,High 95% confidence interval (percent),v98406732,2.3.1.17.4,F
2012,Inuit Nunangat,25 to 54 years,Both sexes,Did not gather wild plants in the last year,Number of persons,v98406733,2.3.1.18.1,6940.0
2012,Inuit Nunangat,25 to 54 years,Both sexes,Did not gather wild plants in the last year,Percent,v98406734,2.3.1.18.2,44.3
2012,Inuit Nunangat,25 to 54 years,Both sexes,Did not gather wild plants in the last year,Low 95% confidence interval (percent),v98406735,2.3.1.18.3,41.2
2012,Inuit Nunangat,25 to 54 years,Both sexes,Did not gather wild plants in the last year,High 95% confidence interval (percent),v98406736,2.3.1.18.4,47.4
2012,Inuit Nunangat,25 to 54 years,Both sexes,Interested in gathering wild plants,Number of persons,v98406737,2.3.1.19.1,1700.0
2012,Inuit Nunangat,25 to 54 years,Both sexes,Interested in gathering wild plants,Percent,v98406738,2.3.1.19.2,10.8
2012,Inuit Nunangat,25 to 54 years,Both sexes,Interested in gathering wild plants,Low 95% confidence interval (percent),v98406739,2.3.1.19.3,9.2
2012,Inuit Nunangat,25 to 54 years,Both sexes,Interested in gathering wild plants,High 95% confidence interval (percent),v98406740,2.3.1.19.4,12.8
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not interested in gathering wild plants,Number of persons,v98406741,2.3.1.20.1,5110.0
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not interested in gathering wild plants,Percent,v98406742,2.3.1.20.2,32.6
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not interested in gathering wild plants,Low 95% confidence interval (percent),v98406743,2.3.1.20.3,29.8
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not interested in gathering wild plants,High 95% confidence interval (percent),v98406744,2.3.1.20.4,35.5
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified if interested in gathering wild plants,Number of persons,v98406745,2.3.1.21.1,F
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified if interested in gathering wild plants,Percent,v98406746,2.3.1.21.2,F
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified if interested in gathering wild plants,Low 95% confidence interval (percent),v98406747,2.3.1.21.3,F
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified if interested in gathering wild plants,High 95% confidence interval (percent),v98406748,2.3.1.21.4,F
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified if gathered wild plants in the last year,Number of persons,v98406749,2.3.1.22.1,880.0
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified if gathered wild plants in the last year,Percent,v98406750,2.3.1.22.2,5.6
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified if gathered wild plants in the last year,Low 95% confidence interval (percent),v98406751,2.3.1.22.3,4.3
2012,Inuit Nunangat,25 to 54 years,Both sexes,Not specified if gathered wild plants in the last year,High 95% confidence interval (percent),v98406752,2.3.1.22.4,7.2
2012,Inuit Nunangat,25 to 54 years,Male,"Total, hunted, fished or trapped in the last year",Number of persons,v98406753,2.3.2.1.1,7600.0
2012,Inuit Nunangat,25 to 54 years,Male,"Total, hunted, fished or trapped in the last year",Percent,v98406754,2.3.2.1.2,100.0
2012,Inuit Nunangat,25 to 54 years,Male,"Total, hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98406755,2.3.2.1.3,100.0
2012,Inuit Nunangat,25 to 54 years,Male,"Total, hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98406756,2.3.2.1.4,100.0
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped in the last year",Number of persons,v98406757,2.3.2.2.1,5990.0
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped in the last year",Percent,v98406758,2.3.2.2.2,78.8
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98406759,2.3.2.2.3,75.1
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98406760,2.3.2.2.4,82.0
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped at least once a week during the season",Number of persons,v98406761,2.3.2.3.1,3780.0
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped at least once a week during the season",Percent,v98406762,2.3.2.3.2,49.7
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped at least once a week during the season",Low 95% confidence interval (percent),v98406763,2.3.2.3.3,58.2
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped at least once a week during the season",High 95% confidence interval (percent),v98406764,2.3.2.3.4,67.7
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped less than once a week but at least once a month during the season",Number of persons,v98406765,2.3.2.4.1,1690.0
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped less than once a week but at least once a month during the season",Percent,v98406766,2.3.2.4.2,22.2
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped less than once a week but at least once a month during the season",Low 95% confidence interval (percent),v98406767,2.3.2.4.3,24.1
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped less than once a week but at least once a month during the season",High 95% confidence interval (percent),v98406768,2.3.2.4.4,32.8
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped at least once during the season but not at all in the last month",Number of persons,v98406769,2.3.2.5.1,510.0
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped at least once during the season but not at all in the last month",Percent,v98406770,2.3.2.5.2,6.7
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped at least once during the season but not at all in the last month",Low 95% confidence interval (percent),v98406771,2.3.2.5.3,5.9
2012,Inuit Nunangat,25 to 54 years,Male,"Hunted, fished or trapped at least once during the season but not at all in the last month",High 95% confidence interval (percent),v98406772,2.3.2.5.4,12.0
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified how often hunted, fished or trapped in the last year",Number of persons,v98406773,2.3.2.6.1,F
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified how often hunted, fished or trapped in the last year",Percent,v98406774,2.3.2.6.2,F
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified how often hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98406775,2.3.2.6.3,F
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified how often hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98406776,2.3.2.6.4,F
2012,Inuit Nunangat,25 to 54 years,Male,"Did not hunt, fish or trap in the last year",Number of persons,v98406777,2.3.2.7.1,1260.0
2012,Inuit Nunangat,25 to 54 years,Male,"Did not hunt, fish or trap in the last year",Percent,v98406778,2.3.2.7.2,16.6
2012,Inuit Nunangat,25 to 54 years,Male,"Did not hunt, fish or trap in the last year",Low 95% confidence interval (percent),v98406779,2.3.2.7.3,13.8
2012,Inuit Nunangat,25 to 54 years,Male,"Did not hunt, fish or trap in the last year",High 95% confidence interval (percent),v98406780,2.3.2.7.4,19.8
2012,Inuit Nunangat,25 to 54 years,Male,"Interested in hunting, fishing or trapping",Number of persons,v98406781,2.3.2.8.1,820.0
2012,Inuit Nunangat,25 to 54 years,Male,"Interested in hunting, fishing or trapping",Percent,v98406782,2.3.2.8.2,10.8
2012,Inuit Nunangat,25 to 54 years,Male,"Interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98406783,2.3.2.8.3,8.7
2012,Inuit Nunangat,25 to 54 years,Male,"Interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98406784,2.3.2.8.4,13.2
2012,Inuit Nunangat,25 to 54 years,Male,"Not interested in hunting, fishing or trapping",Number of persons,v98406785,2.3.2.9.1,370.0
2012,Inuit Nunangat,25 to 54 years,Male,"Not interested in hunting, fishing or trapping",Percent,v98406786,2.3.2.9.2,4.9
2012,Inuit Nunangat,25 to 54 years,Male,"Not interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98406787,2.3.2.9.3,3.4
2012,Inuit Nunangat,25 to 54 years,Male,"Not interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98406788,2.3.2.9.4,7.1
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified if interested in hunting, fishing or trapping",Number of persons,v98406789,2.3.2.10.1,F
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified if interested in hunting, fishing or trapping",Percent,v98406790,2.3.2.10.2,F
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified if interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98406791,2.3.2.10.3,F
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified if interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98406792,2.3.2.10.4,F
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified if hunted, fished or trapped in the last year",Number of persons,v98406793,2.3.2.11.1,350.0
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified if hunted, fished or trapped in the last year",Percent,v98406794,2.3.2.11.2,4.6
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified if hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98406795,2.3.2.11.3,3.1
2012,Inuit Nunangat,25 to 54 years,Male,"Not specified if hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98406796,2.3.2.11.4,6.9
2012,Inuit Nunangat,25 to 54 years,Male,"Total, gathered wild plants in the last year",Number of persons,v98406797,2.3.2.12.1,7600.0
2012,Inuit Nunangat,25 to 54 years,Male,"Total, gathered wild plants in the last year",Percent,v98406798,2.3.2.12.2,100.0
2012,Inuit Nunangat,25 to 54 years,Male,"Total, gathered wild plants in the last year",Low 95% confidence interval (percent),v98406799,2.3.2.12.3,100.0
2012,Inuit Nunangat,25 to 54 years,Male,"Total, gathered wild plants in the last year",High 95% confidence interval (percent),v98406800,2.3.2.12.4,100.0
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants in the last year,Number of persons,v98406801,2.3.2.13.1,3170.0
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants in the last year,Percent,v98406802,2.3.2.13.2,41.7
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants in the last year,Low 95% confidence interval (percent),v98406803,2.3.2.13.3,37.6
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants in the last year,High 95% confidence interval (percent),v98406804,2.3.2.13.4,46.0
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants at least once a week during the season,Number of persons,v98406805,2.3.2.14.1,2120.0
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants at least once a week during the season,Percent,v98406806,2.3.2.14.2,27.9
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants at least once a week during the season,Low 95% confidence interval (percent),v98406807,2.3.2.14.3,24.2
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants at least once a week during the season,High 95% confidence interval (percent),v98406808,2.3.2.14.4,31.9
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants less than once a week but at least once a month during the season,Number of persons,v98406809,2.3.2.15.1,830.0
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants less than once a week but at least once a month during the season,Percent,v98406810,2.3.2.15.2,10.9
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants less than once a week but at least once a month during the season,Low 95% confidence interval (percent),v98406811,2.3.2.15.3,8.7
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants less than once a week but at least once a month during the season,High 95% confidence interval (percent),v98406812,2.3.2.15.4,13.7
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants at least once in the last year but not at all in the last month,Number of persons,v98406813,2.3.2.16.1,220.0
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants at least once in the last year but not at all in the last month,Percent,v98406814,2.3.2.16.2,2.9
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants at least once in the last year but not at all in the last month,Low 95% confidence interval (percent),v98406815,2.3.2.16.3,2.0
2012,Inuit Nunangat,25 to 54 years,Male,Gathered wild plants at least once in the last year but not at all in the last month,High 95% confidence interval (percent),v98406816,2.3.2.16.4,4.2
2012,Inuit Nunangat,25 to 54 years,Male,Not specified how often gathered wild plants in the last year,Number of persons,v98406817,2.3.2.17.1,F
2012,Inuit Nunangat,25 to 54 years,Male,Not specified how often gathered wild plants in the last year,Percent,v98406818,2.3.2.17.2,F
2012,Inuit Nunangat,25 to 54 years,Male,Not specified how often gathered wild plants in the last year,Low 95% confidence interval (percent),v98406819,2.3.2.17.3,F
2012,Inuit Nunangat,25 to 54 years,Male,Not specified how often gathered wild plants in the last year,High 95% confidence interval (percent),v98406820,2.3.2.17.4,F
2012,Inuit Nunangat,25 to 54 years,Male,Did not gather wild plants in the last year,Number of persons,v98406821,2.3.2.18.1,4010.0
2012,Inuit Nunangat,25 to 54 years,Male,Did not gather wild plants in the last year,Percent,v98406822,2.3.2.18.2,52.8
2012,Inuit Nunangat,25 to 54 years,Male,Did not gather wild plants in the last year,Low 95% confidence interval (percent),v98406823,2.3.2.18.3,48.4
2012,Inuit Nunangat,25 to 54 years,Male,Did not gather wild plants in the last year,High 95% confidence interval (percent),v98406824,2.3.2.18.4,57.0
2012,Inuit Nunangat,25 to 54 years,Male,Interested in gathering wild plants,Number of persons,v98406825,2.3.2.19.1,650.0
2012,Inuit Nunangat,25 to 54 years,Male,Interested in gathering wild plants,Percent,v98406826,2.3.2.19.2,8.6
2012,Inuit Nunangat,25 to 54 years,Male,Interested in gathering wild plants,Low 95% confidence interval (percent),v98406827,2.3.2.19.3,6.6
2012,Inuit Nunangat,25 to 54 years,Male,Interested in gathering wild plants,High 95% confidence interval (percent),v98406828,2.3.2.19.4,10.9
2012,Inuit Nunangat,25 to 54 years,Male,Not interested in gathering wild plants,Number of persons,v98406829,2.3.2.20.1,3300.0
2012,Inuit Nunangat,25 to 54 years,Male,Not interested in gathering wild plants,Percent,v98406830,2.3.2.20.2,43.4
2012,Inuit Nunangat,25 to 54 years,Male,Not interested in gathering wild plants,Low 95% confidence interval (percent),v98406831,2.3.2.20.3,39.1
2012,Inuit Nunangat,25 to 54 years,Male,Not interested in gathering wild plants,High 95% confidence interval (percent),v98406832,2.3.2.20.4,47.9
2012,Inuit Nunangat,25 to 54 years,Male,Not specified if interested in gathering wild plants,Number of persons,v98406833,2.3.2.21.1,F
2012,Inuit Nunangat,25 to 54 years,Male,Not specified if interested in gathering wild plants,Percent,v98406834,2.3.2.21.2,F
2012,Inuit Nunangat,25 to 54 years,Male,Not specified if interested in gathering wild plants,Low 95% confidence interval (percent),v98406835,2.3.2.21.3,F
2012,Inuit Nunangat,25 to 54 years,Male,Not specified if interested in gathering wild plants,High 95% confidence interval (percent),v98406836,2.3.2.21.4,F
2012,Inuit Nunangat,25 to 54 years,Male,Not specified if gathered wild plants in the last year,Number of persons,v98406837,2.3.2.22.1,420.0
2012,Inuit Nunangat,25 to 54 years,Male,Not specified if gathered wild plants in the last year,Percent,v98406838,2.3.2.22.2,5.5
2012,Inuit Nunangat,25 to 54 years,Male,Not specified if gathered wild plants in the last year,Low 95% confidence interval (percent),v98406839,2.3.2.22.3,3.8
2012,Inuit Nunangat,25 to 54 years,Male,Not specified if gathered wild plants in the last year,High 95% confidence interval (percent),v98406840,2.3.2.22.4,8.2
2012,Inuit Nunangat,25 to 54 years,Female,"Total, hunted, fished or trapped in the last year",Number of persons,v98406841,2.3.3.1.1,8080.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, hunted, fished or trapped in the last year",Percent,v98406842,2.3.3.1.2,100.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98406843,2.3.3.1.3,100.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98406844,2.3.3.1.4,100.0
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped in the last year",Number of persons,v98406845,2.3.3.2.1,4440.0
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped in the last year",Percent,v98406846,2.3.3.2.2,55.0
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98406847,2.3.3.2.3,50.7
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98406848,2.3.3.2.4,59.0
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped at least once a week during the season",Number of persons,v98406849,2.3.3.3.1,2270.0
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped at least once a week during the season",Percent,v98406850,2.3.3.3.2,28.1
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped at least once a week during the season",Low 95% confidence interval (percent),v98406851,2.3.3.3.3,45.8
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped at least once a week during the season",High 95% confidence interval (percent),v98406852,2.3.3.3.4,56.4
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped less than once a week but at least once a month during the season",Number of persons,v98406853,2.3.3.4.1,1480.0
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped less than once a week but at least once a month during the season",Percent,v98406854,2.3.3.4.2,18.3
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped less than once a week but at least once a month during the season",Low 95% confidence interval (percent),v98406855,2.3.3.4.3,28.5
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped less than once a week but at least once a month during the season",High 95% confidence interval (percent),v98406856,2.3.3.4.4,38.8
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped at least once during the season but not at all in the last month",Number of persons,v98406857,2.3.3.5.1,650.0
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped at least once during the season but not at all in the last month",Percent,v98406858,2.3.3.5.2,8.0
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped at least once during the season but not at all in the last month",Low 95% confidence interval (percent),v98406859,2.3.3.5.3,11.3
2012,Inuit Nunangat,25 to 54 years,Female,"Hunted, fished or trapped at least once during the season but not at all in the last month",High 95% confidence interval (percent),v98406860,2.3.3.5.4,19.0
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified how often hunted, fished or trapped in the last year",Number of persons,v98406861,2.3.3.6.1,F
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified how often hunted, fished or trapped in the last year",Percent,v98406862,2.3.3.6.2,F
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified how often hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98406863,2.3.3.6.3,F
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified how often hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98406864,2.3.3.6.4,F
2012,Inuit Nunangat,25 to 54 years,Female,"Did not hunt, fish or trap in the last year",Number of persons,v98406865,2.3.3.7.1,3190.0
2012,Inuit Nunangat,25 to 54 years,Female,"Did not hunt, fish or trap in the last year",Percent,v98406866,2.3.3.7.2,39.5
2012,Inuit Nunangat,25 to 54 years,Female,"Did not hunt, fish or trap in the last year",Low 95% confidence interval (percent),v98406867,2.3.3.7.3,35.4
2012,Inuit Nunangat,25 to 54 years,Female,"Did not hunt, fish or trap in the last year",High 95% confidence interval (percent),v98406868,2.3.3.7.4,43.8
2012,Inuit Nunangat,25 to 54 years,Female,"Interested in hunting, fishing or trapping",Number of persons,v98406869,2.3.3.8.1,1820.0
2012,Inuit Nunangat,25 to 54 years,Female,"Interested in hunting, fishing or trapping",Percent,v98406870,2.3.3.8.2,22.5
2012,Inuit Nunangat,25 to 54 years,Female,"Interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98406871,2.3.3.8.3,19.1
2012,Inuit Nunangat,25 to 54 years,Female,"Interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98406872,2.3.3.8.4,26.4
2012,Inuit Nunangat,25 to 54 years,Female,"Not interested in hunting, fishing or trapping",Number of persons,v98406873,2.3.3.9.1,1370.0
2012,Inuit Nunangat,25 to 54 years,Female,"Not interested in hunting, fishing or trapping",Percent,v98406874,2.3.3.9.2,17.0
2012,Inuit Nunangat,25 to 54 years,Female,"Not interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98406875,2.3.3.9.3,14.1
2012,Inuit Nunangat,25 to 54 years,Female,"Not interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98406876,2.3.3.9.4,20.3
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified if interested in hunting, fishing or trapping",Number of persons,v98406877,2.3.3.10.1,F
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified if interested in hunting, fishing or trapping",Percent,v98406878,2.3.3.10.2,F
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified if interested in hunting, fishing or trapping",Low 95% confidence interval (percent),v98406879,2.3.3.10.3,F
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified if interested in hunting, fishing or trapping",High 95% confidence interval (percent),v98406880,2.3.3.10.4,F
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified if hunted, fished or trapped in the last year",Number of persons,v98406881,2.3.3.11.1,450.0
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified if hunted, fished or trapped in the last year",Percent,v98406882,2.3.3.11.2,5.6
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified if hunted, fished or trapped in the last year",Low 95% confidence interval (percent),v98406883,2.3.3.11.3,4.0
2012,Inuit Nunangat,25 to 54 years,Female,"Not specified if hunted, fished or trapped in the last year",High 95% confidence interval (percent),v98406884,2.3.3.11.4,7.7
2012,Inuit Nunangat,25 to 54 years,Female,"Total, gathered wild plants in the last year",Number of persons,v98406885,2.3.3.12.1,8080.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, gathered wild plants in the last year",Percent,v98406886,2.3.3.12.2,100.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, gathered wild plants in the last year",Low 95% confidence interval (percent),v98406887,2.3.3.12.3,100.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, gathered wild plants in the last year",High 95% confidence interval (percent),v98406888,2.3.3.12.4,100.0
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants in the last year,Number of persons,v98406889,2.3.3.13.1,4690.0
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants in the last year,Percent,v98406890,2.3.3.13.2,58.0
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants in the last year,Low 95% confidence interval (percent),v98406891,2.3.3.13.3,53.9
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants in the last year,High 95% confidence interval (percent),v98406892,2.3.3.13.4,62.2
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants at least once a week during the season,Number of persons,v98406893,2.3.3.14.1,3460.0
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants at least once a week during the season,Percent,v98406894,2.3.3.14.2,42.8
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants at least once a week during the season,Low 95% confidence interval (percent),v98406895,2.3.3.14.3,38.6
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants at least once a week during the season,High 95% confidence interval (percent),v98406896,2.3.3.14.4,47.0
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants less than once a week but at least once a month during the season,Number of persons,v98406897,2.3.3.15.1,960.0
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants less than once a week but at least once a month during the season,Percent,v98406898,2.3.3.15.2,11.9
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants less than once a week but at least once a month during the season,Low 95% confidence interval (percent),v98406899,2.3.3.15.3,9.5
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants less than once a week but at least once a month during the season,High 95% confidence interval (percent),v98406900,2.3.3.15.4,14.9
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants at least once in the last year but not at all in the last month,Number of persons,v98406901,2.3.3.16.1,250.0
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants at least once in the last year but not at all in the last month,Percent,v98406902,2.3.3.16.2,3.1
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants at least once in the last year but not at all in the last month,Low 95% confidence interval (percent),v98406903,2.3.3.16.3,2.2
2012,Inuit Nunangat,25 to 54 years,Female,Gathered wild plants at least once in the last year but not at all in the last month,High 95% confidence interval (percent),v98406904,2.3.3.16.4,4.4
2012,Inuit Nunangat,25 to 54 years,Female,Not specified how often gathered wild plants in the last year,Number of persons,v98406905,2.3.3.17.1,F
2012,Inuit Nunangat,25 to 54 years,Female,Not specified how often gathered wild plants in the last year,Percent,v98406906,2.3.3.17.2,F
2012,Inuit Nunangat,25 to 54 years,Female,Not specified how often gathered wild plants in the last year,Low 95% confidence interval (percent),v98406907,2.3.3.17.3,F
2012,Inuit Nunangat,25 to 54 years,Female,Not specified how often gathered wild plants in the last year,High 95% confidence interval (percent),v98406908,2.3.3.17.4,F
2012,Inuit Nunangat,25 to 54 years,Female,Did not gather wild plants in the last year,Number of persons,v98406909,2.3.3.18.1,2940.0
2012,Inuit Nunangat,25 to 54 years,Female,Did not gather wild plants in the last year,Percent,v98406910,2.3.3.18.2,36.4
2012,Inuit Nunangat,25 to 54 years,Female,Did not gather wild plants in the last year,Low 95% confidence interval (percent),v98406911,2.3.3.18.3,32.3
2012,Inuit Nunangat,25 to 54 years,Female,Did not gather wild plants in the last year,High 95% confidence interval (percent),v98406912,2.3.3.18.4,40.5
2012,Inuit Nunangat,25 to 54 years,Female,Interested in gathering wild plants,Number of persons,v98406913,2.3.3.19.1,1060.0
2012,Inuit Nunangat,25 to 54 years,Female,Interested in gathering wild plants,Percent,v98406914,2.3.3.19.2,13.1
2012,Inuit Nunangat,25 to 54 years,Female,Interested in gathering wild plants,Low 95% confidence interval (percent),v98406915,2.3.3.19.3,10.5
2012,Inuit Nunangat,25 to 54 years,Female,Interested in gathering wild plants,High 95% confidence interval (percent),v98406916,2.3.3.19.4,16.2
2012,Inuit Nunangat,25 to 54 years,Female,Not interested in gathering wild plants,Number of persons,v98406917,2.3.3.20.1,1810.0
2012,Inuit Nunangat,25 to 54 years,Female,Not interested in gathering wild plants,Percent,v98406918,2.3.3.20.2,22.4
