Ref_Date,GEO,INDUSTRY,ADJUSTMENTS,Vector,Coordinate,Value
2013,Nova Scotia,Vending machine operators,"Cost of goods sold (x 1,000)",v101256368,4.3.6,8180.0
2014,Nova Scotia,Vending machine operators,"Cost of goods sold (x 1,000)",v101256368,4.3.6,7778.0
2012,Nova Scotia,Vending machine operators,"Total labour remuneration (x 1,000)",v101256369,4.3.7,6210.0
2013,Nova Scotia,Vending machine operators,"Total labour remuneration (x 1,000)",v101256369,4.3.7,1734.0
2014,Nova Scotia,Vending machine operators,"Total labour remuneration (x 1,000)",v101256369,4.3.7,2001.0
2012,Nova Scotia,Vending machine operators,"Total operating expenses (x 1,000)",v101256370,4.3.8,13451.0
2013,Nova Scotia,Vending machine operators,"Total operating expenses (x 1,000)",v101256370,4.3.8,6151.0
2014,Nova Scotia,Vending machine operators,"Total operating expenses (x 1,000)",v101256370,4.3.8,6087.0
2012,Nova Scotia,Vending machine operators,Gross margin (percent),v101256371,4.3.9,58.7
2013,Nova Scotia,Vending machine operators,Gross margin (percent),v101256371,4.3.9,52.8
2014,Nova Scotia,Vending machine operators,Gross margin (percent),v101256371,4.3.9,53.3
2012,Nova Scotia,Vending machine operators,Operating profit margin (percent),v101256372,4.3.10,4.8
2013,Nova Scotia,Vending machine operators,Operating profit margin (percent),v101256372,4.3.10,17.3
2014,Nova Scotia,Vending machine operators,Operating profit margin (percent),v101256372,4.3.10,16.8
2012,Nova Scotia,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256373,4.4.1,759809.0
2013,Nova Scotia,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256373,4.4.1,717638.0
2014,Nova Scotia,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256373,4.4.1,805801.0
2012,Nova Scotia,Fuel dealers,"Total operating revenue (x 1,000)",v101256374,4.4.2,688420.0
2013,Nova Scotia,Fuel dealers,"Total operating revenue (x 1,000)",v101256374,4.4.2,725980.0
2014,Nova Scotia,Fuel dealers,"Total operating revenue (x 1,000)",v101256374,4.4.2,810550.0
2012,Nova Scotia,Fuel dealers,"Opening inventory (x 1,000)",v101256375,4.4.3,10011.0
2013,Nova Scotia,Fuel dealers,"Opening inventory (x 1,000)",v101256375,4.4.3,29070.0
2014,Nova Scotia,Fuel dealers,"Opening inventory (x 1,000)",v101256375,4.4.3,13474.0
2012,Nova Scotia,Fuel dealers,"Purchases (x 1,000)",v101256376,4.4.4,581912.0
2013,Nova Scotia,Fuel dealers,"Purchases (x 1,000)",v101256376,4.4.4,588670.0
2014,Nova Scotia,Fuel dealers,"Purchases (x 1,000)",v101256376,4.4.4,681939.0
2012,Nova Scotia,Fuel dealers,"Closing inventory (x 1,000)",v101256377,4.4.5,10010.0
2013,Nova Scotia,Fuel dealers,"Closing inventory (x 1,000)",v101256377,4.4.5,10118.0
2014,Nova Scotia,Fuel dealers,"Closing inventory (x 1,000)",v101256377,4.4.5,13148.0
2012,Nova Scotia,Fuel dealers,"Cost of goods sold (x 1,000)",v101256378,4.4.6,581912.0
2013,Nova Scotia,Fuel dealers,"Cost of goods sold (x 1,000)",v101256378,4.4.6,607621.0
2014,Nova Scotia,Fuel dealers,"Cost of goods sold (x 1,000)",v101256378,4.4.6,682264.0
2012,Nova Scotia,Fuel dealers,"Total labour remuneration (x 1,000)",v101256379,4.4.7,44146.0
2013,Nova Scotia,Fuel dealers,"Total labour remuneration (x 1,000)",v101256379,4.4.7,54425.0
2014,Nova Scotia,Fuel dealers,"Total labour remuneration (x 1,000)",v101256379,4.4.7,52793.0
2012,Nova Scotia,Fuel dealers,"Total operating expenses (x 1,000)",v101256380,4.4.8,92696.0
2013,Nova Scotia,Fuel dealers,"Total operating expenses (x 1,000)",v101256380,4.4.8,102796.0
2014,Nova Scotia,Fuel dealers,"Total operating expenses (x 1,000)",v101256380,4.4.8,105923.0
2012,Nova Scotia,Fuel dealers,Gross margin (percent),v101256381,4.4.9,15.5
2013,Nova Scotia,Fuel dealers,Gross margin (percent),v101256381,4.4.9,16.3
2014,Nova Scotia,Fuel dealers,Gross margin (percent),v101256381,4.4.9,15.8
2012,Nova Scotia,Fuel dealers,Operating profit margin (percent),v101256382,4.4.10,2.0
2013,Nova Scotia,Fuel dealers,Operating profit margin (percent),v101256382,4.4.10,2.1
2014,Nova Scotia,Fuel dealers,Operating profit margin (percent),v101256382,4.4.10,2.8
2012,Nova Scotia,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256383,4.5.1,47365.0
2013,Nova Scotia,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256383,4.5.1,44244.0
2014,Nova Scotia,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256383,4.5.1,46027.0
2012,Nova Scotia,Other direct selling establishments,"Total operating revenue (x 1,000)",v101256384,4.5.2,55248.0
2013,Nova Scotia,Other direct selling establishments,"Total operating revenue (x 1,000)",v101256384,4.5.2,47239.0
2014,Nova Scotia,Other direct selling establishments,"Total operating revenue (x 1,000)",v101256384,4.5.2,49700.0
2012,Nova Scotia,Other direct selling establishments,"Opening inventory (x 1,000)",v101256385,4.5.3,5265.0
2013,Nova Scotia,Other direct selling establishments,"Opening inventory (x 1,000)",v101256385,4.5.3,5390.0
2014,Nova Scotia,Other direct selling establishments,"Opening inventory (x 1,000)",v101256385,4.5.3,1951.0
2012,Nova Scotia,Other direct selling establishments,"Purchases (x 1,000)",v101256386,4.5.4,33678.0
2013,Nova Scotia,Other direct selling establishments,"Purchases (x 1,000)",v101256386,4.5.4,23600.0
2014,Nova Scotia,Other direct selling establishments,"Purchases (x 1,000)",v101256386,4.5.4,24970.0
2012,Nova Scotia,Other direct selling establishments,"Closing inventory (x 1,000)",v101256387,4.5.5,5879.0
2013,Nova Scotia,Other direct selling establishments,"Closing inventory (x 1,000)",v101256387,4.5.5,5012.0
2014,Nova Scotia,Other direct selling establishments,"Closing inventory (x 1,000)",v101256387,4.5.5,2489.0
2012,Nova Scotia,Other direct selling establishments,"Cost of goods sold (x 1,000)",v101256388,4.5.6,33065.0
2013,Nova Scotia,Other direct selling establishments,"Cost of goods sold (x 1,000)",v101256388,4.5.6,23978.0
2014,Nova Scotia,Other direct selling establishments,"Cost of goods sold (x 1,000)",v101256388,4.5.6,24431.0
2012,Nova Scotia,Other direct selling establishments,"Total labour remuneration (x 1,000)",v101256389,4.5.7,6155.0
2013,Nova Scotia,Other direct selling establishments,"Total labour remuneration (x 1,000)",v101256389,4.5.7,4689.0
2014,Nova Scotia,Other direct selling establishments,"Total labour remuneration (x 1,000)",v101256389,4.5.7,2933.0
2012,Nova Scotia,Other direct selling establishments,"Total operating expenses (x 1,000)",v101256390,4.5.8,17992.0
2013,Nova Scotia,Other direct selling establishments,"Total operating expenses (x 1,000)",v101256390,4.5.8,18293.0
2014,Nova Scotia,Other direct selling establishments,"Total operating expenses (x 1,000)",v101256390,4.5.8,16278.0
2012,Nova Scotia,Other direct selling establishments,Gross margin (percent),v101256391,4.5.9,40.2
2013,Nova Scotia,Other direct selling establishments,Gross margin (percent),v101256391,4.5.9,49.2
2014,Nova Scotia,Other direct selling establishments,Gross margin (percent),v101256391,4.5.9,50.8
2012,Nova Scotia,Other direct selling establishments,Operating profit margin (percent),v101256392,4.5.10,7.6
2013,Nova Scotia,Other direct selling establishments,Operating profit margin (percent),v101256392,4.5.10,10.5
2014,Nova Scotia,Other direct selling establishments,Operating profit margin (percent),v101256392,4.5.10,18.1
2012,New Brunswick,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256393,5.1.1,232074.0
2013,New Brunswick,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256393,5.1.1,478701.0
2014,New Brunswick,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256393,5.1.1,521316.0
2012,New Brunswick,Non-store retailers,"Total operating revenue (x 1,000)",v101256394,5.1.2,498990.0
2013,New Brunswick,Non-store retailers,"Total operating revenue (x 1,000)",v101256394,5.1.2,486658.0
2014,New Brunswick,Non-store retailers,"Total operating revenue (x 1,000)",v101256394,5.1.2,526431.0
2012,New Brunswick,Non-store retailers,"Opening inventory (x 1,000)",v101256395,5.1.3,11689.0
2013,New Brunswick,Non-store retailers,"Opening inventory (x 1,000)",v101256395,5.1.3,12890.0
2014,New Brunswick,Non-store retailers,"Opening inventory (x 1,000)",v101256395,5.1.3,12417.0
2012,New Brunswick,Non-store retailers,"Purchases (x 1,000)",v101256396,5.1.4,395846.0
2013,New Brunswick,Non-store retailers,"Purchases (x 1,000)",v101256396,5.1.4,388558.0
2014,New Brunswick,Non-store retailers,"Purchases (x 1,000)",v101256396,5.1.4,416109.0
2012,New Brunswick,Non-store retailers,"Closing inventory (x 1,000)",v101256397,5.1.5,11125.0
2013,New Brunswick,Non-store retailers,"Closing inventory (x 1,000)",v101256397,5.1.5,13653.0
2014,New Brunswick,Non-store retailers,"Closing inventory (x 1,000)",v101256397,5.1.5,14925.0
2012,New Brunswick,Non-store retailers,"Cost of goods sold (x 1,000)",v101256398,5.1.6,396411.0
2013,New Brunswick,Non-store retailers,"Cost of goods sold (x 1,000)",v101256398,5.1.6,387795.0
2014,New Brunswick,Non-store retailers,"Cost of goods sold (x 1,000)",v101256398,5.1.6,413600.0
2012,New Brunswick,Non-store retailers,"Total labour remuneration (x 1,000)",v101256399,5.1.7,43409.0
2013,New Brunswick,Non-store retailers,"Total labour remuneration (x 1,000)",v101256399,5.1.7,25765.0
2014,New Brunswick,Non-store retailers,"Total labour remuneration (x 1,000)",v101256399,5.1.7,33505.0
2012,New Brunswick,Non-store retailers,"Total operating expenses (x 1,000)",v101256400,5.1.8,87737.0
2013,New Brunswick,Non-store retailers,"Total operating expenses (x 1,000)",v101256400,5.1.8,70386.0
2014,New Brunswick,Non-store retailers,"Total operating expenses (x 1,000)",v101256400,5.1.8,84542.0
2012,New Brunswick,Non-store retailers,Gross margin (percent),v101256401,5.1.9,20.6
2013,New Brunswick,Non-store retailers,Gross margin (percent),v101256401,5.1.9,20.3
2014,New Brunswick,Non-store retailers,Gross margin (percent),v101256401,5.1.9,21.4
2012,New Brunswick,Non-store retailers,Operating profit margin (percent),v101256402,5.1.10,3.0
2013,New Brunswick,Non-store retailers,Operating profit margin (percent),v101256402,5.1.10,5.9
2014,New Brunswick,Non-store retailers,Operating profit margin (percent),v101256402,5.1.10,5.4
2012,New Brunswick,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256403,5.2.1,22441.0
2013,New Brunswick,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256403,5.2.1,38503.0
2014,New Brunswick,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256403,5.2.1,53469.0
2012,New Brunswick,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256404,5.2.2,25596.0
2013,New Brunswick,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256404,5.2.2,39523.0
2014,New Brunswick,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256404,5.2.2,x
2012,New Brunswick,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256405,5.2.3,2370.0
2013,New Brunswick,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256405,5.2.3,2002.0
2014,New Brunswick,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256405,5.2.3,3717.0
2012,New Brunswick,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256406,5.2.4,18568.0
2013,New Brunswick,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256406,5.2.4,32004.0
2014,New Brunswick,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256406,5.2.4,37376.0
2012,New Brunswick,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256407,5.2.5,1904.0
2013,New Brunswick,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256407,5.2.5,3428.0
2014,New Brunswick,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256407,5.2.5,4897.0
2012,New Brunswick,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256408,5.2.6,19033.0
2013,New Brunswick,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256408,5.2.6,30577.0
2014,New Brunswick,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256408,5.2.6,36197.0
2012,New Brunswick,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256409,5.2.7,2077.0
2013,New Brunswick,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256409,5.2.7,2935.0
2014,New Brunswick,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256409,5.2.7,5571.0
2012,New Brunswick,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256410,5.2.8,4363.0
2013,New Brunswick,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256410,5.2.8,8045.0
2014,New Brunswick,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256410,5.2.8,15617.0
2012,New Brunswick,Electronic shopping and mail-order houses,Gross margin (percent),v101256411,5.2.9,25.6
2013,New Brunswick,Electronic shopping and mail-order houses,Gross margin (percent),v101256411,5.2.9,22.6
2014,New Brunswick,Electronic shopping and mail-order houses,Gross margin (percent),v101256411,5.2.9,x
2012,New Brunswick,Electronic shopping and mail-order houses,Operating profit margin (percent),v101256412,5.2.10,8.6
2013,New Brunswick,Electronic shopping and mail-order houses,Operating profit margin (percent),v101256412,5.2.10,2.3
2014,New Brunswick,Electronic shopping and mail-order houses,Operating profit margin (percent),v101256412,5.2.10,x
2012,New Brunswick,Vending machine operators,"Sales of goods for resale (x 1,000)",v101256413,5.3.1,22604.0
2013,New Brunswick,Vending machine operators,"Sales of goods for resale (x 1,000)",v101256413,5.3.1,21199.0
2014,New Brunswick,Vending machine operators,"Sales of goods for resale (x 1,000)",v101256413,5.3.1,22037.0
2012,New Brunswick,Vending machine operators,"Total operating revenue (x 1,000)",v101256414,5.3.2,30668.0
2013,New Brunswick,Vending machine operators,"Total operating revenue (x 1,000)",v101256414,5.3.2,21685.0
2014,New Brunswick,Vending machine operators,"Total operating revenue (x 1,000)",v101256414,5.3.2,22498.0
2012,New Brunswick,Vending machine operators,"Opening inventory (x 1,000)",v101256415,5.3.3,1800.0
2013,New Brunswick,Vending machine operators,"Opening inventory (x 1,000)",v101256415,5.3.3,1476.0
2014,New Brunswick,Vending machine operators,"Opening inventory (x 1,000)",v101256415,5.3.3,1592.0
2012,New Brunswick,Vending machine operators,"Purchases (x 1,000)",v101256416,5.3.4,12938.0
2013,New Brunswick,Vending machine operators,"Purchases (x 1,000)",v101256416,5.3.4,10342.0
2014,New Brunswick,Vending machine operators,"Purchases (x 1,000)",v101256416,5.3.4,10685.0
2012,New Brunswick,Vending machine operators,"Closing inventory (x 1,000)",v101256417,5.3.5,1767.0
2013,New Brunswick,Vending machine operators,"Closing inventory (x 1,000)",v101256417,5.3.5,1487.0
2014,New Brunswick,Vending machine operators,"Closing inventory (x 1,000)",v101256417,5.3.5,1738.0
2012,New Brunswick,Vending machine operators,"Cost of goods sold (x 1,000)",v101256418,5.3.6,12971.0
2013,New Brunswick,Vending machine operators,"Cost of goods sold (x 1,000)",v101256418,5.3.6,10331.0
2014,New Brunswick,Vending machine operators,"Cost of goods sold (x 1,000)",v101256418,5.3.6,10540.0
2012,New Brunswick,Vending machine operators,"Total labour remuneration (x 1,000)",v101256419,5.3.7,7165.0
2013,New Brunswick,Vending machine operators,"Total labour remuneration (x 1,000)",v101256419,5.3.7,3660.0
2014,New Brunswick,Vending machine operators,"Total labour remuneration (x 1,000)",v101256419,5.3.7,4242.0
2012,New Brunswick,Vending machine operators,"Total operating expenses (x 1,000)",v101256420,5.3.8,15773.0
2013,New Brunswick,Vending machine operators,"Total operating expenses (x 1,000)",v101256420,5.3.8,9210.0
2014,New Brunswick,Vending machine operators,"Total operating expenses (x 1,000)",v101256420,5.3.8,9828.0
2012,New Brunswick,Vending machine operators,Gross margin (percent),v101256421,5.3.9,57.7
2013,New Brunswick,Vending machine operators,Gross margin (percent),v101256421,5.3.9,52.4
2014,New Brunswick,Vending machine operators,Gross margin (percent),v101256421,5.3.9,53.2
2012,New Brunswick,Vending machine operators,Operating profit margin (percent),v101256422,5.3.10,6.3
2013,New Brunswick,Vending machine operators,Operating profit margin (percent),v101256422,5.3.10,9.9
2014,New Brunswick,Vending machine operators,Operating profit margin (percent),v101256422,5.3.10,9.5
2012,New Brunswick,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256423,5.4.1,170922.0
2013,New Brunswick,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256423,5.4.1,391242.0
2014,New Brunswick,Fuel dealers,"Sales of goods for resale (x 1,000)",v101256423,5.4.1,414243.0
2012,New Brunswick,Fuel dealers,"Total operating revenue (x 1,000)",v101256424,5.4.2,419662.0
2013,New Brunswick,Fuel dealers,"Total operating revenue (x 1,000)",v101256424,5.4.2,396309.0
2014,New Brunswick,Fuel dealers,"Total operating revenue (x 1,000)",v101256424,5.4.2,416849.0
2012,New Brunswick,Fuel dealers,"Opening inventory (x 1,000)",v101256425,5.4.3,5958.0
2013,New Brunswick,Fuel dealers,"Opening inventory (x 1,000)",v101256425,5.4.3,7201.0
2014,New Brunswick,Fuel dealers,"Opening inventory (x 1,000)",v101256425,5.4.3,5591.0
2012,New Brunswick,Fuel dealers,"Purchases (x 1,000)",v101256426,5.4.4,352966.0
2013,New Brunswick,Fuel dealers,"Purchases (x 1,000)",v101256426,5.4.4,332724.0
2014,New Brunswick,Fuel dealers,"Purchases (x 1,000)",v101256426,5.4.4,352165.0
2012,New Brunswick,Fuel dealers,"Closing inventory (x 1,000)",v101256427,5.4.5,5635.0
2013,New Brunswick,Fuel dealers,"Closing inventory (x 1,000)",v101256427,5.4.5,6050.0
2014,New Brunswick,Fuel dealers,"Closing inventory (x 1,000)",v101256427,5.4.5,5818.0
2012,New Brunswick,Fuel dealers,"Cost of goods sold (x 1,000)",v101256428,5.4.6,353289.0
2013,New Brunswick,Fuel dealers,"Cost of goods sold (x 1,000)",v101256428,5.4.6,333875.0
2014,New Brunswick,Fuel dealers,"Cost of goods sold (x 1,000)",v101256428,5.4.6,351938.0
2012,New Brunswick,Fuel dealers,"Total labour remuneration (x 1,000)",v101256429,5.4.7,30330.0
2013,New Brunswick,Fuel dealers,"Total labour remuneration (x 1,000)",v101256429,5.4.7,15281.0
2014,New Brunswick,Fuel dealers,"Total labour remuneration (x 1,000)",v101256429,5.4.7,17840.0
2012,New Brunswick,Fuel dealers,"Total operating expenses (x 1,000)",v101256430,5.4.8,57592.0
2013,New Brunswick,Fuel dealers,"Total operating expenses (x 1,000)",v101256430,5.4.8,40201.0
2014,New Brunswick,Fuel dealers,"Total operating expenses (x 1,000)",v101256430,5.4.8,45874.0
2012,New Brunswick,Fuel dealers,Gross margin (percent),v101256431,5.4.9,15.8
2013,New Brunswick,Fuel dealers,Gross margin (percent),v101256431,5.4.9,15.8
2014,New Brunswick,Fuel dealers,Gross margin (percent),v101256431,5.4.9,15.6
2012,New Brunswick,Fuel dealers,Operating profit margin (percent),v101256432,5.4.10,2.1
2013,New Brunswick,Fuel dealers,Operating profit margin (percent),v101256432,5.4.10,5.6
2014,New Brunswick,Fuel dealers,Operating profit margin (percent),v101256432,5.4.10,4.6
2012,New Brunswick,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256433,5.5.1,16108.0
2013,New Brunswick,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256433,5.5.1,27756.0
2014,New Brunswick,Other direct selling establishments,"Sales of goods for resale (x 1,000)",v101256433,5.5.1,31566.0
2012,New Brunswick,Other direct selling establishments,"Total operating revenue (x 1,000)",v101256434,5.5.2,23064.0
2013,New Brunswick,Other direct selling establishments,"Total operating revenue (x 1,000)",v101256434,5.5.2,29140.0
2014,New Brunswick,Other direct selling establishments,"Total operating revenue (x 1,000)",v101256434,5.5.2,x
2012,New Brunswick,Other direct selling establishments,"Opening inventory (x 1,000)",v101256435,5.5.3,1562.0
2013,New Brunswick,Other direct selling establishments,"Opening inventory (x 1,000)",v101256435,5.5.3,2211.0
2014,New Brunswick,Other direct selling establishments,"Opening inventory (x 1,000)",v101256435,5.5.3,1517.0
2012,New Brunswick,Other direct selling establishments,"Purchases (x 1,000)",v101256436,5.5.4,11375.0
2013,New Brunswick,Other direct selling establishments,"Purchases (x 1,000)",v101256436,5.5.4,13488.0
2014,New Brunswick,Other direct selling establishments,"Purchases (x 1,000)",v101256436,5.5.4,15882.0
2012,New Brunswick,Other direct selling establishments,"Closing inventory (x 1,000)",v101256437,5.5.5,1819.0
2013,New Brunswick,Other direct selling establishments,"Closing inventory (x 1,000)",v101256437,5.5.5,2688.0
2014,New Brunswick,Other direct selling establishments,"Closing inventory (x 1,000)",v101256437,5.5.5,2473.0
2012,New Brunswick,Other direct selling establishments,"Cost of goods sold (x 1,000)",v101256438,5.5.6,11118.0
2013,New Brunswick,Other direct selling establishments,"Cost of goods sold (x 1,000)",v101256438,5.5.6,13012.0
2014,New Brunswick,Other direct selling establishments,"Cost of goods sold (x 1,000)",v101256438,5.5.6,14926.0
2012,New Brunswick,Other direct selling establishments,"Total labour remuneration (x 1,000)",v101256439,5.5.7,3837.0
2013,New Brunswick,Other direct selling establishments,"Total labour remuneration (x 1,000)",v101256439,5.5.7,3890.0
2014,New Brunswick,Other direct selling establishments,"Total labour remuneration (x 1,000)",v101256439,5.5.7,5852.0
2012,New Brunswick,Other direct selling establishments,"Total operating expenses (x 1,000)",v101256440,5.5.8,10009.0
2013,New Brunswick,Other direct selling establishments,"Total operating expenses (x 1,000)",v101256440,5.5.8,12930.0
2014,New Brunswick,Other direct selling establishments,"Total operating expenses (x 1,000)",v101256440,5.5.8,13225.0
2012,New Brunswick,Other direct selling establishments,Gross margin (percent),v101256441,5.5.9,51.8
2013,New Brunswick,Other direct selling establishments,Gross margin (percent),v101256441,5.5.9,55.3
2014,New Brunswick,Other direct selling establishments,Gross margin (percent),v101256441,5.5.9,x
2012,New Brunswick,Other direct selling establishments,Operating profit margin (percent),v101256442,5.5.10,8.4
2013,New Brunswick,Other direct selling establishments,Operating profit margin (percent),v101256442,5.5.10,11.0
2014,New Brunswick,Other direct selling establishments,Operating profit margin (percent),v101256442,5.5.10,x
2012,Quebec,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256443,6.1.1,2637832.0
2013,Quebec,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256443,6.1.1,2950463.0
2014,Quebec,Non-store retailers,"Sales of goods for resale (x 1,000)",v101256443,6.1.1,3704540.0
2012,Quebec,Non-store retailers,"Total operating revenue (x 1,000)",v101256444,6.1.2,2580108.0
2013,Quebec,Non-store retailers,"Total operating revenue (x 1,000)",v101256444,6.1.2,3095447.0
2014,Quebec,Non-store retailers,"Total operating revenue (x 1,000)",v101256444,6.1.2,3837154.0
2012,Quebec,Non-store retailers,"Opening inventory (x 1,000)",v101256445,6.1.3,104981.0
2013,Quebec,Non-store retailers,"Opening inventory (x 1,000)",v101256445,6.1.3,150780.0
2014,Quebec,Non-store retailers,"Opening inventory (x 1,000)",v101256445,6.1.3,142381.0
2012,Quebec,Non-store retailers,"Purchases (x 1,000)",v101256446,6.1.4,1926577.0
2013,Quebec,Non-store retailers,"Purchases (x 1,000)",v101256446,6.1.4,2261360.0
2014,Quebec,Non-store retailers,"Purchases (x 1,000)",v101256446,6.1.4,2904867.0
2012,Quebec,Non-store retailers,"Closing inventory (x 1,000)",v101256447,6.1.5,115012.0
2013,Quebec,Non-store retailers,"Closing inventory (x 1,000)",v101256447,6.1.5,171484.0
2014,Quebec,Non-store retailers,"Closing inventory (x 1,000)",v101256447,6.1.5,140505.0
2012,Quebec,Non-store retailers,"Cost of goods sold (x 1,000)",v101256448,6.1.6,1916546.0
2013,Quebec,Non-store retailers,"Cost of goods sold (x 1,000)",v101256448,6.1.6,2240656.0
2014,Quebec,Non-store retailers,"Cost of goods sold (x 1,000)",v101256448,6.1.6,2906743.0
2012,Quebec,Non-store retailers,"Total labour remuneration (x 1,000)",v101256449,6.1.7,216362.0
2013,Quebec,Non-store retailers,"Total labour remuneration (x 1,000)",v101256449,6.1.7,275707.0
2014,Quebec,Non-store retailers,"Total labour remuneration (x 1,000)",v101256449,6.1.7,290101.0
2012,Quebec,Non-store retailers,"Total operating expenses (x 1,000)",v101256450,6.1.8,581119.0
2013,Quebec,Non-store retailers,"Total operating expenses (x 1,000)",v101256450,6.1.8,741019.0
2014,Quebec,Non-store retailers,"Total operating expenses (x 1,000)",v101256450,6.1.8,798910.0
2012,Quebec,Non-store retailers,Gross margin (percent),v101256451,6.1.9,25.7
2013,Quebec,Non-store retailers,Gross margin (percent),v101256451,6.1.9,27.6
2014,Quebec,Non-store retailers,Gross margin (percent),v101256451,6.1.9,24.2
2012,Quebec,Non-store retailers,Operating profit margin (percent),v101256452,6.1.10,3.2
2013,Quebec,Non-store retailers,Operating profit margin (percent),v101256452,6.1.10,3.7
2014,Quebec,Non-store retailers,Operating profit margin (percent),v101256452,6.1.10,3.4
2012,Quebec,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256453,6.2.1,476001.0
2013,Quebec,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256453,6.2.1,637834.0
2014,Quebec,Electronic shopping and mail-order houses,"Sales of goods for resale (x 1,000)",v101256453,6.2.1,831222.0
2012,Quebec,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256454,6.2.2,492560.0
2013,Quebec,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256454,6.2.2,656700.0
2014,Quebec,Electronic shopping and mail-order houses,"Total operating revenue (x 1,000)",v101256454,6.2.2,894618.0
2012,Quebec,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256455,6.2.3,48482.0
2013,Quebec,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256455,6.2.3,59857.0
2014,Quebec,Electronic shopping and mail-order houses,"Opening inventory (x 1,000)",v101256455,6.2.3,78879.0
2012,Quebec,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256456,6.2.4,250921.0
2013,Quebec,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256456,6.2.4,387345.0
2014,Quebec,Electronic shopping and mail-order houses,"Purchases (x 1,000)",v101256456,6.2.4,532496.0
2012,Quebec,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256457,6.2.5,52925.0
2013,Quebec,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256457,6.2.5,73361.0
2014,Quebec,Electronic shopping and mail-order houses,"Closing inventory (x 1,000)",v101256457,6.2.5,71991.0
2012,Quebec,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256458,6.2.6,246478.0
2013,Quebec,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256458,6.2.6,373841.0
2014,Quebec,Electronic shopping and mail-order houses,"Cost of goods sold (x 1,000)",v101256458,6.2.6,539384.0
2012,Quebec,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256459,6.2.7,60215.0
2013,Quebec,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256459,6.2.7,78655.0
2014,Quebec,Electronic shopping and mail-order houses,"Total labour remuneration (x 1,000)",v101256459,6.2.7,84661.0
2012,Quebec,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256460,6.2.8,215444.0
2013,Quebec,Electronic shopping and mail-order houses,"Total operating expenses (x 1,000)",v101256460,6.2.8,267448.0
