Ref_Date,GEO,SUP,COM,Vector,Coordinate,Value
1966,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,7897.4
1967,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,9268.2
1968,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,9189.6
1969,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,8635.8
1970,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,10351.0
1971,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,11351.8
1972,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,10997.3
1973,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,10656.7
1974,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,10700.1
1975,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,9164.4
1976,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,8313.6
1977,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,8733.8
1978,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,9677.5
1979,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,11886.9
1980,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,13844.4
1981,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,13691.9
1982,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,13458.1
1983,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,13702.5
1984,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,13886.0
1985,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,14452.0
1986,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,14398.7
1987,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,14734.6
1988,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,15438.5
1989,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,15438.8
1990,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,14682.9
1991,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,14323.1
1992,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,15468.3
1993,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,15202.5
1994,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,15475.7
1995,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,15771.2
1996,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,15177.9
1997,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,15384.6
1998,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,16942.5
1999,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,18921.1
2000,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,19684.4
2001,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,20703.8
2002,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,22153.9
2003,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,22463.0
2004,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,22890.9
2005,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,22338.5
2006,Canada,Animals slaughtered,"Pork (hogs x 1,000)",v62285,1.1.4,21795.4
