Ref_Date,GEO,HARVEST,TYPOFCRP,Vector,Coordinate,Value
2016,Ontario,Yield (bushels per acre),Soybeans,v98437659,3.3.12,44.1
2015,Ontario,Yield (bushels per acre),"Wheat, spring",v98437660,3.3.14,56.6
2016,Ontario,Yield (bushels per acre),"Wheat, spring",v98437660,3.3.14,58.0
2015,Ontario,Yield (bushels per acre),"Wheat, winter",v98437661,3.3.15,72.4
2016,Ontario,Yield (bushels per acre),"Wheat, winter",v98437661,3.3.15,91.6
2015,Ontario,Yield (kilograms per hectare),Barley,v98437662,3.5.1,3500.0
2016,Ontario,Yield (kilograms per hectare),Barley,v98437662,3.5.1,3300.0
2015,Ontario,Yield (kilograms per hectare),Canola,v98437663,3.5.3,2100.0
2016,Ontario,Yield (kilograms per hectare),Canola,v98437663,3.5.3,2100.0
2015,Ontario,Yield (kilograms per hectare),Corn for grain,v98437664,3.5.4,10500.0
2016,Ontario,Yield (kilograms per hectare),Corn for grain,v98437664,3.5.4,10400.0
2015,Ontario,Yield (kilograms per hectare),Mixed grains,v98437665,3.5.7,3200.0
2016,Ontario,Yield (kilograms per hectare),Mixed grains,v98437665,3.5.7,2700.0
2015,Ontario,Yield (kilograms per hectare),Oats,v98437666,3.5.9,3000.0
2016,Ontario,Yield (kilograms per hectare),Oats,v98437666,3.5.9,2800.0
2015,Ontario,Yield (kilograms per hectare),"Rye, Fall",v98437667,3.5.11,2500.0
2016,Ontario,Yield (kilograms per hectare),"Rye, Fall",v98437667,3.5.11,2700.0
2015,Ontario,Yield (kilograms per hectare),Soybeans,v98437668,3.5.12,3100.0
2016,Ontario,Yield (kilograms per hectare),Soybeans,v98437668,3.5.12,3000.0
2015,Ontario,Yield (kilograms per hectare),"Wheat, spring",v98437669,3.5.14,3800.0
2016,Ontario,Yield (kilograms per hectare),"Wheat, spring",v98437669,3.5.14,3900.0
2015,Ontario,Yield (kilograms per hectare),"Wheat, winter",v98437670,3.5.15,4900.0
2016,Ontario,Yield (kilograms per hectare),"Wheat, winter",v98437670,3.5.15,6200.0
2015,Ontario,"Production (bushels x 1,000)",Barley,v98437671,3.6.1,7205.0
2016,Ontario,"Production (bushels x 1,000)",Barley,v98437671,3.6.1,5881.0
2015,Ontario,"Production (bushels x 1,000)",Canola,v98437672,3.6.3,1320.0
2016,Ontario,"Production (bushels x 1,000)",Canola,v98437672,3.6.3,1313.0
2015,Ontario,"Production (bushels x 1,000)",Corn for grain,v98437673,3.6.4,340068.0
2016,Ontario,"Production (bushels x 1,000)",Corn for grain,v98437673,3.6.4,332475.0
2015,Ontario,"Production (bushels x 1,000)",Mixed grains,v98437674,3.6.7,5720.0
2016,Ontario,"Production (bushels x 1,000)",Mixed grains,v98437674,3.6.7,4214.0
2015,Ontario,"Production (bushels x 1,000)",Oats,v98437675,3.6.9,9177.0
2016,Ontario,"Production (bushels x 1,000)",Oats,v98437675,3.6.9,3690.0
2015,Ontario,"Production (bushels x 1,000)","Rye, Fall",v98437676,3.6.11,1805.0
2016,Ontario,"Production (bushels x 1,000)","Rye, Fall",v98437676,3.6.11,2376.0
2015,Ontario,"Production (bushels x 1,000)",Soybeans,v98437677,3.6.12,133980.0
2016,Ontario,"Production (bushels x 1,000)",Soybeans,v98437677,3.6.12,118850.0
2015,Ontario,"Production (bushels x 1,000)","Wheat, spring",v98437678,3.6.14,7075.0
2016,Ontario,"Production (bushels x 1,000)","Wheat, spring",v98437678,3.6.14,5220.0
2015,Ontario,"Production (bushels x 1,000)","Wheat, winter",v98437679,3.6.15,45250.0
2016,Ontario,"Production (bushels x 1,000)","Wheat, winter",v98437679,3.6.15,89310.0
2015,Ontario,Production (metric tonnes),Barley,v98437680,3.8.1,156900.0
2016,Ontario,Production (metric tonnes),Barley,v98437680,3.8.1,128000.0
2015,Ontario,Production (metric tonnes),Canola,v98437681,3.8.3,29900.0
2016,Ontario,Production (metric tonnes),Canola,v98437681,3.8.3,29800.0
2015,Ontario,Production (metric tonnes),Corn for grain,v98437682,3.8.4,8638100.0
2016,Ontario,Production (metric tonnes),Corn for grain,v98437682,3.8.4,8445300.0
2015,Ontario,Production (metric tonnes),Mixed grains,v98437683,3.8.7,103800.0
2016,Ontario,Production (metric tonnes),Mixed grains,v98437683,3.8.7,76500.0
2015,Ontario,Production (metric tonnes),Oats,v98437684,3.8.9,141500.0
2016,Ontario,Production (metric tonnes),Oats,v98437684,3.8.9,56900.0
2015,Ontario,Production (metric tonnes),"Rye, Fall",v98437685,3.8.11,45800.0
2016,Ontario,Production (metric tonnes),"Rye, Fall",v98437685,3.8.11,60400.0
2015,Ontario,Production (metric tonnes),Soybeans,v98437686,3.8.12,3646300.0
2016,Ontario,Production (metric tonnes),Soybeans,v98437686,3.8.12,3234600.0
2015,Ontario,Production (metric tonnes),"Wheat, spring",v98437687,3.8.14,192500.0
2016,Ontario,Production (metric tonnes),"Wheat, spring",v98437687,3.8.14,142100.0
2015,Ontario,Production (metric tonnes),"Wheat, winter",v98437688,3.8.15,1231500.0
2016,Ontario,Production (metric tonnes),"Wheat, winter",v98437688,3.8.15,2430600.0
2015,Prairie provinces,Harvested area (acres),Barley,v98437689,4.1.1,5455000.0
2016,Prairie provinces,Harvested area (acres),Barley,v98437689,4.1.1,5440000.0
2015,Prairie provinces,Harvested area (acres),Canary seed,v98437690,4.1.2,315000.0
2016,Prairie provinces,Harvested area (acres),Canary seed,v98437690,4.1.2,250000.0
2015,Prairie provinces,Harvested area (acres),Canola,v98437691,4.1.3,20410000.0
2016,Prairie provinces,Harvested area (acres),Canola,v98437691,4.1.3,19585000.0
2015,Prairie provinces,Harvested area (acres),Corn for grain,v98437692,4.1.4,245000.0
2016,Prairie provinces,Harvested area (acres),Corn for grain,v98437692,4.1.4,320000.0
2015,Prairie provinces,Harvested area (acres),Flaxseed,v98437693,4.1.5,1595000.0
2016,Prairie provinces,Harvested area (acres),Flaxseed,v98437693,4.1.5,908000.0
2015,Prairie provinces,Harvested area (acres),Lentils,v98437694,4.1.6,3745000.0
2016,Prairie provinces,Harvested area (acres),Lentils,v98437694,4.1.6,4815000.0
2015,Prairie provinces,Harvested area (acres),Mixed grains,v98437695,4.1.7,..
2016,Prairie provinces,Harvested area (acres),Mixed grains,v98437695,4.1.7,..
2015,Prairie provinces,Harvested area (acres),Mustard seed,v98437696,4.1.8,240000.0
2016,Prairie provinces,Harvested area (acres),Mustard seed,v98437696,4.1.8,380000.0
2015,Prairie provinces,Harvested area (acres),Oats,v98437697,4.1.9,2170000.0
2016,Prairie provinces,Harvested area (acres),Oats,v98437697,4.1.9,1965000.0
2015,Prairie provinces,Harvested area (acres),"Peas, dry",v98437698,4.1.10,3602000.0
2016,Prairie provinces,Harvested area (acres),"Peas, dry",v98437698,4.1.10,4145000.0
2015,Prairie provinces,Harvested area (acres),"Rye, Fall",v98437699,4.1.11,175000.0
2016,Prairie provinces,Harvested area (acres),"Rye, Fall",v98437699,4.1.11,255000.0
2015,Prairie provinces,Harvested area (acres),Soybeans,v98437700,4.1.12,1380000.0
2016,Prairie provinces,Harvested area (acres),Soybeans,v98437700,4.1.12,1605000.0
2015,Prairie provinces,Harvested area (acres),"Wheat, durum",v98437701,4.1.13,5750000.0
2016,Prairie provinces,Harvested area (acres),"Wheat, durum",v98437701,4.1.13,6005000.0
2015,Prairie provinces,Harvested area (acres),"Wheat, spring",v98437702,4.1.14,16210000.0
2016,Prairie provinces,Harvested area (acres),"Wheat, spring",v98437702,4.1.14,14860000.0
2015,Prairie provinces,Harvested area (acres),"Wheat, winter",v98437703,4.1.15,610000.0
2016,Prairie provinces,Harvested area (acres),"Wheat, winter",v98437703,4.1.15,590000.0
2015,Prairie provinces,Harvested area (hectares),Barley,v98437704,4.2.1,2207500.0
2016,Prairie provinces,Harvested area (hectares),Barley,v98437704,4.2.1,2201400.0
2015,Prairie provinces,Harvested area (hectares),Canary seed,v98437705,4.2.2,127500.0
2016,Prairie provinces,Harvested area (hectares),Canary seed,v98437705,4.2.2,101200.0
2015,Prairie provinces,Harvested area (hectares),Canola,v98437706,4.2.3,8259700.0
2016,Prairie provinces,Harvested area (hectares),Canola,v98437706,4.2.3,7925700.0
2015,Prairie provinces,Harvested area (hectares),Corn for grain,v98437707,4.2.4,99100.0
2016,Prairie provinces,Harvested area (hectares),Corn for grain,v98437707,4.2.4,129500.0
2015,Prairie provinces,Harvested area (hectares),Flaxseed,v98437708,4.2.5,645500.0
2016,Prairie provinces,Harvested area (hectares),Flaxseed,v98437708,4.2.5,367500.0
2015,Prairie provinces,Harvested area (hectares),Lentils,v98437709,4.2.6,1515500.0
2016,Prairie provinces,Harvested area (hectares),Lentils,v98437709,4.2.6,1948600.0
2015,Prairie provinces,Harvested area (hectares),Mixed grains,v98437710,4.2.7,..
2016,Prairie provinces,Harvested area (hectares),Mixed grains,v98437710,4.2.7,..
2015,Prairie provinces,Harvested area (hectares),Mustard seed,v98437711,4.2.8,97100.0
2016,Prairie provinces,Harvested area (hectares),Mustard seed,v98437711,4.2.8,153800.0
2015,Prairie provinces,Harvested area (hectares),Oats,v98437712,4.2.9,878200.0
2016,Prairie provinces,Harvested area (hectares),Oats,v98437712,4.2.9,795300.0
2015,Prairie provinces,Harvested area (hectares),"Peas, dry",v98437713,4.2.10,1457700.0
2016,Prairie provinces,Harvested area (hectares),"Peas, dry",v98437713,4.2.10,1677400.0
2015,Prairie provinces,Harvested area (hectares),"Rye, Fall",v98437714,4.2.11,70800.0
2016,Prairie provinces,Harvested area (hectares),"Rye, Fall",v98437714,4.2.11,103200.0
2015,Prairie provinces,Harvested area (hectares),Soybeans,v98437715,4.2.12,558500.0
2016,Prairie provinces,Harvested area (hectares),Soybeans,v98437715,4.2.12,649500.0
2015,Prairie provinces,Harvested area (hectares),"Wheat, durum",v98437716,4.2.13,2327000.0
2016,Prairie provinces,Harvested area (hectares),"Wheat, durum",v98437716,4.2.13,2430100.0
2015,Prairie provinces,Harvested area (hectares),"Wheat, spring",v98437717,4.2.14,6559900.0
2016,Prairie provinces,Harvested area (hectares),"Wheat, spring",v98437717,4.2.14,6013700.0
2015,Prairie provinces,Harvested area (hectares),"Wheat, winter",v98437718,4.2.15,246800.0
2016,Prairie provinces,Harvested area (hectares),"Wheat, winter",v98437718,4.2.15,238700.0
2015,Prairie provinces,Yield (bushels per acre),Barley,v98437719,4.3.1,57.6
2016,Prairie provinces,Yield (bushels per acre),Barley,v98437719,4.3.1,68.5
2015,Prairie provinces,Yield (bushels per acre),Canola,v98437720,4.3.3,32.6
2016,Prairie provinces,Yield (bushels per acre),Canola,v98437720,4.3.3,41.1
2015,Prairie provinces,Yield (bushels per acre),Corn for grain,v98437721,4.3.4,121.2
2016,Prairie provinces,Yield (bushels per acre),Corn for grain,v98437721,4.3.4,122.8
2015,Prairie provinces,Yield (bushels per acre),Flaxseed,v98437722,4.3.5,20.5
2016,Prairie provinces,Yield (bushels per acre),Flaxseed,v98437722,4.3.5,25.0
2015,Prairie provinces,Yield (bushels per acre),Mixed grains,v98437723,4.3.7,..
2016,Prairie provinces,Yield (bushels per acre),Mixed grains,v98437723,4.3.7,..
2015,Prairie provinces,Yield (bushels per acre),Oats,v98437724,4.3.9,80.5
2016,Prairie provinces,Yield (bushels per acre),Oats,v98437724,4.3.9,86.3
2015,Prairie provinces,Yield (bushels per acre),"Peas, dry",v98437725,4.3.10,29.1
2016,Prairie provinces,Yield (bushels per acre),"Peas, dry",v98437725,4.3.10,40.8
2015,Prairie provinces,Yield (bushels per acre),"Rye, Fall",v98437726,4.3.11,37.7
2016,Prairie provinces,Yield (bushels per acre),"Rye, Fall",v98437726,4.3.11,48.1
2015,Prairie provinces,Yield (bushels per acre),Soybeans,v98437727,4.3.12,37.8
2016,Prairie provinces,Yield (bushels per acre),Soybeans,v98437727,4.3.12,39.7
2015,Prairie provinces,Yield (bushels per acre),"Wheat, durum",v98437728,4.3.13,30.9
2016,Prairie provinces,Yield (bushels per acre),"Wheat, durum",v98437728,4.3.13,44.7
2015,Prairie provinces,Yield (bushels per acre),"Wheat, spring",v98437729,4.3.14,40.3
2016,Prairie provinces,Yield (bushels per acre),"Wheat, spring",v98437729,4.3.14,49.9
2015,Prairie provinces,Yield (bushels per acre),"Wheat, winter",v98437730,4.3.15,53.3
2016,Prairie provinces,Yield (bushels per acre),"Wheat, winter",v98437730,4.3.15,60.8
2015,Prairie provinces,Yield (pounds per acre),Canary seed,v98437731,4.4.2,865.0
2016,Prairie provinces,Yield (pounds per acre),Canary seed,v98437731,4.4.2,1143.0
2015,Prairie provinces,Yield (pounds per acre),Lentils,v98437732,4.4.6,1151.0
2016,Prairie provinces,Yield (pounds per acre),Lentils,v98437732,4.4.6,1296.0
2015,Prairie provinces,Yield (pounds per acre),Mustard seed,v98437733,4.4.8,711.0
2016,Prairie provinces,Yield (pounds per acre),Mustard seed,v98437733,4.4.8,965.0
2015,Prairie provinces,Yield (kilograms per hectare),Barley,v98437734,4.5.1,3100.0
2016,Prairie provinces,Yield (kilograms per hectare),Barley,v98437734,4.5.1,3700.0
2015,Prairie provinces,Yield (kilograms per hectare),Canary seed,v98437735,4.5.2,1000.0
2016,Prairie provinces,Yield (kilograms per hectare),Canary seed,v98437735,4.5.2,1300.0
2015,Prairie provinces,Yield (kilograms per hectare),Canola,v98437736,4.5.3,1800.0
2016,Prairie provinces,Yield (kilograms per hectare),Canola,v98437736,4.5.3,2300.0
2015,Prairie provinces,Yield (kilograms per hectare),Corn for grain,v98437737,4.5.4,7600.0
2016,Prairie provinces,Yield (kilograms per hectare),Corn for grain,v98437737,4.5.4,7700.0
2015,Prairie provinces,Yield (kilograms per hectare),Flaxseed,v98437738,4.5.5,1300.0
2016,Prairie provinces,Yield (kilograms per hectare),Flaxseed,v98437738,4.5.5,1600.0
2015,Prairie provinces,Yield (kilograms per hectare),Lentils,v98437739,4.5.6,1300.0
2016,Prairie provinces,Yield (kilograms per hectare),Lentils,v98437739,4.5.6,1500.0
2015,Prairie provinces,Yield (kilograms per hectare),Mixed grains,v98437740,4.5.7,..
2016,Prairie provinces,Yield (kilograms per hectare),Mixed grains,v98437740,4.5.7,..
2015,Prairie provinces,Yield (kilograms per hectare),Mustard seed,v98437741,4.5.8,800.0
2016,Prairie provinces,Yield (kilograms per hectare),Mustard seed,v98437741,4.5.8,1100.0
2015,Prairie provinces,Yield (kilograms per hectare),Oats,v98437742,4.5.9,3100.0
2016,Prairie provinces,Yield (kilograms per hectare),Oats,v98437742,4.5.9,3300.0
2015,Prairie provinces,Yield (kilograms per hectare),"Peas, dry",v98437743,4.5.10,2000.0
2016,Prairie provinces,Yield (kilograms per hectare),"Peas, dry",v98437743,4.5.10,2700.0
2015,Prairie provinces,Yield (kilograms per hectare),"Rye, Fall",v98437744,4.5.11,2400.0
2016,Prairie provinces,Yield (kilograms per hectare),"Rye, Fall",v98437744,4.5.11,3000.0
2015,Prairie provinces,Yield (kilograms per hectare),Soybeans,v98437745,4.5.12,2500.0
2016,Prairie provinces,Yield (kilograms per hectare),Soybeans,v98437745,4.5.12,2700.0
2015,Prairie provinces,Yield (kilograms per hectare),"Wheat, durum",v98437746,4.5.13,2100.0
2016,Prairie provinces,Yield (kilograms per hectare),"Wheat, durum",v98437746,4.5.13,3000.0
2015,Prairie provinces,Yield (kilograms per hectare),"Wheat, spring",v98437747,4.5.14,2700.0
2016,Prairie provinces,Yield (kilograms per hectare),"Wheat, spring",v98437747,4.5.14,3400.0
2015,Prairie provinces,Yield (kilograms per hectare),"Wheat, winter",v98437748,4.5.15,3600.0
2016,Prairie provinces,Yield (kilograms per hectare),"Wheat, winter",v98437748,4.5.15,4100.0
2015,Prairie provinces,"Production (bushels x 1,000)",Barley,v98437749,4.6.1,314640.0
2016,Prairie provinces,"Production (bushels x 1,000)",Barley,v98437749,4.6.1,372850.0
2015,Prairie provinces,"Production (bushels x 1,000)",Canola,v98437750,4.6.3,664096.0
2016,Prairie provinces,"Production (bushels x 1,000)",Canola,v98437750,4.6.3,804860.0
2015,Prairie provinces,"Production (bushels x 1,000)",Corn for grain,v98437751,4.6.4,29694.0
2016,Prairie provinces,"Production (bushels x 1,000)",Corn for grain,v98437751,4.6.4,39296.0
2015,Prairie provinces,"Production (bushels x 1,000)",Flaxseed,v98437752,4.6.5,32720.0
2016,Prairie provinces,"Production (bushels x 1,000)",Flaxseed,v98437752,4.6.5,22694.0
2015,Prairie provinces,"Production (bushels x 1,000)",Mixed grains,v98437753,4.6.7,..
2016,Prairie provinces,"Production (bushels x 1,000)",Mixed grains,v98437753,4.6.7,..
2015,Prairie provinces,"Production (bushels x 1,000)",Oats,v98437754,4.6.9,174501.0
2016,Prairie provinces,"Production (bushels x 1,000)",Oats,v98437754,4.6.9,169526.0
2015,Prairie provinces,"Production (bushels x 1,000)","Peas, dry",v98437755,4.6.10,104727.0
2016,Prairie provinces,"Production (bushels x 1,000)","Peas, dry",v98437755,4.6.10,169309.0
2015,Prairie provinces,"Production (bushels x 1,000)","Rye, Fall",v98437756,4.6.11,6597.0
2016,Prairie provinces,"Production (bushels x 1,000)","Rye, Fall",v98437756,4.6.11,12269.0
2015,Prairie provinces,"Production (bushels x 1,000)",Soybeans,v98437757,4.6.12,52164.0
2016,Prairie provinces,"Production (bushels x 1,000)",Soybeans,v98437757,4.6.12,63719.0
2015,Prairie provinces,"Production (bushels x 1,000)","Wheat, durum",v98437758,4.6.13,177491.0
2016,Prairie provinces,"Production (bushels x 1,000)","Wheat, durum",v98437758,4.6.13,268653.0
2015,Prairie provinces,"Production (bushels x 1,000)","Wheat, spring",v98437759,4.6.14,651867.0
2016,Prairie provinces,"Production (bushels x 1,000)","Wheat, spring",v98437759,4.6.14,741092.0
2015,Prairie provinces,"Production (bushels x 1,000)","Wheat, winter",v98437760,4.6.15,32507.0
2016,Prairie provinces,"Production (bushels x 1,000)","Wheat, winter",v98437760,4.6.15,35872.0
2015,Prairie provinces,"Production (pounds x 1,000)",Canary seed,v98437761,4.7.2,272410.0
2016,Prairie provinces,"Production (pounds x 1,000)",Canary seed,v98437761,4.7.2,285780.0
2015,Prairie provinces,"Production (pounds x 1,000)",Lentils,v98437762,4.7.6,4311240.0
2016,Prairie provinces,"Production (pounds x 1,000)",Lentils,v98437762,4.7.6,6240240.0
2015,Prairie provinces,"Production (pounds x 1,000)",Mustard seed,v98437763,4.7.8,170690.0
2016,Prairie provinces,"Production (pounds x 1,000)",Mustard seed,v98437763,4.7.8,366700.0
2015,Prairie provinces,Production (metric tonnes),Barley,v98437764,4.8.1,6850500.0
2016,Prairie provinces,Production (metric tonnes),Barley,v98437764,4.8.1,8117900.0
2015,Prairie provinces,Production (metric tonnes),Canary seed,v98437765,4.8.2,123600.0
2016,Prairie provinces,Production (metric tonnes),Canary seed,v98437765,4.8.2,129600.0
2015,Prairie provinces,Production (metric tonnes),Canola,v98437766,4.8.3,15061400.0
2016,Prairie provinces,Production (metric tonnes),Canola,v98437766,4.8.3,18253900.0
2015,Prairie provinces,Production (metric tonnes),Corn for grain,v98437767,4.8.4,754300.0
2016,Prairie provinces,Production (metric tonnes),Corn for grain,v98437767,4.8.4,998200.0
2015,Prairie provinces,Production (metric tonnes),Flaxseed,v98437768,4.8.5,831100.0
2016,Prairie provinces,Production (metric tonnes),Flaxseed,v98437768,4.8.5,576400.0
2015,Prairie provinces,Production (metric tonnes),Lentils,v98437769,4.8.6,1955500.0
2016,Prairie provinces,Production (metric tonnes),Lentils,v98437769,4.8.6,2830500.0
2015,Prairie provinces,Production (metric tonnes),Mixed grains,v98437770,4.8.7,..
2016,Prairie provinces,Production (metric tonnes),Mixed grains,v98437770,4.8.7,..
2015,Prairie provinces,Production (metric tonnes),Mustard seed,v98437771,4.8.8,77400.0
2016,Prairie provinces,Production (metric tonnes),Mustard seed,v98437771,4.8.8,166300.0
2015,Prairie provinces,Production (metric tonnes),Oats,v98437772,4.8.9,2691200.0
2016,Prairie provinces,Production (metric tonnes),Oats,v98437772,4.8.9,2614400.0
2015,Prairie provinces,Production (metric tonnes),"Peas, dry",v98437773,4.8.10,2850200.0
2016,Prairie provinces,Production (metric tonnes),"Peas, dry",v98437773,4.8.10,4607800.0
2015,Prairie provinces,Production (metric tonnes),"Rye, Fall",v98437774,4.8.11,167600.0
2016,Prairie provinces,Production (metric tonnes),"Rye, Fall",v98437774,4.8.11,311600.0
2015,Prairie provinces,Production (metric tonnes),Soybeans,v98437775,4.8.12,1419700.0
2016,Prairie provinces,Production (metric tonnes),Soybeans,v98437775,4.8.12,1734100.0
2015,Prairie provinces,Production (metric tonnes),"Wheat, durum",v98437776,4.8.13,4830500.0
2016,Prairie provinces,Production (metric tonnes),"Wheat, durum",v98437776,4.8.13,7311500.0
2015,Prairie provinces,Production (metric tonnes),"Wheat, spring",v98437777,4.8.14,17740900.0
2016,Prairie provinces,Production (metric tonnes),"Wheat, spring",v98437777,4.8.14,20169200.0
2015,Prairie provinces,Production (metric tonnes),"Wheat, winter",v98437778,4.8.15,884700.0
2016,Prairie provinces,Production (metric tonnes),"Wheat, winter",v98437778,4.8.15,976300.0
2015,Manitoba,Harvested area (acres),Barley,v98437779,5.1.1,365000.0
2016,Manitoba,Harvested area (acres),Barley,v98437779,5.1.1,330000.0
2015,Manitoba,Harvested area (acres),Canary seed,v98437780,5.1.2,..
2016,Manitoba,Harvested area (acres),Canary seed,v98437780,5.1.2,..
2015,Manitoba,Harvested area (acres),Canola,v98437781,5.1.3,3130000.0
2016,Manitoba,Harvested area (acres),Canola,v98437781,5.1.3,3050000.0
2015,Manitoba,Harvested area (acres),Corn for grain,v98437782,5.1.4,245000.0
2016,Manitoba,Harvested area (acres),Corn for grain,v98437782,5.1.4,320000.0
2015,Manitoba,Harvested area (acres),Flaxseed,v98437783,5.1.5,120000.0
2016,Manitoba,Harvested area (acres),Flaxseed,v98437783,5.1.5,83000.0
2015,Manitoba,Harvested area (acres),Mixed grains,v98437784,5.1.7,..
2016,Manitoba,Harvested area (acres),Mixed grains,v98437784,5.1.7,..
2015,Manitoba,Harvested area (acres),Oats,v98437785,5.1.9,400000.0
2016,Manitoba,Harvested area (acres),Oats,v98437785,5.1.9,360000.0
2015,Manitoba,Harvested area (acres),"Peas, dry",v98437786,5.1.10,67000.0
2016,Manitoba,Harvested area (acres),"Peas, dry",v98437786,5.1.10,160000.0
2015,Manitoba,Harvested area (acres),"Rye, Fall",v98437787,5.1.11,65000.0
2016,Manitoba,Harvested area (acres),"Rye, Fall",v98437787,5.1.11,90000.0
2015,Manitoba,Harvested area (acres),Soybeans,v98437788,5.1.12,1380000.0
2016,Manitoba,Harvested area (acres),Soybeans,v98437788,5.1.12,1605000.0
2015,Manitoba,Harvested area (acres),"Wheat, spring",v98437789,5.1.14,2860000.0
2016,Manitoba,Harvested area (acres),"Wheat, spring",v98437789,5.1.14,2775000.0
2015,Manitoba,Harvested area (acres),"Wheat, winter",v98437790,5.1.15,220000.0
2016,Manitoba,Harvested area (acres),"Wheat, winter",v98437790,5.1.15,170000.0
2015,Manitoba,Harvested area (hectares),Barley,v98437791,5.2.1,147700.0
2016,Manitoba,Harvested area (hectares),Barley,v98437791,5.2.1,133500.0
2015,Manitoba,Harvested area (hectares),Canary seed,v98437792,5.2.2,..
2016,Manitoba,Harvested area (hectares),Canary seed,v98437792,5.2.2,..
2015,Manitoba,Harvested area (hectares),Canola,v98437793,5.2.3,1266700.0
2016,Manitoba,Harvested area (hectares),Canola,v98437793,5.2.3,1234300.0
2015,Manitoba,Harvested area (hectares),Corn for grain,v98437794,5.2.4,99100.0
2016,Manitoba,Harvested area (hectares),Corn for grain,v98437794,5.2.4,129500.0
2015,Manitoba,Harvested area (hectares),Flaxseed,v98437795,5.2.5,48600.0
2016,Manitoba,Harvested area (hectares),Flaxseed,v98437795,5.2.5,33600.0
2015,Manitoba,Harvested area (hectares),Mixed grains,v98437796,5.2.7,..
2016,Manitoba,Harvested area (hectares),Mixed grains,v98437796,5.2.7,..
2015,Manitoba,Harvested area (hectares),Oats,v98437797,5.2.9,161900.0
2016,Manitoba,Harvested area (hectares),Oats,v98437797,5.2.9,145700.0
2015,Manitoba,Harvested area (hectares),"Peas, dry",v98437798,5.2.10,27100.0
2016,Manitoba,Harvested area (hectares),"Peas, dry",v98437798,5.2.10,64700.0
2015,Manitoba,Harvested area (hectares),"Rye, Fall",v98437799,5.2.11,26300.0
2016,Manitoba,Harvested area (hectares),"Rye, Fall",v98437799,5.2.11,36400.0
2015,Manitoba,Harvested area (hectares),Soybeans,v98437800,5.2.12,558500.0
2016,Manitoba,Harvested area (hectares),Soybeans,v98437800,5.2.12,649500.0
2015,Manitoba,Harvested area (hectares),"Wheat, spring",v98437801,5.2.14,1157400.0
2016,Manitoba,Harvested area (hectares),"Wheat, spring",v98437801,5.2.14,1123000.0
2015,Manitoba,Harvested area (hectares),"Wheat, winter",v98437802,5.2.15,89000.0
2016,Manitoba,Harvested area (hectares),"Wheat, winter",v98437802,5.2.15,68800.0
2015,Manitoba,Yield (bushels per acre),Barley,v98437803,5.3.1,72.0
2016,Manitoba,Yield (bushels per acre),Barley,v98437803,5.3.1,69.2
2015,Manitoba,Yield (bushels per acre),Canola,v98437804,5.3.3,39.4
2016,Manitoba,Yield (bushels per acre),Canola,v98437804,5.3.3,41.9
2015,Manitoba,Yield (bushels per acre),Corn for grain,v98437805,5.3.4,121.2
2016,Manitoba,Yield (bushels per acre),Corn for grain,v98437805,5.3.4,122.8
2015,Manitoba,Yield (bushels per acre),Flaxseed,v98437806,5.3.5,23.7
2016,Manitoba,Yield (bushels per acre),Flaxseed,v98437806,5.3.5,25.7
2015,Manitoba,Yield (bushels per acre),Mixed grains,v98437807,5.3.7,..
2016,Manitoba,Yield (bushels per acre),Mixed grains,v98437807,5.3.7,..
2015,Manitoba,Yield (bushels per acre),Oats,v98437808,5.3.9,88.5
2016,Manitoba,Yield (bushels per acre),Oats,v98437808,5.3.9,90.4
2015,Manitoba,Yield (bushels per acre),"Peas, dry",v98437809,5.3.10,37.8
2016,Manitoba,Yield (bushels per acre),"Peas, dry",v98437809,5.3.10,41.1
2015,Manitoba,Yield (bushels per acre),"Rye, Fall",v98437810,5.3.11,45.6
2016,Manitoba,Yield (bushels per acre),"Rye, Fall",v98437810,5.3.11,55.3
2015,Manitoba,Yield (bushels per acre),Soybeans,v98437811,5.3.12,37.8
2016,Manitoba,Yield (bushels per acre),Soybeans,v98437811,5.3.12,39.7
2015,Manitoba,Yield (bushels per acre),"Wheat, spring",v98437812,5.3.14,52.2
2016,Manitoba,Yield (bushels per acre),"Wheat, spring",v98437812,5.3.14,52.3
2015,Manitoba,Yield (bushels per acre),"Wheat, winter",v98437813,5.3.15,66.5
2016,Manitoba,Yield (bushels per acre),"Wheat, winter",v98437813,5.3.15,67.4
2015,Manitoba,Yield (pounds per acre),Canary seed,v98437814,5.4.2,..
2016,Manitoba,Yield (pounds per acre),Canary seed,v98437814,5.4.2,..
2015,Manitoba,Yield (kilograms per hectare),Barley,v98437815,5.5.1,3900.0
2016,Manitoba,Yield (kilograms per hectare),Barley,v98437815,5.5.1,3700.0
2015,Manitoba,Yield (kilograms per hectare),Canary seed,v98437816,5.5.2,..
2016,Manitoba,Yield (kilograms per hectare),Canary seed,v98437816,5.5.2,..
2015,Manitoba,Yield (kilograms per hectare),Canola,v98437817,5.5.3,2200.0
2016,Manitoba,Yield (kilograms per hectare),Canola,v98437817,5.5.3,2300.0
2015,Manitoba,Yield (kilograms per hectare),Corn for grain,v98437818,5.5.4,7600.0
2016,Manitoba,Yield (kilograms per hectare),Corn for grain,v98437818,5.5.4,7700.0
2015,Manitoba,Yield (kilograms per hectare),Flaxseed,v98437819,5.5.5,1500.0
