Ref_Date,GEO,FRUIT,CONTAINER,Vector,Coordinate,Value
1982/02,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1058.0
1982/03,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,707.0
1982/04,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,514.0
1982/05,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,330.0
1982/06,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,326.0
1982/07,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,182.0
1982/08,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,575.0
1982/09,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2731.0
1982/10,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2486.0
1982/11,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2003.0
1982/12,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1765.0
1983/01,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1549.0
1983/02,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1252.0
1983/03,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1156.0
1983/04,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1068.0
1983/05,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,580.0
1983/06,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,510.0
1983/07,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,328.0
1983/08,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1479.0
1983/09,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,4291.0
1983/10,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,4143.0
1983/11,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,3689.0
1983/12,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,3469.0
1984/01,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,3216.0
1984/02,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2753.0
1984/03,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2479.0
1984/04,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2081.0
1984/05,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1967.0
1984/06,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1577.0
1984/07,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1282.0
1984/08,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1714.0
1984/09,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,3561.0
1984/10,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,3456.0
1984/11,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1804.0
1984/12,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2523.0
1985/01,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2401.0
1985/02,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2012.0
1985/03,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1766.0
1985/04,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1091.0
1985/05,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,842.0
1985/06,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,471.0
1985/07,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,394.0
1985/08,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,351.0
1985/09,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2920.0
1985/10,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,3574.0
1985/11,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2708.0
1985/12,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,3307.0
1986/01,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,3759.0
1986/02,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2835.0
1986/03,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2560.0
1986/04,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,2042.0
1986/05,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1516.0
1986/06,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,633.0
1986/07,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,534.0
1986/08,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,490.0
1986/09,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1745.0
1986/10,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1864.0
1986/11,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1665.0
1986/12,Canada,Blueberries,Containers over 13.6 kilograms,v722284,1.3.3,1655.0
1970/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3875.0
1970/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3330.0
1970/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2898.0
1970/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2434.0
1970/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1977.0
1970/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1752.0
1970/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1309.0
1970/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,963.0
1970/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3942.0
1970/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4568.0
1970/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3912.0
1970/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3550.0
1971/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3216.0
1971/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2780.0
1971/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2431.0
1971/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1966.0
1971/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1539.0
1971/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1144.0
1971/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,933.0
1971/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,694.0
1971/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3164.0
1971/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3394.0
1971/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3236.0
1971/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3520.0
1972/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2861.0
1972/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2425.0
1972/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2145.0
1972/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1653.0
1972/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1236.0
1972/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,797.0
1972/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,525.0
1972/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,559.0
1972/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2635.0
1972/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3574.0
1972/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3778.0
1972/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3348.0
1973/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2962.0
1973/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2174.0
1973/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1632.0
1973/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1275.0
1973/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1068.0
1973/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,860.0
1973/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,608.0
1973/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,496.0
1973/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5591.0
1973/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6854.0
1973/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6173.0
1973/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6156.0
1974/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5595.0
1974/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4976.0
1974/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4408.0
1974/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4053.0
1974/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3570.0
1974/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2941.0
1974/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2513.0
1974/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1854.0
1974/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2196.0
1974/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3606.0
1974/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2912.0
1974/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2643.0
1975/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2172.0
1975/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1829.0
1975/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1477.0
1975/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1138.0
1975/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,951.0
1975/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,777.0
1975/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,609.0
1975/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,428.0
1975/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3193.0
1975/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3649.0
1975/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2722.0
1975/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2196.0
1976/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1969.0
1976/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1840.0
1976/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1558.0
1976/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1236.0
1976/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,960.0
1976/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,929.0
1976/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,641.0
1976/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,364.0
1976/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2747.0
1976/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2848.0
1976/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2030.0
1976/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1824.0
1977/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1284.0
1977/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1270.0
1977/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,988.0
1977/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,860.0
1977/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,611.0
1977/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,508.0
1977/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,369.0
1977/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,307.0
1977/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2737.0
1977/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3212.0
1977/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3618.0
1977/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3292.0
1978/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3078.0
1978/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2957.0
1978/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2409.0
1978/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2061.0
1978/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1824.0
1978/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1253.0
1978/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,841.0
1978/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,881.0
1978/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5655.0
1978/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6214.0
1978/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4935.0
1978/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4491.0
1979/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3949.0
1979/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3432.0
1979/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2902.0
1979/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2570.0
1979/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2146.0
1979/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1814.0
1979/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1585.0
1979/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2181.0
1979/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7249.0
1979/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7609.0
1979/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7543.0
1979/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6831.0
1980/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6542.0
1980/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5075.0
1980/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4279.0
1980/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3680.0
1980/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3175.0
1980/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2872.0
1980/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2356.0
1980/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2061.0
1980/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5649.0
1980/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7124.0
1980/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7174.0
1980/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5077.0
1981/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4533.0
1981/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3899.0
1981/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3273.0
1981/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2880.0
1981/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1510.0
1981/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,969.0
1981/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,734.0
1981/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1207.0
1981/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5773.0
1981/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5837.0
1981/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4373.0
1981/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3448.0
1982/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2738.0
1982/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2325.0
1982/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1732.0
1982/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1317.0
1982/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,970.0
1982/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,815.0
1982/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,475.0
1982/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1043.0
1982/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6388.0
1982/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6408.0
1982/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7142.0
1982/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5989.0
1983/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5665.0
1983/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4714.0
1983/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4063.0
1983/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2999.0
1983/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2487.0
1983/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2039.0
1983/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1482.0
1983/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2394.0
1983/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,8628.0
1983/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,9960.0
1983/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,9329.0
1983/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,8709.0
1984/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7811.0
1984/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7378.0
1984/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6663.0
1984/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5451.0
1984/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5135.0
1984/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4076.0
1984/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3550.0
1984/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3226.0
1984/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,8789.0
1984/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,9511.0
1984/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6918.0
1984/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7430.0
1985/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7195.0
1985/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,6046.0
1985/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5098.0
1985/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4047.0
1985/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2967.0
1985/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,2248.0
1985/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1929.0
1985/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1389.0
1985/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7073.0
1985/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,8934.0
1985/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,7382.0
1985/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,8254.0
1986/01,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,9307.0
1986/02,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,8454.0
1986/03,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,5468.0
1986/04,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,4646.0
1986/05,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3933.0
1986/06,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1635.0
1986/07,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1238.0
1986/08,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,1196.0
1986/09,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3105.0
1986/10,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3826.0
1986/11,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3604.0
1986/12,Canada,Blueberries,"Frozen fruit, all containers",v722294,1.3.5,3338.0
1970/01,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/02,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/03,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/04,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/05,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/06,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/07,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/08,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/09,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/10,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/11,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1970/12,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/01,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/02,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/03,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/04,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/05,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/06,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/07,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/08,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/09,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/10,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/11,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1971/12,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/01,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/02,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/03,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/04,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/05,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/06,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/07,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/08,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/09,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/10,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/11,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1972/12,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1973/01,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1973/02,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1973/03,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1973/04,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1973/05,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1973/06,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1973/07,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,x
1973/08,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1973/09,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1973/10,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1973/11,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1973/12,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/01,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/02,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/03,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/04,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/05,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/06,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/07,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/08,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/09,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
1974/10,Canada,Blueberries,Fruit in sulphur dioxide (SO2),v722303,1.3.6,0.0
