Ref_Date,GEO,AGE,SEX,HEALTH,STATS,Vector,Coordinate,Value
2001,Inuit Nunangat,25 to 54 years,Male,Excellent perceived general health,High 95% confidence interval (percent),v97100397,2.4.2.3.4,31.2
2006,Inuit Nunangat,25 to 54 years,Male,Excellent perceived general health,High 95% confidence interval (percent),v97100397,2.4.2.3.4,20.9
2012,Inuit Nunangat,25 to 54 years,Male,Excellent perceived general health,High 95% confidence interval (percent),v97100397,2.4.2.3.4,19.7
2001,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,Number of persons,v97100398,2.4.2.4.1,1810.0
2006,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,Number of persons,v97100398,2.4.2.4.1,2060.0
2012,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,Number of persons,v97100398,2.4.2.4.1,1870.0
2001,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,Percent,v97100399,2.4.2.4.2,29.1
2006,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,Percent,v97100399,2.4.2.4.2,31.8
2012,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,Percent,v97100399,2.4.2.4.2,24.6
2001,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,Low 95% confidence interval (percent),v97100400,2.4.2.4.3,26.2
2006,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,Low 95% confidence interval (percent),v97100400,2.4.2.4.3,28.7
2012,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,Low 95% confidence interval (percent),v97100400,2.4.2.4.3,21.3
2001,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,High 95% confidence interval (percent),v97100401,2.4.2.4.4,32.3
2006,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,High 95% confidence interval (percent),v97100401,2.4.2.4.4,35.1
2012,Inuit Nunangat,25 to 54 years,Male,Very good perceived general health,High 95% confidence interval (percent),v97100401,2.4.2.4.4,28.3
2001,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,Number of persons,v97100402,2.4.2.5.1,2070.0
2006,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,Number of persons,v97100402,2.4.2.5.1,2220.0
2012,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,Number of persons,v97100402,2.4.2.5.1,2760.0
2001,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,Percent,v97100403,2.4.2.5.2,33.3
2006,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,Percent,v97100403,2.4.2.5.2,34.3
2012,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,Percent,v97100403,2.4.2.5.2,36.3
2001,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,Low 95% confidence interval (percent),v97100404,2.4.2.5.3,30.4
2006,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,Low 95% confidence interval (percent),v97100404,2.4.2.5.3,31.3
2012,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,Low 95% confidence interval (percent),v97100404,2.4.2.5.3,32.3
2001,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,High 95% confidence interval (percent),v97100405,2.4.2.5.4,36.3
2006,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,High 95% confidence interval (percent),v97100405,2.4.2.5.4,37.4
2012,Inuit Nunangat,25 to 54 years,Male,Good perceived general health,High 95% confidence interval (percent),v97100405,2.4.2.5.4,40.7
2001,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,Number of persons,v97100406,2.4.2.6.1,580.0
2006,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,Number of persons,v97100406,2.4.2.6.1,970.0
2012,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,Number of persons,v97100406,2.4.2.6.1,1340.0
2001,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,Percent,v97100407,2.4.2.6.2,9.3
2006,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,Percent,v97100407,2.4.2.6.2,15.0
2012,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,Percent,v97100407,2.4.2.6.2,17.6
2001,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,Low 95% confidence interval (percent),v97100408,2.4.2.6.3,7.7
2006,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,Low 95% confidence interval (percent),v97100408,2.4.2.6.3,12.6
2012,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,Low 95% confidence interval (percent),v97100408,2.4.2.6.3,14.4
2001,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,High 95% confidence interval (percent),v97100409,2.4.2.6.4,11.3
2006,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,High 95% confidence interval (percent),v97100409,2.4.2.6.4,17.7
2012,Inuit Nunangat,25 to 54 years,Male,Fair or poor perceived general health,High 95% confidence interval (percent),v97100409,2.4.2.6.4,21.4
2001,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,Number of persons,v97100410,2.4.2.7.1,F
2006,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,Number of persons,v97100410,2.4.2.7.1,F
2012,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,Number of persons,v97100410,2.4.2.7.1,380.0
2001,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,Percent,v97100411,2.4.2.7.2,F
2006,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,Percent,v97100411,2.4.2.7.2,F
2012,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,Percent,v97100411,2.4.2.7.2,5.0
2001,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,Low 95% confidence interval (percent),v97100412,2.4.2.7.3,F
2006,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,Low 95% confidence interval (percent),v97100412,2.4.2.7.3,F
2012,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,Low 95% confidence interval (percent),v97100412,2.4.2.7.3,3.4
2001,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,High 95% confidence interval (percent),v97100413,2.4.2.7.4,F
2006,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,High 95% confidence interval (percent),v97100413,2.4.2.7.4,F
2012,Inuit Nunangat,25 to 54 years,Male,Perceived general health not specified,High 95% confidence interval (percent),v97100413,2.4.2.7.4,7.3
2001,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",Number of persons,v97100414,2.4.3.1.1,6490.0
2006,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",Number of persons,v97100414,2.4.3.1.1,6740.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",Number of persons,v97100414,2.4.3.1.1,8080.0
2001,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",Percent,v97100415,2.4.3.1.2,100.0
2006,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",Percent,v97100415,2.4.3.1.2,100.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",Percent,v97100415,2.4.3.1.2,100.0
2001,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",Low 95% confidence interval (percent),v97100416,2.4.3.1.3,100.0
2006,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",Low 95% confidence interval (percent),v97100416,2.4.3.1.3,100.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",Low 95% confidence interval (percent),v97100416,2.4.3.1.3,100.0
2001,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",High 95% confidence interval (percent),v97100417,2.4.3.1.4,100.0
2006,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",High 95% confidence interval (percent),v97100417,2.4.3.1.4,100.0
2012,Inuit Nunangat,25 to 54 years,Female,"Total, perceived general health",High 95% confidence interval (percent),v97100417,2.4.3.1.4,100.0
2001,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,Number of persons,v97100418,2.4.3.2.1,3650.0
2006,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,Number of persons,v97100418,2.4.3.2.1,3070.0
2012,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,Number of persons,v97100418,2.4.3.2.1,2650.0
2001,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,Percent,v97100419,2.4.3.2.2,56.2
2006,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,Percent,v97100419,2.4.3.2.2,45.5
2012,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,Percent,v97100419,2.4.3.2.2,32.8
2001,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97100420,2.4.3.2.3,53.0
2006,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97100420,2.4.3.2.3,42.3
2012,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97100420,2.4.3.2.3,29.1
2001,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,High 95% confidence interval (percent),v97100421,2.4.3.2.4,59.5
2006,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,High 95% confidence interval (percent),v97100421,2.4.3.2.4,48.7
2012,Inuit Nunangat,25 to 54 years,Female,Excellent or very good perceived general health,High 95% confidence interval (percent),v97100421,2.4.3.2.4,36.7
2001,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,Number of persons,v97100422,2.4.3.3.1,1800.0
2006,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,Number of persons,v97100422,2.4.3.3.1,1050.0
2012,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,Number of persons,v97100422,2.4.3.3.1,890.0
2001,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,Percent,v97100423,2.4.3.3.2,27.7
2006,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,Percent,v97100423,2.4.3.3.2,15.6
2012,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,Percent,v97100423,2.4.3.3.2,11.0
2001,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,Low 95% confidence interval (percent),v97100424,2.4.3.3.3,24.8
2006,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,Low 95% confidence interval (percent),v97100424,2.4.3.3.3,13.7
2012,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,Low 95% confidence interval (percent),v97100424,2.4.3.3.3,8.7
2001,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,High 95% confidence interval (percent),v97100425,2.4.3.3.4,31.0
2006,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,High 95% confidence interval (percent),v97100425,2.4.3.3.4,17.6
2012,Inuit Nunangat,25 to 54 years,Female,Excellent perceived general health,High 95% confidence interval (percent),v97100425,2.4.3.3.4,13.9
2001,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,Number of persons,v97100426,2.4.3.4.1,1850.0
2006,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,Number of persons,v97100426,2.4.3.4.1,2020.0
2012,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,Number of persons,v97100426,2.4.3.4.1,1750.0
2001,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,Percent,v97100427,2.4.3.4.2,28.5
2006,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,Percent,v97100427,2.4.3.4.2,30.0
2012,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,Percent,v97100427,2.4.3.4.2,21.7
2001,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,Low 95% confidence interval (percent),v97100428,2.4.3.4.3,25.3
2006,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,Low 95% confidence interval (percent),v97100428,2.4.3.4.3,26.9
2012,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,Low 95% confidence interval (percent),v97100428,2.4.3.4.3,18.7
2001,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,High 95% confidence interval (percent),v97100429,2.4.3.4.4,32.0
2006,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,High 95% confidence interval (percent),v97100429,2.4.3.4.4,33.1
2012,Inuit Nunangat,25 to 54 years,Female,Very good perceived general health,High 95% confidence interval (percent),v97100429,2.4.3.4.4,25.1
2001,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,Number of persons,v97100430,2.4.3.5.1,2150.0
2006,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,Number of persons,v97100430,2.4.3.5.1,2470.0
2012,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,Number of persons,v97100430,2.4.3.5.1,3610.0
2001,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,Percent,v97100431,2.4.3.5.2,33.1
2006,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,Percent,v97100431,2.4.3.5.2,36.6
2012,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,Percent,v97100431,2.4.3.5.2,44.7
2001,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,Low 95% confidence interval (percent),v97100432,2.4.3.5.3,30.1
2006,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,Low 95% confidence interval (percent),v97100432,2.4.3.5.3,33.8
2012,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,Low 95% confidence interval (percent),v97100432,2.4.3.5.3,40.4
2001,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,High 95% confidence interval (percent),v97100433,2.4.3.5.4,36.5
2006,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,High 95% confidence interval (percent),v97100433,2.4.3.5.4,39.6
2012,Inuit Nunangat,25 to 54 years,Female,Good perceived general health,High 95% confidence interval (percent),v97100433,2.4.3.5.4,48.9
2001,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,Number of persons,v97100434,2.4.3.6.1,680.0
2006,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,Number of persons,v97100434,2.4.3.6.1,1160.0
2012,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,Number of persons,v97100434,2.4.3.6.1,1340.0
2001,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,Percent,v97100435,2.4.3.6.2,10.5
2006,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,Percent,v97100435,2.4.3.6.2,17.2
2012,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,Percent,v97100435,2.4.3.6.2,16.6
2001,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,Low 95% confidence interval (percent),v97100436,2.4.3.6.3,8.8
2006,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,Low 95% confidence interval (percent),v97100436,2.4.3.6.3,14.7
2012,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,Low 95% confidence interval (percent),v97100436,2.4.3.6.3,13.7
2001,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,High 95% confidence interval (percent),v97100437,2.4.3.6.4,12.4
2006,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,High 95% confidence interval (percent),v97100437,2.4.3.6.4,20.0
2012,Inuit Nunangat,25 to 54 years,Female,Fair or poor perceived general health,High 95% confidence interval (percent),v97100437,2.4.3.6.4,19.9
2001,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,Number of persons,v97100438,2.4.3.7.1,F
2006,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,Number of persons,v97100438,2.4.3.7.1,50.0
2012,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,Number of persons,v97100438,2.4.3.7.1,490.0
2001,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,Percent,v97100439,2.4.3.7.2,F
2006,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,Percent,v97100439,2.4.3.7.2,0.7
2012,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,Percent,v97100439,2.4.3.7.2,6.1
2001,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,Low 95% confidence interval (percent),v97100440,2.4.3.7.3,F
2006,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,Low 95% confidence interval (percent),v97100440,2.4.3.7.3,0.4
2012,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,Low 95% confidence interval (percent),v97100440,2.4.3.7.3,4.4
2001,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,High 95% confidence interval (percent),v97100441,2.4.3.7.4,F
2006,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,High 95% confidence interval (percent),v97100441,2.4.3.7.4,1.2
2012,Inuit Nunangat,25 to 54 years,Female,Perceived general health not specified,High 95% confidence interval (percent),v97100441,2.4.3.7.4,8.2
2001,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",Number of persons,v97100442,2.5.1.1.1,2660.0
2006,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",Number of persons,v97100442,2.5.1.1.1,3250.0
2012,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",Number of persons,v97100442,2.5.1.1.1,3940.0
2001,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",Percent,v97100443,2.5.1.1.2,100.0
2006,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",Percent,v97100443,2.5.1.1.2,100.0
2012,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",Percent,v97100443,2.5.1.1.2,100.0
2001,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",Low 95% confidence interval (percent),v97100444,2.5.1.1.3,100.0
2006,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",Low 95% confidence interval (percent),v97100444,2.5.1.1.3,100.0
2012,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",Low 95% confidence interval (percent),v97100444,2.5.1.1.3,100.0
2001,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",High 95% confidence interval (percent),v97100445,2.5.1.1.4,100.0
2006,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",High 95% confidence interval (percent),v97100445,2.5.1.1.4,100.0
2012,Inuit Nunangat,55 years and over,Both sexes,"Total, perceived general health",High 95% confidence interval (percent),v97100445,2.5.1.1.4,100.0
2001,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,Number of persons,v97100446,2.5.1.2.1,810.0
2006,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,Number of persons,v97100446,2.5.1.2.1,1010.0
2012,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,Number of persons,v97100446,2.5.1.2.1,790.0
2001,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,Percent,v97100447,2.5.1.2.2,30.5
2006,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,Percent,v97100447,2.5.1.2.2,31.1
2012,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,Percent,v97100447,2.5.1.2.2,20.1
2001,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97100448,2.5.1.2.3,26.1
2006,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97100448,2.5.1.2.3,27.1
2012,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,Low 95% confidence interval (percent),v97100448,2.5.1.2.3,15.0
2001,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,High 95% confidence interval (percent),v97100449,2.5.1.2.4,34.9
2006,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,High 95% confidence interval (percent),v97100449,2.5.1.2.4,35.1
2012,Inuit Nunangat,55 years and over,Both sexes,Excellent or very good perceived general health,High 95% confidence interval (percent),v97100449,2.5.1.2.4,26.1
2001,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,Number of persons,v97100450,2.5.1.3.1,310.0
2006,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,Number of persons,v97100450,2.5.1.3.1,450.0
2012,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,Number of persons,v97100450,2.5.1.3.1,230.0
2001,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,Percent,v97100451,2.5.1.3.2,11.7
2006,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,Percent,v97100451,2.5.1.3.2,13.8
2012,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,Percent,v97100451,2.5.1.3.2,5.8
2001,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,Low 95% confidence interval (percent),v97100452,2.5.1.3.3,8.9
2006,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,Low 95% confidence interval (percent),v97100452,2.5.1.3.3,11.3
2012,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,Low 95% confidence interval (percent),v97100452,2.5.1.3.3,3.5
2001,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,High 95% confidence interval (percent),v97100453,2.5.1.3.4,15.0
2006,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,High 95% confidence interval (percent),v97100453,2.5.1.3.4,16.8
2012,Inuit Nunangat,55 years and over,Both sexes,Excellent perceived general health,High 95% confidence interval (percent),v97100453,2.5.1.3.4,9.3
2001,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,Number of persons,v97100454,2.5.1.4.1,500.0
2006,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,Number of persons,v97100454,2.5.1.4.1,560.0
2012,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,Number of persons,v97100454,2.5.1.4.1,560.0
2001,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,Percent,v97100455,2.5.1.4.2,18.8
2006,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,Percent,v97100455,2.5.1.4.2,17.2
2012,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,Percent,v97100455,2.5.1.4.2,14.2
2001,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,Low 95% confidence interval (percent),v97100456,2.5.1.4.3,15.2
2006,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,Low 95% confidence interval (percent),v97100456,2.5.1.4.3,14.1
2012,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,Low 95% confidence interval (percent),v97100456,2.5.1.4.3,10.0
2001,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,High 95% confidence interval (percent),v97100457,2.5.1.4.4,23.0
2006,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,High 95% confidence interval (percent),v97100457,2.5.1.4.4,20.5
2012,Inuit Nunangat,55 years and over,Both sexes,Very good perceived general health,High 95% confidence interval (percent),v97100457,2.5.1.4.4,19.7
2001,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,Number of persons,v97100458,2.5.1.5.1,1020.0
2006,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,Number of persons,v97100458,2.5.1.5.1,1060.0
2012,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,Number of persons,v97100458,2.5.1.5.1,1560.0
2001,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,Percent,v97100459,2.5.1.5.2,38.3
2006,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,Percent,v97100459,2.5.1.5.2,32.6
2012,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,Percent,v97100459,2.5.1.5.2,39.6
2001,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,Low 95% confidence interval (percent),v97100460,2.5.1.5.3,33.8
2006,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,Low 95% confidence interval (percent),v97100460,2.5.1.5.3,28.8
2012,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,Low 95% confidence interval (percent),v97100460,2.5.1.5.3,31.7
2001,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,High 95% confidence interval (percent),v97100461,2.5.1.5.4,43.5
2006,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,High 95% confidence interval (percent),v97100461,2.5.1.5.4,36.6
2012,Inuit Nunangat,55 years and over,Both sexes,Good perceived general health,High 95% confidence interval (percent),v97100461,2.5.1.5.4,48.3
2001,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,Number of persons,v97100462,2.5.1.6.1,830.0
2006,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,Number of persons,v97100462,2.5.1.6.1,1160.0
2012,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,Number of persons,v97100462,2.5.1.6.1,1310.0
2001,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,Percent,v97100463,2.5.1.6.2,31.2
2006,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,Percent,v97100463,2.5.1.6.2,35.7
2012,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,Percent,v97100463,2.5.1.6.2,33.2
2001,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,Low 95% confidence interval (percent),v97100464,2.5.1.6.3,26.7
2006,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,Low 95% confidence interval (percent),v97100464,2.5.1.6.3,31.5
2012,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,Low 95% confidence interval (percent),v97100464,2.5.1.6.3,25.9
2001,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,High 95% confidence interval (percent),v97100465,2.5.1.6.4,36.0
2006,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,High 95% confidence interval (percent),v97100465,2.5.1.6.4,40.1
2012,Inuit Nunangat,55 years and over,Both sexes,Fair or poor perceived general health,High 95% confidence interval (percent),v97100465,2.5.1.6.4,41.5
2001,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,Number of persons,v97100466,2.5.1.7.1,F
2006,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,Number of persons,v97100466,2.5.1.7.1,F
2012,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,Number of persons,v97100466,2.5.1.7.1,F
2001,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,Percent,v97100467,2.5.1.7.2,F
2006,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,Percent,v97100467,2.5.1.7.2,F
2012,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,Percent,v97100467,2.5.1.7.2,F
2001,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,Low 95% confidence interval (percent),v97100468,2.5.1.7.3,F
2006,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,Low 95% confidence interval (percent),v97100468,2.5.1.7.3,F
2012,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,Low 95% confidence interval (percent),v97100468,2.5.1.7.3,F
2001,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,High 95% confidence interval (percent),v97100469,2.5.1.7.4,F
2006,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,High 95% confidence interval (percent),v97100469,2.5.1.7.4,F
2012,Inuit Nunangat,55 years and over,Both sexes,Perceived general health not specified,High 95% confidence interval (percent),v97100469,2.5.1.7.4,F
2001,Inuit Nunangat,55 years and over,Male,"Total, perceived general health",Number of persons,v97100470,2.5.2.1.1,1350.0
2006,Inuit Nunangat,55 years and over,Male,"Total, perceived general health",Number of persons,v97100470,2.5.2.1.1,1730.0
2012,Inuit Nunangat,55 years and over,Male,"Total, perceived general health",Number of persons,v97100470,2.5.2.1.1,1490.0
