Ref_Date,GEO,SUP,TYP,Vector,Coordinate,Value
1981,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,107.4
1982,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,186.2
1983,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,298.5
1984,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,213.6
1985,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,163.3
1986,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,0.0
1987,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,0.0
1988,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,0.0
1989,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,0.0
1990,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,0.0
1991,Canada,Primary elevators,"Rye (x 1,000)",v383306,1.9.1,0.0
1971,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,176.6
1972,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,135.7
1973,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,71.5
1974,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,95.0
1975,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,88.6
1976,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,193.0
1977,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,115.1
1978,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,251.3
1979,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,179.4
1980,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,286.9
1981,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,187.8
1982,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,135.1
1983,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,224.1
1984,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,68.6
1985,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,66.6
1986,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,0.0
1987,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,0.0
1988,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,0.0
1989,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,0.0
1990,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,0.0
1991,Canada,Primary elevators,"Flaxseed (x 1,000)",v383332,1.9.5,0.0
1971,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,99.6
1972,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,397.8
1973,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,198.7
1974,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,134.6
1975,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,173.6
1976,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,480.9
1977,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,81.4
1978,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,157.9
1979,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,425.4
1980,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,612.5
1981,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,473.3
1982,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,291.3
1983,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,148.6
1984,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,24.8
1985,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,216.3
1986,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,0.0
1987,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,0.0
1988,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,0.0
1989,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,0.0
1990,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,0.0
1991,Canada,Primary elevators,"Canola (rapeseed) (x 1,000)",v383356,1.9.6,0.0
1971,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,585.8
1972,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,859.6
1973,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,820.0
1974,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,802.7
1975,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,789.1
1976,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,610.2
1977,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,558.7
1978,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,667.0
1979,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,535.4
1980,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,461.0
1981,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,479.9
1982,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,474.9
1983,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,727.5
1984,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,994.7
1985,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,1288.8
1986,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,0.0
1987,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,0.0
1988,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,0.0
1989,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,0.0
1990,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,0.0
1991,Canada,Thunder Bay,"Wheat (x 1,000)",v383226,1.10.2,0.0
1978,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,595.7
1979,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,468.5
1980,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,378.9
1981,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,350.4
1982,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,341.5
1983,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,626.0
1984,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,885.6
1985,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,1203.4
1986,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,0.0
1987,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,0.0
1988,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,0.0
1989,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,0.0
1990,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,0.0
1991,Canada,Thunder Bay,"Wheat, excluding durum (x 1,000)",v383382,1.10.7,0.0
1976,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,103.6
1977,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,166.8
1978,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,71.3
1979,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,66.9
1980,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,82.1
1981,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,129.5
1982,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,133.4
1983,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,101.5
1984,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,109.1
1985,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,85.4
1986,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,0.0
1987,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,0.0
1988,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,0.0
1989,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,0.0
1990,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,0.0
1991,Canada,Thunder Bay,"Durum wheat (x 1,000)",v382894,1.10.9,0.0
1971,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,106.7
1972,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,57.2
1973,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,32.6
1974,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,35.5
1975,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,74.8
1976,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,104.9
1977,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,61.4
1978,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,43.1
1979,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,20.7
1980,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,25.9
1981,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,18.7
1982,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,66.1
1983,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,42.7
1984,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,25.2
1985,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,24.9
1986,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,0.0
1987,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,0.0
1988,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,0.0
1989,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,0.0
1990,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,0.0
1991,Canada,Thunder Bay,"Oats (x 1,000)",v383253,1.10.3,0.0
1971,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,236.4
1972,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,417.3
1973,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,358.1
1974,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,400.7
1975,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,390.2
1976,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,195.5
1977,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,335.8
1978,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,299.7
1979,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,270.4
1980,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,163.4
1981,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,171.4
1982,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,246.8
1983,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,273.5
1984,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,163.4
1985,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,206.9
1986,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,0.0
1987,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,0.0
1988,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,0.0
1989,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,0.0
1990,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,0.0
1991,Canada,Thunder Bay,"Barley (x 1,000)",v383280,1.10.4,0.0
1971,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,44.0
1972,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,33.4
1973,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,52.0
1974,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,41.4
1975,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,34.3
1976,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,45.7
1977,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,74.3
1978,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,25.4
1979,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,34.3
1980,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,37.3
1981,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,18.6
1982,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,28.6
1983,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,61.5
1984,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,46.5
1985,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,45.6
1986,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,0.0
1987,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,0.0
1988,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,0.0
1989,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,0.0
1990,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,0.0
1991,Canada,Thunder Bay,"Rye (x 1,000)",v383307,1.10.1,0.0
1971,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,138.6
1972,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,76.0
1973,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,60.1
1974,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,40.3
1975,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,30.7
1976,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,93.8
1977,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,41.5
1978,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,45.5
1979,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,31.0
1980,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,62.1
1981,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,56.7
1982,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,63.7
1983,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,84.7
1984,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,42.8
1985,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,32.7
1986,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,0.0
1987,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,0.0
1988,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,0.0
1989,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,0.0
1990,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,0.0
1991,Canada,Thunder Bay,"Flaxseed (x 1,000)",v383333,1.10.5,0.0
1971,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,50.7
1972,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,83.1
1973,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,87.1
1974,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,16.5
1975,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,25.3
1976,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,37.7
1977,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,33.2
1978,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,19.6
1979,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,75.7
1980,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,54.3
1981,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,58.7
1982,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,14.3
1983,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,16.6
1984,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,0.7
1985,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,6.9
1986,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,0.0
1987,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,0.0
1988,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,0.0
1989,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,0.0
1990,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,0.0
1991,Canada,Thunder Bay,"Canola (rapeseed) (x 1,000)",v383357,1.10.6,0.0
1971,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1099.9
1972,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1314.3
1973,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,732.3
1974,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1527.9
1975,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1352.1
1976,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1706.5
1977,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1614.6
1978,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,835.7
1979,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,876.2
1980,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,973.3
1981,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1276.9
1982,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1289.7
1983,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1317.7
1984,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,1304.5
1985,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,2152.3
1986,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,0.0
1987,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,0.0
1988,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,0.0
1989,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,0.0
1990,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,0.0
1991,Canada,Eastern elevators,"Wheat (x 1,000)",v383227,1.11.2,0.0
1978,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,749.2
1979,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,765.2
1980,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,914.4
1981,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,1160.1
1982,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,1071.1
1983,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,1026.0
1984,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,1121.6
1985,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,2037.3
1986,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,0.0
1987,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,0.0
1988,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,0.0
1989,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,0.0
1990,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,0.0
1991,Canada,Eastern elevators,"Wheat, excluding durum (x 1,000)",v383383,1.11.7,0.0
1976,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,373.0
1977,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,236.5
1978,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,86.5
1979,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,111.0
1980,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,58.9
1981,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,116.8
1982,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,218.6
1983,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,291.7
1984,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,182.9
1985,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,115.0
1986,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,0.0
1987,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,0.0
1988,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,0.0
1989,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,0.0
1990,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,0.0
1991,Canada,Eastern elevators,"Durum wheat (x 1,000)",v382895,1.11.9,0.0
1971,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,32.0
1972,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,27.9
1973,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,31.4
1974,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,23.3
1975,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,21.1
1976,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,30.5
1977,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,20.7
1978,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,36.3
1979,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,22.2
1980,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,14.7
1981,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,11.2
1982,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,20.5
1983,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,20.9
1984,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,19.5
1985,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,15.0
1986,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,0.0
1987,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,0.0
1988,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,0.0
1989,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,0.0
1990,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,0.0
1991,Canada,Eastern elevators,"Oats (x 1,000)",v383254,1.11.3,0.0
1971,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,114.9
1972,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,176.9
1973,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,93.8
1974,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,135.0
1975,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,320.1
1976,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,212.7
1977,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,86.1
1978,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,101.6
1979,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,152.1
1980,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,65.4
1981,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,224.6
1982,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,243.6
1983,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,139.7
1984,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,95.3
1985,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,29.4
1986,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,0.0
1987,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,0.0
1988,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,0.0
1989,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,0.0
1990,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,0.0
1991,Canada,Eastern elevators,"Barley (x 1,000)",v383281,1.11.4,0.0
1971,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,5.6
1972,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,9.7
1973,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,7.9
1974,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,22.4
1975,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,24.3
1976,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,6.3
1977,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,7.7
1978,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,3.1
1979,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,3.2
1980,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,4.6
1981,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,5.4
1982,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,2.0
1983,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,21.3
1984,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,10.3
1985,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,6.4
1986,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,0.0
1987,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,0.0
1988,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,0.0
1989,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,0.0
1990,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,0.0
1991,Canada,Eastern elevators,"Rye (x 1,000)",v383308,1.11.1,0.0
