Ref_Date,GEO,EXP,Vector,Coordinate,Value
2010,New Brunswick,"Nursery, gross yearly payroll",v52222537,5.4,x
2011,New Brunswick,"Nursery, gross yearly payroll",v52222537,5.4,x
2012,New Brunswick,"Nursery, gross yearly payroll",v52222537,5.4,1887165.00000000
2013,New Brunswick,"Nursery, gross yearly payroll",v52222537,5.4,1680621.00000000
2014,New Brunswick,"Nursery, gross yearly payroll",v52222537,5.4,1756025.00000000
2015,New Brunswick,"Nursery, gross yearly payroll",v52222537,5.4,1979729.00000000
2007,New Brunswick,"Nursery, other operating expenses",v52222548,5.5,0.00000000
2008,New Brunswick,"Nursery, other operating expenses",v52222548,5.5,x
2009,New Brunswick,"Nursery, other operating expenses",v52222548,5.5,F
2010,New Brunswick,"Nursery, other operating expenses",v52222548,5.5,F
2011,New Brunswick,"Nursery, other operating expenses",v52222548,5.5,F
2012,New Brunswick,"Nursery, other operating expenses",v52222548,5.5,F
2013,New Brunswick,"Nursery, other operating expenses",v52222548,5.5,1970039.00000000
2014,New Brunswick,"Nursery, other operating expenses",v52222548,5.5,2177042.00000000
2015,New Brunswick,"Nursery, other operating expenses",v52222548,5.5,2708771.00000000
2007,New Brunswick,"Sod, total operating expenses",v52222603,5.6,0.00000000
2008,New Brunswick,"Sod, total operating expenses",v52222603,5.6,1450717.00000000
2009,New Brunswick,"Sod, total operating expenses",v52222603,5.6,F
2010,New Brunswick,"Sod, total operating expenses",v52222603,5.6,x
2011,New Brunswick,"Sod, total operating expenses",v52222603,5.6,x
2012,New Brunswick,"Sod, total operating expenses",v52222603,5.6,1027960.00000000
2013,New Brunswick,"Sod, total operating expenses",v52222603,5.6,495988.00000000
2014,New Brunswick,"Sod, total operating expenses",v52222603,5.6,x
2015,New Brunswick,"Sod, total operating expenses",v52222603,5.6,1062881.00000000
2007,New Brunswick,Sod purchases for resale,v52222570,5.7,0.00000000
2008,New Brunswick,Sod purchases for resale,v52222570,5.7,x
2009,New Brunswick,Sod purchases for resale,v52222570,5.7,F
2010,New Brunswick,Sod purchases for resale,v52222570,5.7,0.00000000
2011,New Brunswick,Sod purchases for resale,v52222570,5.7,x
2012,New Brunswick,Sod purchases for resale,v52222570,5.7,0.00000000
2013,New Brunswick,Sod purchases for resale,v52222570,5.7,0.00000000
2014,New Brunswick,Sod purchases for resale,v52222570,5.7,0.00000000
2015,New Brunswick,Sod purchases for resale,v52222570,5.7,0.00000000
2007,New Brunswick,"Sod, gross yearly payroll",v52222581,5.8,0.00000000
2008,New Brunswick,"Sod, gross yearly payroll",v52222581,5.8,694393.00000000
2009,New Brunswick,"Sod, gross yearly payroll",v52222581,5.8,F
2010,New Brunswick,"Sod, gross yearly payroll",v52222581,5.8,x
2011,New Brunswick,"Sod, gross yearly payroll",v52222581,5.8,x
2012,New Brunswick,"Sod, gross yearly payroll",v52222581,5.8,356610.00000000
2013,New Brunswick,"Sod, gross yearly payroll",v52222581,5.8,268219.00000000
2014,New Brunswick,"Sod, gross yearly payroll",v52222581,5.8,x
2015,New Brunswick,"Sod, gross yearly payroll",v52222581,5.8,324764.00000000
2007,New Brunswick,"Sod, other operating expenses",v52222592,5.9,0.00000000
2008,New Brunswick,"Sod, other operating expenses",v52222592,5.9,x
2009,New Brunswick,"Sod, other operating expenses",v52222592,5.9,F
2010,New Brunswick,"Sod, other operating expenses",v52222592,5.9,F
2011,New Brunswick,"Sod, other operating expenses",v52222592,5.9,F
2012,New Brunswick,"Sod, other operating expenses",v52222592,5.9,671350.00000000
2013,New Brunswick,"Sod, other operating expenses",v52222592,5.9,227769.00000000
2014,New Brunswick,"Sod, other operating expenses",v52222592,5.9,x
2015,New Brunswick,"Sod, other operating expenses",v52222592,5.9,738117.00000000
2007,Quebec,"Nursery, total operating expenses",v52222560,6.1,0.00000000
2008,Quebec,"Nursery, total operating expenses",v52222560,6.1,88047094.00000000
2009,Quebec,"Nursery, total operating expenses",v52222560,6.1,99086358.00000000
2010,Quebec,"Nursery, total operating expenses",v52222560,6.1,93485443.00000000
2011,Quebec,"Nursery, total operating expenses",v52222560,6.1,84769120.00000000
2012,Quebec,"Nursery, total operating expenses",v52222560,6.1,83204660.00000000
2013,Quebec,"Nursery, total operating expenses",v52222560,6.1,90906331.00000000
2014,Quebec,"Nursery, total operating expenses",v52222560,6.1,84351028.00000000
2015,Quebec,"Nursery, total operating expenses",v52222560,6.1,89672371.00000000
2007,Quebec,"Nursery, plant material purchases for growing on",v52222516,6.2,11092856.00000000
2008,Quebec,"Nursery, plant material purchases for growing on",v52222516,6.2,13957906.00000000
2009,Quebec,"Nursery, plant material purchases for growing on",v52222516,6.2,20055806.00000000
2010,Quebec,"Nursery, plant material purchases for growing on",v52222516,6.2,14360067.00000000
2011,Quebec,"Nursery, plant material purchases for growing on",v52222516,6.2,13606635.00000000
2012,Quebec,"Nursery, plant material purchases for growing on",v52222516,6.2,11372630.00000000
2013,Quebec,"Nursery, plant material purchases for growing on",v52222516,6.2,12911780.00000000
2014,Quebec,"Nursery, plant material purchases for growing on",v52222516,6.2,14812763.00000000
2015,Quebec,"Nursery, plant material purchases for growing on",v52222516,6.2,15609523.00000000
2007,Quebec,"Nursery, plant material purchases for resale",v52222527,6.3,12720000.00000000
2008,Quebec,"Nursery, plant material purchases for resale",v52222527,6.3,7126500.00000000
2009,Quebec,"Nursery, plant material purchases for resale",v52222527,6.3,7987940.00000000
2010,Quebec,"Nursery, plant material purchases for resale",v52222527,6.3,10435740.00000000
2011,Quebec,"Nursery, plant material purchases for resale",v52222527,6.3,8952040.00000000
2012,Quebec,"Nursery, plant material purchases for resale",v52222527,6.3,10616430.00000000
2013,Quebec,"Nursery, plant material purchases for resale",v52222527,6.3,10711127.00000000
2014,Quebec,"Nursery, plant material purchases for resale",v52222527,6.3,9966422.00000000
2015,Quebec,"Nursery, plant material purchases for resale",v52222527,6.3,10495254.00000000
2007,Quebec,"Nursery, gross yearly payroll",v52222538,6.4,33428000.00000000
2008,Quebec,"Nursery, gross yearly payroll",v52222538,6.4,36846037.00000000
2009,Quebec,"Nursery, gross yearly payroll",v52222538,6.4,39286397.00000000
2010,Quebec,"Nursery, gross yearly payroll",v52222538,6.4,35792184.00000000
2011,Quebec,"Nursery, gross yearly payroll",v52222538,6.4,33686225.00000000
2012,Quebec,"Nursery, gross yearly payroll",v52222538,6.4,34374910.00000000
2013,Quebec,"Nursery, gross yearly payroll",v52222538,6.4,38212126.00000000
2014,Quebec,"Nursery, gross yearly payroll",v52222538,6.4,32797212.00000000
2015,Quebec,"Nursery, gross yearly payroll",v52222538,6.4,34175458.00000000
2007,Quebec,"Nursery, other operating expenses",v52222549,6.5,0.00000000
2008,Quebec,"Nursery, other operating expenses",v52222549,6.5,30116651.00000000
2009,Quebec,"Nursery, other operating expenses",v52222549,6.5,31756215.00000000
2010,Quebec,"Nursery, other operating expenses",v52222549,6.5,32897452.00000000
2011,Quebec,"Nursery, other operating expenses",v52222549,6.5,28524220.00000000
2012,Quebec,"Nursery, other operating expenses",v52222549,6.5,26840690.00000000
2013,Quebec,"Nursery, other operating expenses",v52222549,6.5,29071298.00000000
2014,Quebec,"Nursery, other operating expenses",v52222549,6.5,26774631.00000000
2015,Quebec,"Nursery, other operating expenses",v52222549,6.5,29392136.00000000
2007,Quebec,"Sod, total operating expenses",v52222604,6.6,0.00000000
2008,Quebec,"Sod, total operating expenses",v52222604,6.6,23592769.00000000
2009,Quebec,"Sod, total operating expenses",v52222604,6.6,28306958.00000000
2010,Quebec,"Sod, total operating expenses",v52222604,6.6,33787330.00000000
2011,Quebec,"Sod, total operating expenses",v52222604,6.6,33619945.00000000
2012,Quebec,"Sod, total operating expenses",v52222604,6.6,30187395.00000000
2013,Quebec,"Sod, total operating expenses",v52222604,6.6,31097659.00000000
2014,Quebec,"Sod, total operating expenses",v52222604,6.6,27373298.00000000
2015,Quebec,"Sod, total operating expenses",v52222604,6.6,26915784.00000000
2007,Quebec,Sod purchases for resale,v52222571,6.7,1056300.00000000
2008,Quebec,Sod purchases for resale,v52222571,6.7,496500.00000000
2009,Quebec,Sod purchases for resale,v52222571,6.7,596210.00000000
2010,Quebec,Sod purchases for resale,v52222571,6.7,F
2011,Quebec,Sod purchases for resale,v52222571,6.7,F
2012,Quebec,Sod purchases for resale,v52222571,6.7,623775.00000000
2013,Quebec,Sod purchases for resale,v52222571,6.7,422731.00000000
2014,Quebec,Sod purchases for resale,v52222571,6.7,448301.00000000
2015,Quebec,Sod purchases for resale,v52222571,6.7,716984.00000000
2007,Quebec,"Sod, gross yearly payroll",v52222582,6.8,0.00000000
2008,Quebec,"Sod, gross yearly payroll",v52222582,6.8,9055194.00000000
2009,Quebec,"Sod, gross yearly payroll",v52222582,6.8,10398415.00000000
2010,Quebec,"Sod, gross yearly payroll",v52222582,6.8,11036736.00000000
2011,Quebec,"Sod, gross yearly payroll",v52222582,6.8,11095035.00000000
2012,Quebec,"Sod, gross yearly payroll",v52222582,6.8,12464600.00000000
2013,Quebec,"Sod, gross yearly payroll",v52222582,6.8,10996616.00000000
2014,Quebec,"Sod, gross yearly payroll",v52222582,6.8,10977215.00000000
2015,Quebec,"Sod, gross yearly payroll",v52222582,6.8,11536457.00000000
2007,Quebec,"Sod, other operating expenses",v52222593,6.9,0.00000000
2008,Quebec,"Sod, other operating expenses",v52222593,6.9,14041075.00000000
2009,Quebec,"Sod, other operating expenses",v52222593,6.9,17312333.00000000
2010,Quebec,"Sod, other operating expenses",v52222593,6.9,21931719.00000000
2011,Quebec,"Sod, other operating expenses",v52222593,6.9,22136015.00000000
2012,Quebec,"Sod, other operating expenses",v52222593,6.9,17099020.00000000
2013,Quebec,"Sod, other operating expenses",v52222593,6.9,19678312.00000000
2014,Quebec,"Sod, other operating expenses",v52222593,6.9,15947782.00000000
2015,Quebec,"Sod, other operating expenses",v52222593,6.9,14662343.00000000
2007,Ontario,"Nursery, total operating expenses",v52222561,7.1,0.00000000
2008,Ontario,"Nursery, total operating expenses",v52222561,7.1,248747804.00000000
2009,Ontario,"Nursery, total operating expenses",v52222561,7.1,260945775.00000000
2010,Ontario,"Nursery, total operating expenses",v52222561,7.1,277644824.00000000
2011,Ontario,"Nursery, total operating expenses",v52222561,7.1,284555710.00000000
2012,Ontario,"Nursery, total operating expenses",v52222561,7.1,261400150.00000000
2013,Ontario,"Nursery, total operating expenses",v52222561,7.1,255761918.00000000
2014,Ontario,"Nursery, total operating expenses",v52222561,7.1,261830928.00000000
2015,Ontario,"Nursery, total operating expenses",v52222561,7.1,255035064.00000000
2007,Ontario,"Nursery, plant material purchases for growing on",v52222517,7.2,33131250.00000000
2008,Ontario,"Nursery, plant material purchases for growing on",v52222517,7.2,29842251.00000000
2009,Ontario,"Nursery, plant material purchases for growing on",v52222517,7.2,29943855.00000000
2010,Ontario,"Nursery, plant material purchases for growing on",v52222517,7.2,33564551.00000000
2011,Ontario,"Nursery, plant material purchases for growing on",v52222517,7.2,39003320.00000000
2012,Ontario,"Nursery, plant material purchases for growing on",v52222517,7.2,31599620.00000000
2013,Ontario,"Nursery, plant material purchases for growing on",v52222517,7.2,38005293.00000000
2014,Ontario,"Nursery, plant material purchases for growing on",v52222517,7.2,36246663.00000000
2015,Ontario,"Nursery, plant material purchases for growing on",v52222517,7.2,37178380.00000000
2007,Ontario,"Nursery, plant material purchases for resale",v52222528,7.3,47000000.00000000
2008,Ontario,"Nursery, plant material purchases for resale",v52222528,7.3,41752100.00000000
2009,Ontario,"Nursery, plant material purchases for resale",v52222528,7.3,41669400.00000000
2010,Ontario,"Nursery, plant material purchases for resale",v52222528,7.3,44656510.00000000
2011,Ontario,"Nursery, plant material purchases for resale",v52222528,7.3,40059065.00000000
2012,Ontario,"Nursery, plant material purchases for resale",v52222528,7.3,42120005.00000000
2013,Ontario,"Nursery, plant material purchases for resale",v52222528,7.3,39662700.00000000
2014,Ontario,"Nursery, plant material purchases for resale",v52222528,7.3,43031914.00000000
2015,Ontario,"Nursery, plant material purchases for resale",v52222528,7.3,46958445.00000000
2007,Ontario,"Nursery, gross yearly payroll",v52222539,7.4,108000000.00000000
2008,Ontario,"Nursery, gross yearly payroll",v52222539,7.4,94043765.00000000
2009,Ontario,"Nursery, gross yearly payroll",v52222539,7.4,94495270.00000000
2010,Ontario,"Nursery, gross yearly payroll",v52222539,7.4,106787609.00000000
2011,Ontario,"Nursery, gross yearly payroll",v52222539,7.4,110390395.00000000
2012,Ontario,"Nursery, gross yearly payroll",v52222539,7.4,98778875.00000000
2013,Ontario,"Nursery, gross yearly payroll",v52222539,7.4,91768791.00000000
2014,Ontario,"Nursery, gross yearly payroll",v52222539,7.4,90973669.00000000
2015,Ontario,"Nursery, gross yearly payroll",v52222539,7.4,87233428.00000000
2007,Ontario,"Nursery, other operating expenses",v52222550,7.5,0.00000000
2008,Ontario,"Nursery, other operating expenses",v52222550,7.5,83109688.00000000
2009,Ontario,"Nursery, other operating expenses",v52222550,7.5,94837250.00000000
2010,Ontario,"Nursery, other operating expenses",v52222550,7.5,92636154.00000000
2011,Ontario,"Nursery, other operating expenses",v52222550,7.5,95102930.00000000
2012,Ontario,"Nursery, other operating expenses",v52222550,7.5,88901650.00000000
2013,Ontario,"Nursery, other operating expenses",v52222550,7.5,86325134.00000000
2014,Ontario,"Nursery, other operating expenses",v52222550,7.5,91578682.00000000
2015,Ontario,"Nursery, other operating expenses",v52222550,7.5,83664811.00000000
2007,Ontario,"Sod, total operating expenses",v52222605,7.6,0.00000000
2008,Ontario,"Sod, total operating expenses",v52222605,7.6,46240010.00000000
2009,Ontario,"Sod, total operating expenses",v52222605,7.6,41982610.00000000
2010,Ontario,"Sod, total operating expenses",v52222605,7.6,48838585.00000000
2011,Ontario,"Sod, total operating expenses",v52222605,7.6,44511825.00000000
2012,Ontario,"Sod, total operating expenses",v52222605,7.6,58507930.00000000
2013,Ontario,"Sod, total operating expenses",v52222605,7.6,61621317.00000000
2014,Ontario,"Sod, total operating expenses",v52222605,7.6,63979996.00000000
2015,Ontario,"Sod, total operating expenses",v52222605,7.6,61042624.00000000
2007,Ontario,Sod purchases for resale,v52222572,7.7,1425000.00000000
2008,Ontario,Sod purchases for resale,v52222572,7.7,682400.00000000
2009,Ontario,Sod purchases for resale,v52222572,7.7,590600.00000000
2010,Ontario,Sod purchases for resale,v52222572,7.7,789100.00000000
2011,Ontario,Sod purchases for resale,v52222572,7.7,1399000.00000000
2012,Ontario,Sod purchases for resale,v52222572,7.7,1458300.00000000
2013,Ontario,Sod purchases for resale,v52222572,7.7,1583060.00000000
2014,Ontario,Sod purchases for resale,v52222572,7.7,1295128.00000000
2015,Ontario,Sod purchases for resale,v52222572,7.7,568547.00000000
2007,Ontario,"Sod, gross yearly payroll",v52222583,7.8,0.00000000
2008,Ontario,"Sod, gross yearly payroll",v52222583,7.8,15310780.00000000
2009,Ontario,"Sod, gross yearly payroll",v52222583,7.8,17041850.00000000
2010,Ontario,"Sod, gross yearly payroll",v52222583,7.8,20776615.00000000
2011,Ontario,"Sod, gross yearly payroll",v52222583,7.8,16961380.00000000
2012,Ontario,"Sod, gross yearly payroll",v52222583,7.8,20504185.00000000
2013,Ontario,"Sod, gross yearly payroll",v52222583,7.8,21197079.00000000
2014,Ontario,"Sod, gross yearly payroll",v52222583,7.8,22762292.00000000
2015,Ontario,"Sod, gross yearly payroll",v52222583,7.8,22460645.00000000
2007,Ontario,"Sod, other operating expenses",v52222594,7.9,0.00000000
2008,Ontario,"Sod, other operating expenses",v52222594,7.9,30246830.00000000
2009,Ontario,"Sod, other operating expenses",v52222594,7.9,24350160.00000000
2010,Ontario,"Sod, other operating expenses",v52222594,7.9,27272870.00000000
2011,Ontario,"Sod, other operating expenses",v52222594,7.9,26151445.00000000
2012,Ontario,"Sod, other operating expenses",v52222594,7.9,36545445.00000000
2013,Ontario,"Sod, other operating expenses",v52222594,7.9,38841178.00000000
2014,Ontario,"Sod, other operating expenses",v52222594,7.9,39922576.00000000
2015,Ontario,"Sod, other operating expenses",v52222594,7.9,38013432.00000000
2007,Manitoba,"Nursery, total operating expenses",v52222562,8.1,0.00000000
2008,Manitoba,"Nursery, total operating expenses",v52222562,8.1,19358705.00000000
2009,Manitoba,"Nursery, total operating expenses",v52222562,8.1,23075180.00000000
2010,Manitoba,"Nursery, total operating expenses",v52222562,8.1,26511156.00000000
2011,Manitoba,"Nursery, total operating expenses",v52222562,8.1,22804905.00000000
2012,Manitoba,"Nursery, total operating expenses",v52222562,8.1,18468816.00000000
2013,Manitoba,"Nursery, total operating expenses",v52222562,8.1,12940721.00000000
2014,Manitoba,"Nursery, total operating expenses",v52222562,8.1,12344559.00000000
2015,Manitoba,"Nursery, total operating expenses",v52222562,8.1,12969186.00000000
2007,Manitoba,"Nursery, plant material purchases for growing on",v52222518,8.2,1385217.00000000
2008,Manitoba,"Nursery, plant material purchases for growing on",v52222518,8.2,2262440.00000000
2009,Manitoba,"Nursery, plant material purchases for growing on",v52222518,8.2,2356715.00000000
2010,Manitoba,"Nursery, plant material purchases for growing on",v52222518,8.2,4039526.00000000
2011,Manitoba,"Nursery, plant material purchases for growing on",v52222518,8.2,3169455.00000000
2012,Manitoba,"Nursery, plant material purchases for growing on",v52222518,8.2,2596676.00000000
2013,Manitoba,"Nursery, plant material purchases for growing on",v52222518,8.2,1950000.00000000
2014,Manitoba,"Nursery, plant material purchases for growing on",v52222518,8.2,2121355.00000000
2015,Manitoba,"Nursery, plant material purchases for growing on",v52222518,8.2,1705731.00000000
2007,Manitoba,"Nursery, plant material purchases for resale",v52222529,8.3,1545000.00000000
2008,Manitoba,"Nursery, plant material purchases for resale",v52222529,8.3,1213200.00000000
2009,Manitoba,"Nursery, plant material purchases for resale",v52222529,8.3,1356130.00000000
2010,Manitoba,"Nursery, plant material purchases for resale",v52222529,8.3,1253345.00000000
2011,Manitoba,"Nursery, plant material purchases for resale",v52222529,8.3,1318265.00000000
2012,Manitoba,"Nursery, plant material purchases for resale",v52222529,8.3,1665105.00000000
2013,Manitoba,"Nursery, plant material purchases for resale",v52222529,8.3,1431617.00000000
2014,Manitoba,"Nursery, plant material purchases for resale",v52222529,8.3,1377976.00000000
2015,Manitoba,"Nursery, plant material purchases for resale",v52222529,8.3,1428293.00000000
2007,Manitoba,"Nursery, gross yearly payroll",v52222540,8.4,4300000.00000000
2008,Manitoba,"Nursery, gross yearly payroll",v52222540,8.4,7013454.00000000
2009,Manitoba,"Nursery, gross yearly payroll",v52222540,8.4,9234596.00000000
2010,Manitoba,"Nursery, gross yearly payroll",v52222540,8.4,10283129.00000000
2011,Manitoba,"Nursery, gross yearly payroll",v52222540,8.4,9712680.00000000
2012,Manitoba,"Nursery, gross yearly payroll",v52222540,8.4,7449895.00000000
2013,Manitoba,"Nursery, gross yearly payroll",v52222540,8.4,6009895.00000000
2014,Manitoba,"Nursery, gross yearly payroll",v52222540,8.4,4988401.00000000
2015,Manitoba,"Nursery, gross yearly payroll",v52222540,8.4,4890856.00000000
2007,Manitoba,"Nursery, other operating expenses",v52222551,8.5,0.00000000
2008,Manitoba,"Nursery, other operating expenses",v52222551,8.5,F
2009,Manitoba,"Nursery, other operating expenses",v52222551,8.5,10127739.00000000
2010,Manitoba,"Nursery, other operating expenses",v52222551,8.5,10935156.00000000
2011,Manitoba,"Nursery, other operating expenses",v52222551,8.5,8604505.00000000
2012,Manitoba,"Nursery, other operating expenses",v52222551,8.5,6757140.00000000
2013,Manitoba,"Nursery, other operating expenses",v52222551,8.5,3549209.00000000
2014,Manitoba,"Nursery, other operating expenses",v52222551,8.5,3856827.00000000
2015,Manitoba,"Nursery, other operating expenses",v52222551,8.5,4944306.00000000
2007,Manitoba,"Sod, total operating expenses",v52222606,8.6,0.00000000
2008,Manitoba,"Sod, total operating expenses",v52222606,8.6,x
2009,Manitoba,"Sod, total operating expenses",v52222606,8.6,2432295.00000000
2010,Manitoba,"Sod, total operating expenses",v52222606,8.6,F
2011,Manitoba,"Sod, total operating expenses",v52222606,8.6,2743580.00000000
2012,Manitoba,"Sod, total operating expenses",v52222606,8.6,2944060.00000000
2013,Manitoba,"Sod, total operating expenses",v52222606,8.6,x
2014,Manitoba,"Sod, total operating expenses",v52222606,8.6,4236540.00000000
2015,Manitoba,"Sod, total operating expenses",v52222606,8.6,4648570.00000000
2007,Manitoba,Sod purchases for resale,v52222573,8.7,200000.00000000
2008,Manitoba,Sod purchases for resale,v52222573,8.7,0.00000000
2009,Manitoba,Sod purchases for resale,v52222573,8.7,0.00000000
2010,Manitoba,Sod purchases for resale,v52222573,8.7,0.00000000
2011,Manitoba,Sod purchases for resale,v52222573,8.7,x
2012,Manitoba,Sod purchases for resale,v52222573,8.7,80230.00000000
2013,Manitoba,Sod purchases for resale,v52222573,8.7,x
2014,Manitoba,Sod purchases for resale,v52222573,8.7,x
2015,Manitoba,Sod purchases for resale,v52222573,8.7,0.00000000
2007,Manitoba,"Sod, gross yearly payroll",v52222584,8.8,0.00000000
2008,Manitoba,"Sod, gross yearly payroll",v52222584,8.8,714400.00000000
2009,Manitoba,"Sod, gross yearly payroll",v52222584,8.8,504195.00000000
2010,Manitoba,"Sod, gross yearly payroll",v52222584,8.8,579438.00000000
2011,Manitoba,"Sod, gross yearly payroll",v52222584,8.8,1355830.00000000
2012,Manitoba,"Sod, gross yearly payroll",v52222584,8.8,1778640.00000000
2013,Manitoba,"Sod, gross yearly payroll",v52222584,8.8,F
2014,Manitoba,"Sod, gross yearly payroll",v52222584,8.8,x
2015,Manitoba,"Sod, gross yearly payroll",v52222584,8.8,1339808.00000000
2007,Manitoba,"Sod, other operating expenses",v52222595,8.9,0.00000000
2008,Manitoba,"Sod, other operating expenses",v52222595,8.9,F
2009,Manitoba,"Sod, other operating expenses",v52222595,8.9,1928100.00000000
2010,Manitoba,"Sod, other operating expenses",v52222595,8.9,F
2011,Manitoba,"Sod, other operating expenses",v52222595,8.9,x
2012,Manitoba,"Sod, other operating expenses",v52222595,8.9,1085190.00000000
2013,Manitoba,"Sod, other operating expenses",v52222595,8.9,F
2014,Manitoba,"Sod, other operating expenses",v52222595,8.9,2934904.00000000
2015,Manitoba,"Sod, other operating expenses",v52222595,8.9,3308762.00000000
2007,Saskatchewan,"Nursery, total operating expenses",v52222563,9.1,0.00000000
2008,Saskatchewan,"Nursery, total operating expenses",v52222563,9.1,6667858.00000000
2009,Saskatchewan,"Nursery, total operating expenses",v52222563,9.1,9579715.00000000
2010,Saskatchewan,"Nursery, total operating expenses",v52222563,9.1,9779740.00000000
2011,Saskatchewan,"Nursery, total operating expenses",v52222563,9.1,8469890.00000000
2012,Saskatchewan,"Nursery, total operating expenses",v52222563,9.1,7872705.00000000
2013,Saskatchewan,"Nursery, total operating expenses",v52222563,9.1,7186964.00000000
2014,Saskatchewan,"Nursery, total operating expenses",v52222563,9.1,6400072.00000000
2015,Saskatchewan,"Nursery, total operating expenses",v52222563,9.1,6289393.00000000
2007,Saskatchewan,"Nursery, plant material purchases for growing on",v52222519,9.2,292000.00000000
2008,Saskatchewan,"Nursery, plant material purchases for growing on",v52222519,9.2,260383.00000000
2009,Saskatchewan,"Nursery, plant material purchases for growing on",v52222519,9.2,F
2010,Saskatchewan,"Nursery, plant material purchases for growing on",v52222519,9.2,438319.00000000
2011,Saskatchewan,"Nursery, plant material purchases for growing on",v52222519,9.2,988080.00000000
2012,Saskatchewan,"Nursery, plant material purchases for growing on",v52222519,9.2,512970.00000000
2013,Saskatchewan,"Nursery, plant material purchases for growing on",v52222519,9.2,394180.00000000
2014,Saskatchewan,"Nursery, plant material purchases for growing on",v52222519,9.2,611628.00000000
2015,Saskatchewan,"Nursery, plant material purchases for growing on",v52222519,9.2,474890.00000000
2007,Saskatchewan,"Nursery, plant material purchases for resale",v52222530,9.3,777000.00000000
2008,Saskatchewan,"Nursery, plant material purchases for resale",v52222530,9.3,528000.00000000
2009,Saskatchewan,"Nursery, plant material purchases for resale",v52222530,9.3,628140.00000000
2010,Saskatchewan,"Nursery, plant material purchases for resale",v52222530,9.3,654950.00000000
2011,Saskatchewan,"Nursery, plant material purchases for resale",v52222530,9.3,322790.00000000
2012,Saskatchewan,"Nursery, plant material purchases for resale",v52222530,9.3,727050.00000000
2013,Saskatchewan,"Nursery, plant material purchases for resale",v52222530,9.3,1146415.00000000
2014,Saskatchewan,"Nursery, plant material purchases for resale",v52222530,9.3,918799.00000000
2015,Saskatchewan,"Nursery, plant material purchases for resale",v52222530,9.3,1095243.00000000
2007,Saskatchewan,"Nursery, gross yearly payroll",v52222541,9.4,2450000.00000000
2008,Saskatchewan,"Nursery, gross yearly payroll",v52222541,9.4,3381600.00000000
2009,Saskatchewan,"Nursery, gross yearly payroll",v52222541,9.4,4073198.00000000
2010,Saskatchewan,"Nursery, gross yearly payroll",v52222541,9.4,4697728.00000000
2011,Saskatchewan,"Nursery, gross yearly payroll",v52222541,9.4,4191245.00000000
2012,Saskatchewan,"Nursery, gross yearly payroll",v52222541,9.4,3643780.00000000
2013,Saskatchewan,"Nursery, gross yearly payroll",v52222541,9.4,2729720.00000000
2014,Saskatchewan,"Nursery, gross yearly payroll",v52222541,9.4,2514692.00000000
2015,Saskatchewan,"Nursery, gross yearly payroll",v52222541,9.4,2473816.00000000
2007,Saskatchewan,"Nursery, other operating expenses",v52222552,9.5,0.00000000
2008,Saskatchewan,"Nursery, other operating expenses",v52222552,9.5,2497875.00000000
2009,Saskatchewan,"Nursery, other operating expenses",v52222552,9.5,F
2010,Saskatchewan,"Nursery, other operating expenses",v52222552,9.5,3988743.00000000
2011,Saskatchewan,"Nursery, other operating expenses",v52222552,9.5,2967775.00000000
2012,Saskatchewan,"Nursery, other operating expenses",v52222552,9.5,2988905.00000000
2013,Saskatchewan,"Nursery, other operating expenses",v52222552,9.5,2916649.00000000
2014,Saskatchewan,"Nursery, other operating expenses",v52222552,9.5,2354953.00000000
2015,Saskatchewan,"Nursery, other operating expenses",v52222552,9.5,2245444.00000000
2007,Saskatchewan,"Sod, total operating expenses",v52222607,9.6,0.00000000
2008,Saskatchewan,"Sod, total operating expenses",v52222607,9.6,x
2009,Saskatchewan,"Sod, total operating expenses",v52222607,9.6,x
2010,Saskatchewan,"Sod, total operating expenses",v52222607,9.6,2983676.00000000
2011,Saskatchewan,"Sod, total operating expenses",v52222607,9.6,3723890.00000000
2012,Saskatchewan,"Sod, total operating expenses",v52222607,9.6,3219560.00000000
2013,Saskatchewan,"Sod, total operating expenses",v52222607,9.6,3680972.00000000
2014,Saskatchewan,"Sod, total operating expenses",v52222607,9.6,3958318.00000000
2015,Saskatchewan,"Sod, total operating expenses",v52222607,9.6,3809592.00000000
2007,Saskatchewan,Sod purchases for resale,v52222574,9.7,x
2008,Saskatchewan,Sod purchases for resale,v52222574,9.7,0.00000000
2009,Saskatchewan,Sod purchases for resale,v52222574,9.7,0.00000000
2010,Saskatchewan,Sod purchases for resale,v52222574,9.7,x
2011,Saskatchewan,Sod purchases for resale,v52222574,9.7,0.00000000
2012,Saskatchewan,Sod purchases for resale,v52222574,9.7,0.00000000
2013,Saskatchewan,Sod purchases for resale,v52222574,9.7,0.00000000
2014,Saskatchewan,Sod purchases for resale,v52222574,9.7,0.00000000
2015,Saskatchewan,Sod purchases for resale,v52222574,9.7,0.00000000
2007,Saskatchewan,"Sod, gross yearly payroll",v52222585,9.8,0.00000000
2008,Saskatchewan,"Sod, gross yearly payroll",v52222585,9.8,x
2009,Saskatchewan,"Sod, gross yearly payroll",v52222585,9.8,x
2010,Saskatchewan,"Sod, gross yearly payroll",v52222585,9.8,1662627.00000000
2011,Saskatchewan,"Sod, gross yearly payroll",v52222585,9.8,1489800.00000000
2012,Saskatchewan,"Sod, gross yearly payroll",v52222585,9.8,1394340.00000000
