Ref_Date,GEO,VALUE,PRODUCE,PROCESS,Vector,Coordinate,Value
1983,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,x
1984,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,x
1985,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,x
1986,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,x
1987,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,0.0
1988,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,0.0
1989,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,0.0
1990,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,0.0
1991,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,0.0
1992,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,0.0
1993,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,0.0
1994,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,0.0
1995,Nova Scotia,"Average yield per acre (pounds x 1,000)",Cucumbers,Processed,v381163,4.2.4.2,0.0
1971,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,0.0
1972,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1973,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1974,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1975,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1976,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1977,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1978,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1979,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1980,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1981,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1982,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1983,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1984,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1985,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1986,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1987,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1988,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1989,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1990,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1991,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1992,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1993,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,14600.0
1994,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,x
1995,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Fresh,v381330,4.2.5.1,10300.0
1972,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1973,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1974,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1975,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1976,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1977,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1978,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1979,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1980,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1981,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1982,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1983,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1984,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1985,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1986,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1987,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1988,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1989,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1990,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1991,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1992,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1993,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,31800.0
1994,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1995,Nova Scotia,"Average yield per acre (pounds x 1,000)",Carrots,Processed,v381271,4.2.5.2,x
1992,Nova Scotia,"Average yield per acre (pounds x 1,000)",Brussels sprouts,Processed,v381385,4.2.6.2,x
1993,Nova Scotia,"Average yield per acre (pounds x 1,000)",Brussels sprouts,Processed,v381385,4.2.6.2,x
1994,Nova Scotia,"Average yield per acre (pounds x 1,000)",Brussels sprouts,Processed,v381385,4.2.6.2,0.0
1995,Nova Scotia,"Average yield per acre (pounds x 1,000)",Brussels sprouts,Processed,v381385,4.2.6.2,0.0
1992,Nova Scotia,"Average yield per acre (pounds x 1,000)",Asparagus,Processed,v381445,4.2.7.2,x
1992,Nova Scotia,"Average yield per acre (pounds x 1,000)",Broccoli,Processed,v381505,4.2.8.2,x
1993,Nova Scotia,"Average yield per acre (pounds x 1,000)",Broccoli,Processed,v381505,4.2.8.2,0.0
1994,Nova Scotia,"Average yield per acre (pounds x 1,000)",Broccoli,Processed,v381505,4.2.8.2,0.0
1995,Nova Scotia,"Average yield per acre (pounds x 1,000)",Broccoli,Processed,v381505,4.2.8.2,0.0
1940,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1941,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1942,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1943,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1944,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1945,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1946,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1947,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1948,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1949,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1950,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1951,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1952,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1953,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1954,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,17.0
1955,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1956,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1957,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,0.0
1958,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,83.0
1959,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,82.0
1960,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,180.0
1961,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,130.0
1962,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,146.0
1963,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,113.0
1964,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,147.0
1965,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,58.0
1966,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,112.0
1967,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,86.0
1968,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,106.0
1969,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,57.0
1970,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,66.0
1971,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,102.0
1972,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,100.0
1973,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,85.0
1974,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,96.0
1975,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,108.0
1976,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,111.0
1977,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,88.0
1978,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,118.0
1979,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,102.0
1980,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,130.0
1981,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,165.0
1982,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,96.0
1983,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,141.0
1984,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,158.0
1985,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,187.0
1986,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,168.0
1987,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,117.0
1988,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,145.0
1989,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,149.0
1990,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,181.0
1991,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,160.0
1992,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,x
1993,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,x
1994,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,x
1995,Nova Scotia,Total production (tons),Beans,Fresh,v72971,4.3.1.1,x
1940,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1941,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1942,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1943,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1944,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1945,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1946,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1947,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1948,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1949,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1950,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1951,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,0.0
1952,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1252.0
1953,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1155.0
1954,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,833.0
1955,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1825.0
1956,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1276.0
1957,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1600.0
1958,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1233.0
1959,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,962.0
1960,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1147.0
1961,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,987.0
1962,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1028.0
1963,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1474.0
1964,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,2044.0
1965,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1227.0
1966,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1850.0
1967,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,2417.0
1968,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,1469.0
1969,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,2929.0
1970,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1971,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1972,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1973,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1974,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1975,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1976,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1977,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1978,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1979,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1980,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1981,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1982,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1983,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1984,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1985,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1986,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1987,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,3073.0
1988,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,3037.0
1989,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,3026.0
1990,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,2933.0
1991,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,2349.0
1992,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1993,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,x
1994,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,2390.0
1995,Nova Scotia,Total production (tons),Beans,Processed,v73020,4.3.1.2,2156.0
1940,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1941,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1942,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1943,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1944,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1945,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1946,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1947,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1948,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1949,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1950,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1951,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,0.0
1952,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,442.0
1953,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,560.0
1954,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,540.0
1955,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,832.0
1956,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,615.0
1957,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,744.0
1958,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,665.0
1959,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,481.0
1960,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,880.0
1961,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1013.0
1962,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,835.0
1963,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1340.0
1964,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1288.0
1965,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,839.0
1966,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,944.0
1967,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1122.0
1968,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1012.0
1969,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,924.0
1970,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,798.0
1971,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,870.0
1972,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,861.0
1973,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,903.0
1974,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,636.0
1975,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,x
1976,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,836.0
1977,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,816.0
1978,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1046.0
1979,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,743.0
1980,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,690.0
1981,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1185.0
1982,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1093.0
1983,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1111.0
1984,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1106.0
1985,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1345.0
1986,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1391.0
1987,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1709.0
1988,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1310.0
1989,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,2669.0
1990,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1748.0
1991,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,2037.0
1992,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,2170.0
1993,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1944.0
1994,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1606.0
1995,Nova Scotia,Total production (tons),Corn,Fresh,v73506,4.3.2.1,1260.0
1992,Nova Scotia,Total production (tons),Corn,Processed,v73560,4.3.2.2,x
1993,Nova Scotia,Total production (tons),Corn,Processed,v73560,4.3.2.2,0.0
1994,Nova Scotia,Total production (tons),Corn,Processed,v73560,4.3.2.2,0.0
1995,Nova Scotia,Total production (tons),Corn,Processed,v73560,4.3.2.2,0.0
1940,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1941,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1942,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1943,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1944,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1945,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1946,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1947,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1948,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1949,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1950,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1951,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,0.0
1952,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,2552.0
1953,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1026.0
1954,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1300.0
1955,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1840.0
1956,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1230.0
1957,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1026.0
1958,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1634.0
1959,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1190.0
1960,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1110.0
1961,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1568.0
1962,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,637.0
1963,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1587.0
1964,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,890.0
1965,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1148.0
1966,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1008.0
1967,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,2091.0
1968,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1624.0
1969,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1230.0
1970,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1040.0
1971,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,714.0
1972,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,1117.0
1973,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,900.0
1974,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,693.0
1975,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,732.0
1976,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,702.0
1977,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,548.0
1978,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,513.0
1979,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,726.0
1980,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,715.0
1981,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,690.0
1982,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,529.0
1983,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,510.0
1984,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,457.0
1985,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,519.0
1986,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,287.0
1987,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,231.0
1988,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,252.0
1989,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,455.0
1990,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,348.0
1991,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,266.0
1992,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,305.0
1993,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,635.0
1994,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,x
1995,Nova Scotia,Total production (tons),Tomatoes,Fresh,v74090,4.3.3.1,660.0
1940,Nova Scotia,Total production (tons),Tomatoes,Processed,v74141,4.3.3.2,0.0
1941,Nova Scotia,Total production (tons),Tomatoes,Processed,v74141,4.3.3.2,0.0
1942,Nova Scotia,Total production (tons),Tomatoes,Processed,v74141,4.3.3.2,0.0
