Ref_Date,GEO,WOOL,Vector,Coordinate,Value
2006,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,14.1
2007,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,1.5
2008,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,1.5
2009,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,1.5
2010,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,1.4
2011,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,2.8
2012,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,2.8
2013,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,1.9
2014,New Brunswick,"Quantity of wool purchased (x 1,000)",v44185051,5.1,2.5
1996,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,1.0
1997,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.8
1998,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.8
1999,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.8
2000,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.8
2001,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.8
2002,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.9
2003,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.9
2004,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.9
2005,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.9
2006,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.9
2007,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.8
2008,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.8
2009,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.8
2010,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.8
2011,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.6
2012,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.6
2013,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.6
2014,New Brunswick,"Quantity of wool used on farms (x 1,000)",v44185052,5.2,0.6
1996,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.37
1997,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.79
1998,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.46
1999,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,0.57
2000,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,0.67
2001,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,0.74
2002,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.34
2003,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.29
2004,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.37
2005,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,0.97
2006,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,0.97
2007,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.43
2008,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.21
2009,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.50
2010,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.50
2011,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.55
2012,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.52
2013,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.52
2014,New Brunswick,Average price of wool paid to producer (dollars per kilogram),v44185053,5.3,1.67
1996,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,15.00
1997,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,14.00
1998,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,19.00
1999,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,10.00
2000,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,12.00
2001,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,13.00
2002,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,13.00
2003,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,19.00
2004,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,20.00
2005,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,15.00
2006,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,14.00
2007,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,3.00
2008,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,3.00
2009,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,3.00
2010,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,3.00
2011,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,5.00
2012,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,5.00
2013,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,4.00
2014,New Brunswick,"Total farm value of wool (dollars x 1,000)",v44185054,5.4,5.00
1996,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,182.1
1997,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,318.9
1998,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,395.1
1999,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,135.4
2000,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,222.1
2001,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,200.2
2002,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,328.2
2003,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,258.2
2004,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,326.7
2005,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,329.1
2006,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,327.3
2007,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,266.1
2008,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,249.9
2009,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,268.1
2010,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,250.3
2011,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,301.8
2012,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,229.3
2013,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,252.6
2014,Quebec,"Quantity of wool purchased (x 1,000)",v44185055,6.1,229.1
1996,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,5.0
1997,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,4.9
1998,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,4.9
1999,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,4.9
2000,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,4.9
2001,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,4.9
2002,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,6.2
2003,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,6.2
2004,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,6.2
2005,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,6.2
2006,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,6.2
2007,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,5.7
2008,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,5.7
2009,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,5.7
2010,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,5.7
2011,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,5.5
2012,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,5.5
2013,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,5.5
2014,Quebec,"Quantity of wool used on farms (x 1,000)",v44185056,6.2,5.5
1996,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,1.05
1997,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.98
1998,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.76
1999,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.44
2000,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.35
2001,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.40
2002,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.49
2003,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.63
2004,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.87
2005,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.62
2006,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.45
2007,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.40
2008,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.41
2009,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.38
2010,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.49
2011,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.91
2012,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.87
2013,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,0.85
2014,Quebec,Average price of wool paid to producer (dollars per kilogram),v44185057,6.3,1.00
1996,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,197.00
1997,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,317.00
1998,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,304.00
1999,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,62.00
2000,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,79.00
2001,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,82.00
2002,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,164.00
2003,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,166.00
2004,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,290.00
2005,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,208.00
2006,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,150.00
2007,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,109.00
2008,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,105.00
2009,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,104.00
2010,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,125.00
2011,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,280.00
2012,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,204.00
2013,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,219.00
2014,Quebec,"Total farm value of wool (dollars x 1,000)",v44185058,6.4,235.00
1996,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,393.9
1997,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,362.5
1998,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,356.1
1999,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,404.2
2000,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,444.0
2001,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,431.5
2002,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,424.0
2003,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,477.1
2004,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,439.7
2005,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,450.1
2006,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,393.9
2007,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,450.9
2008,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,386.8
2009,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,414.2
2010,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,467.6
2011,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,470.8
2012,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,450.5
2013,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,433.5
2014,Ontario,"Quantity of wool purchased (x 1,000)",v44185059,7.1,463.4
1996,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,16.5
1997,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.1
1998,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.1
1999,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.1
2000,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.1
2001,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.1
2002,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,15.6
2003,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,15.6
2004,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,15.6
2005,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,15.6
2006,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,15.6
2007,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.8
2008,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.8
2009,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.8
2010,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.8
2011,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.5
2012,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.5
2013,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.5
2014,Ontario,"Quantity of wool used on farms (x 1,000)",v44185060,7.2,14.5
1996,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.95
1997,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,1.00
1998,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.74
1999,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.43
2000,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.52
2001,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.43
2002,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.56
2003,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.72
2004,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.96
2005,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.79
2006,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.56
2007,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.61
2008,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.53
2009,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.53
2010,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,0.66
2011,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,1.14
2012,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,1.16
2013,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,1.16
2014,Ontario,Average price of wool paid to producer (dollars per kilogram),v44185061,7.3,1.30
1996,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,390.00
1997,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,377.00
1998,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,274.00
1999,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,180.00
2000,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,238.00
2001,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,192.00
2002,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,246.00
2003,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,355.00
2004,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,437.00
2005,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,368.00
2006,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,229.00
2007,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,284.00
2008,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,213.00
2009,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,227.00
2010,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,318.00
2011,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,553.00
2012,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,539.00
2013,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,520.00
2014,Ontario,"Total farm value of wool (dollars x 1,000)",v44185062,7.4,621.00
1996,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,79.0
1997,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,80.3
1998,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,61.8
1999,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,65.6
2000,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,155.3
2001,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,147.9
2002,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,91.2
2003,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,113.6
2004,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,111.9
2005,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,75.3
2006,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,69.9
2007,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,67.0
2008,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,51.7
2009,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,79.1
2010,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,50.8
2011,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,64.8
2012,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,59.8
2013,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,55.7
2014,Manitoba,"Quantity of wool purchased (x 1,000)",v44185063,8.1,88.1
1996,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.7
1997,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.4
1998,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.4
1999,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.4
2000,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.4
2001,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.4
2002,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,3.3
2003,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,3.3
2004,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,3.3
2005,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,3.3
2006,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,3.3
2007,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,3.0
2008,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,3.0
2009,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,3.0
2010,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,3.0
2011,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.8
2012,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.8
2013,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.8
2014,Manitoba,"Quantity of wool used on farms (x 1,000)",v44185064,8.2,2.8
1996,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.88
1997,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,1.21
1998,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.97
1999,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.44
2000,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.56
2001,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.66
2002,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,1.04
2003,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,1.07
2004,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,1.20
2005,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.84
2006,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.65
2007,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.67
2008,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.68
2009,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.77
2010,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,0.73
2011,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,1.47
2012,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,1.20
2013,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,1.16
2014,Manitoba,Average price of wool paid to producer (dollars per kilogram),v44185065,8.3,1.28
1996,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,72.00
1997,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,100.00
1998,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,62.00
1999,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,30.00
2000,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,88.00
2001,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,99.00
2002,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,98.00
2003,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,125.00
2004,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,138.00
2005,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,66.00
2006,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,48.00
2007,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,47.00
2008,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,37.00
2009,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,63.00
2010,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,39.00
2011,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,99.00
2012,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,75.00
2013,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,68.00
2014,Manitoba,"Total farm value of wool (dollars x 1,000)",v44185066,8.4,116.00
1996,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,70.5
1997,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,98.2
1998,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,112.0
1999,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,89.9
2000,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,125.5
2001,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,138.7
2002,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,172.6
2003,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,193.6
2004,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,213.8
2005,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,112.5
2006,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,105.2
2007,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,127.9
2008,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,117.2
2009,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,80.9
2010,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,125.1
2011,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,107.3
2012,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,121.7
2013,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,113.3
2014,Saskatchewan,"Quantity of wool purchased (x 1,000)",v44185067,9.1,131.9
1996,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.8
1997,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.2
1998,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.2
1999,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.2
2000,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.2
2001,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.2
2002,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,4.2
2003,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,4.2
2004,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,4.2
2005,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,4.2
2006,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,4.2
2007,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.7
2008,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.7
2009,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.7
2010,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.7
2011,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.5
2012,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.5
2013,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.5
2014,Saskatchewan,"Quantity of wool used on farms (x 1,000)",v44185068,9.2,3.5
1996,Saskatchewan,Average price of wool paid to producer (dollars per kilogram),v44185069,9.3,0.93
